"Brand","Part No","Part Desc","UNIT PRICE","",""
"VW GROUP","6RF407152B","TRACK CONTROL ARM, COMPLETE","29.40","",""
"VW GROUP","03D141031A","CLUTCH POLO PETROL","29.93","",""
"VW GROUP","6RF501611A","WHEEL HUB REAR","30.02","",""
"VW GROUP","1J0698151J","BRK LINING","32.69","",""
"VW GROUP","03D121005","WATER PUMP POLO PETROL","32.83","",""
"VW GROUP","03L121011P","WATER PUMP POLO DIESEL","32.86","",""
"VW GROUP","6RU609617","BRAKE DRUM","34.24","",""
"VW GROUP","03C141025K","CLUTCH VENTO PETORL","36.04","",""
"VW GROUP","6RW807221AGRU","COVER","37.71","",""
"VW GROUP","6R0411315","COUPLING ROD","40.04","",""
"VW GROUP","03C141031G","CLUTCH VENTO PETORL","40.97","",""
"VW GROUP","6RG807421CGRU","BUMPER COVER","41.14","",""
"VW GROUP","1S0698151A","BRK LINING","43.26","",""
"VW GROUP","6RF513025B","GAS SHOCK ABSORBER","43.83","",""
"VW GROUP","6RU807221GRU","BUMPER COVER","44.00","",""
"VW GROUP","6RF513025C","GAS SHOCK ABSORBER","44.18","",""
"VW GROUP","6RF807221GRU","FRONT BUMPER NEW VENTO","44.28","",""
"VW GROUP","6RW807421GRU","COVER","44.75","",""
"VW GROUP","03L141032G","CLUTCHDISC","44.78","",""
"VW GROUP","036905715H","IGNITION COIL WITHSPARK PLUG CONNECTOR","45.62","",""
"VW GROUP","6RG807221GRU","FRONT BUMPER OLD POLO","46.56","",""
"VW GROUP","6RU807421BGRU","COVER","46.87","",""
"VW GROUP","6RG807421AGRU","COVER","48.64","",""
"VW GROUP","6RF807421GRU","FRONT BUMPER","50.20","",""
"VW GROUP","6RF8536519B9","GRILLE","50.75","",""
"VW GROUP","6RF145805A","INTERCOOLER","50.87","",""
"VW GROUP","03P141031A","CLUTCHDISC POLO DIESEL","54.50","",""
"VW GROUP","03P141025","CLUTCH NEW 1.5","59.88","",""
"VW GROUP","6RG807217BGRU","FRONT BUMPER NEW POLO","62.68","",""
"VW GROUP","6RG805588L","LOCK CARRIER WITH MOUNTING FORCOOLANT RADIATOR","63.64","",""
"VW GROUP","6R0965561A","ADDITIONAL COOLANT PUMP","66.14","",""
"VW GROUP","6RF121253","COOLER FOR COOLANT","70.60","",""
"VW GROUP","03L141025R","CLUTCH","74.88","",""
"VW GROUP","6RF711049B","MECHANISM","77.59","",""
"VW GROUP","6RU823031B","HOOD","90.26","",""
"VW GROUP","6R0810135A","SIDE MEMBER FOR WHEEL HOUSING","97.32","",""
"VW GROUP","03D903305F","BELTDAMPER","106.42","",""
"VW GROUP","6RG807421EGRU","COVER POLO T3","119.55","",""
"VW GROUP","6RG831056F","DOOR FRONT RH","122.17","",""
"VW GROUP","6RG831055F","DOOR FRONT LH","122.17","",""
"VW GROUP","6RG833055D","DOOR","137.27","",""
"VW GROUP","6RG833056D","DOOR","137.27","",""
"VW GROUP","6RG805PETKIT","LOCK CARRIER KIT - PETROL","151.20","",""
"VW GROUP","6RF423057P","STEERING GEAR WITH TRACK RODS","160.80","",""
"VW GROUP","03L198119F","REPAIR KIT","168.70","",""
"VW GROUP","03L130277S","INJECTUNIT","332.32","",""
"VW GROUP","6R0805115B","HOUSING","397.00","",""
"VW GROUP","6RF407763D","DRIVESHAFT","815.73","",""
"VW GROUP","N0141439","SCREW","0.02","",""
"VW GROUP","N0154227","NUT SPEED","0.02","",""
"VW GROUP","941041","TIMING BELT","0.02","",""
"VW GROUP","N10680601","BOLT","0.02","",""
"VW GROUP","028103638N","GROMMET","0.03","",""
"VW GROUP","6RF885947B","GROMMET","0.03","",""
"VW GROUP","6U0955756","BUSH RUBBER","0.03","",""
"VW GROUP","5J7845757","TRACK","0.03","",""
"VW GROUP","N10516801","NUT","0.03","",""
"VW GROUP","N10205802","NUT","0.03","",""
"VW GROUP","N10535501","BOLT","0.03","",""
"VW GROUP","N90456002","NUT","0.03","",""
"VW GROUP","6U0867299Y20","CLIP","0.03","",""
"VW GROUP","N10124501","PLUG","0.03","",""
"VW GROUP","N10248003","SCREW","0.03","",""
"VW GROUP","6RU971841","GROMMET","0.03","",""
"VW GROUP","6U0853733","TRIM/PROTECTIVE STRIP SET","0.03","",""
"VW GROUP","N90643701","TIE WRAP","0.03","",""
"VW GROUP","N91095001","BOLT","0.03","",""
"VW GROUP","6RG8372119B9","UNDERLAY","0.03","",""
"VW GROUP","6U0971910A01C","GROMMET","0.03","",""
"VW GROUP","701010690B","STICKER","0.03","",""
"VW GROUP","N10209007","NUT","0.05","",""
"VW GROUP","N90798805","NUT","0.05","",""
"VW GROUP","5JF951107","CLIP","0.05","",""
"VW GROUP","N01100627","NUT","0.05","",""
"VW GROUP","N01470213","BOLT","0.05","",""
"VW GROUP","WHT000410","BOLT","0.05","",""
"VW GROUP","N90397501","WASHER","0.05","",""
"VW GROUP","N90460001","NUT","0.05","",""
"VW GROUP","8E0863727A","CLIP","0.05","",""
"VW GROUP","010323489B","SPRING","0.05","",""
"VW GROUP","N10619201","BOLT","0.05","",""
"VW GROUP","N90815903","WASHER","0.05","",""
"VW GROUP","1K0010497C","STICKER","0.05","",""
"VW GROUP","N0141444","SCREW","0.06","",""
"VW GROUP","N10571403","BOLT","0.06","",""
"VW GROUP","5NA867276A","CLIP","0.06","",""
"VW GROUP","1T0919133B9B9","WASHER","0.06","",""
"VW GROUP","N10338903","BOLT","0.06","",""
"VW GROUP","N10648301","BOLT","0.06","",""
"VW GROUP","N90817003","BOLT","0.06","",""
"VW GROUP","N90915802","SCREW","0.06","",""
"VW GROUP","N90935502","BOLT","0.06","",""
"VW GROUP","N91096901","SCREW","0.06","",""
"VW GROUP","N10335202","BOLT","0.06","",""
"VW GROUP","N10335207","BOLT","0.06","",""
"VW GROUP","N90529302","SCREW","0.06","",""
"VW GROUP","N90944603","BOLT","0.06","",""
"VW GROUP","N90967701","BOLT","0.06","",""
"VW GROUP","N90999801","BOLT","0.06","",""
"VW GROUP","N91166401","BOLT","0.06","",""
"VW GROUP","1M6867574A","HOLDER","0.06","",""
"VW GROUP","11321307","CLIP METAL","0.06","",""
"VW GROUP","N0432072","DOWEL PIN","0.06","",""
"VW GROUP","5C0087703041","PIN","0.06","",""
"VW GROUP","N0142643","SCREW","0.08","",""
"VW GROUP","035905281A","SCREW","0.08","",""
"VW GROUP","N0138128","WASHER","0.08","",""
"VW GROUP","6E0837732","CLIP","0.08","",""
"VW GROUP","N01111816","NUT","0.08","",""
"VW GROUP","N90347103","NUT","0.08","",""
"VW GROUP","70186729901C","CLIP","0.08","",""
"VW GROUP","N0902619","BOLT","0.09","",""
"VW GROUP","6RF857361","FOAM UNDERLAY (SELF - ADHESIVE)","0.09","",""
"VW GROUP","6RF857362","FOAM UNDERLAY (SELF - ADHESIVE)","0.09","",""
"VW GROUP","3C0867333","CLIP","0.09","",""
"VW GROUP","N10261310","NUT","0.09","",""
"VW GROUP","N10653801","TORX SCREW","0.09","",""
"VW GROUP","N90347104","NUT","0.09","",""
"VW GROUP","N90894601","NUT","0.09","",""
"VW GROUP","6R0839829","SPREADER RIVET","0.09","",""
"VW GROUP","N90263104","NUT","0.09","",""
"VW GROUP","N90359101","RIVET","0.09","",""
"VW GROUP","N90816301","BOLT","0.09","",""
"VW GROUP","N02300313","NUT","0.09","",""
"VW GROUP","N10286102","NUT","0.09","",""
"VW GROUP","N90757901","NUT","0.09","",""
"VW GROUP","N10170303","SCREW","0.09","",""
"VW GROUP","N90890501","SEAL RING","0.09","",""
"VW GROUP","6RU971913","GROMMET","0.09","",""
"VW GROUP","N10526802","SCREW","0.09","",""
"VW GROUP","N10653301","BOLT","0.09","",""
"VW GROUP","N90833202","SCREW","0.09","",""
"VW GROUP","N90937002","BOLT","0.09","",""
"VW GROUP","N90949202","BOLT","0.09","",""
"VW GROUP","5J78814779B9","COVER","0.09","",""
"VW GROUP","N90335005","CLAMPING WASHER","0.09","",""
"VW GROUP","6U0863385C","FOIL","0.09","",""
"VW GROUP","I000001","DISTILLED WATER","0.10","",""
"VW GROUP","N0141485","SCREW","0.11","",""
"VW GROUP","N90833801","NUT","0.11","",""
"VW GROUP","N91079901","BOLT","0.11","",""
"VW GROUP","WHT000309","BOLT","0.11","",""
"VW GROUP","WHT001406","BOLT","0.11","",""
"VW GROUP","1J0820749C","WASHER","0.11","",""
"VW GROUP","N0123225","WASHER","0.11","",""
"VW GROUP","N10354602","BOLT","0.11","",""
"VW GROUP","N90320701","SCREW","0.11","",""
"VW GROUP","N90887703","FLANGE NUT","0.11","",""
"VW GROUP","N91032702","SCREW","0.11","",""
"VW GROUP","N91065201","SCREW","0.11","",""
"VW GROUP","1K0899185","PLUG","0.11","",""
"VW GROUP","N91097301","BOLT","0.11","",""
"VW GROUP","6RG8372099B9","UNDERLAY","0.11","",""
"VW GROUP","5Z0853695","RIVET","0.12","",""
"VW GROUP","N90765701","POP-RIVET","0.12","",""
"VW GROUP","3C0839723","CLIP","0.12","",""
"VW GROUP","WHT000733","SPEED NUT","0.12","",""
"VW GROUP","WHT002649","NUT","0.12","",""
"VW GROUP","N90982401","CIRCLIP","0.12","",""
"VW GROUP","N90908302","NUT","0.12","",""
"VW GROUP","N0209022","TIE WRAP","0.12","",""
"VW GROUP","WHT006407","SEAL RING","0.12","",""
"VW GROUP","1K0899183","PLUG","0.12","",""
"VW GROUP","1K0601178A","WEIGHT","0.12","",""
"VW GROUP","5Q09191339B9","WASHER","0.12","",""
"VW GROUP","6RF86373995T","COVER FOR HANDBRAKE APERTURE","0.12","",""
"VW GROUP","6RF863739AQ70","COVER FOR HANDBRAKE APERTURE","0.12","",""
"VW GROUP","N91078801","POP-RIVET","0.14","",""
"VW GROUP","1H0823397","CLIP","0.14","",""
"VW GROUP","N90295502","NUT","0.14","",""
"VW GROUP","N10321002","BOLT","0.14","",""
"VW GROUP","N10653201","BOLT","0.14","",""
"VW GROUP","WHT000311","BOLT","0.14","",""
"VW GROUP","WHT005227","BOLT","0.14","",""
"VW GROUP","6RG857361A","FOAM UNDERLAY(SELF-ADHESIVE)","0.14","",""
"VW GROUP","6RG857362A","FOAM UNDERLAY(SELF-ADHESIVE)","0.14","",""
"VW GROUP","N10226103","SCREW","0.14","",""
"VW GROUP","N91071701","BOLT","0.14","",""
"VW GROUP","N90804901","BOLT","0.14","",""
"VW GROUP","WHT002109A","BOLT","0.14","",""
"VW GROUP","6RU86373982V","COVER FOR HANDBRAKE APERTURE","0.14","",""
"VW GROUP","6RF819702A5BW","AIR VENT FOR DOORWINDOW","0.14","",""
"VW GROUP","6RF819702ATF1","AIR VENT FOR DOORWINDOW","0.14","",""
"VW GROUP","4D0863788","RIVET","0.15","",""
"VW GROUP","1K0601180A","SPRING","0.15","",""
"VW GROUP","5P0945246A","BOLT","0.17","",""
"VW GROUP","6Q0868243","CLIP","0.17","",""
"VW GROUP","N90094201","SPEED NUT","0.17","",""
"VW GROUP","N90896301","TORX SCREW","0.17","",""
"VW GROUP","N10413405","BOLT","0.17","",""
"VW GROUP","N91217601","BOLT","0.17","",""
"VW GROUP","WHT000307","BOLT","0.17","",""
"VW GROUP","5G0867633","CLAMP","0.17","",""
