"Part #","Description","Effective From","Multiplication Factor(Part)","USD PRICE","",""
"12315ED010","BOLT-DRIVE PLAT","1/31/2015 5:30","1","4.82","",""
"12315EE000","BOLT-FLYWHEEL","1/31/2015 5:30","1","4.82","",""
"12315EN200","BOLT-DRIVE PLAT","1/31/2015 5:30","1","4.04","",""
"123161881R","BAND","1/22/2019 5:30","1","1.41","",""
"1233014L00","PILOT-CONV","1/31/2015 5:30","1","5.49","",""
"1233014L0A","PILOT-CONV","9/28/2017 5:30","1","5.49","",""
"1233016A00","PILOT-CONVERTER","1/31/2015 5:30","1","5.49","",""
"123311HC1C","PLATE ASSY-DRIV","4/21/2019 5:30","1","122.84","",""
"12331ED01A","PLATE ASSY-DRIV","1/31/2015 5:30","1","113.50","",""
"123330002R","SPACER","4/1/2015 5:30","1","9.48","",""
"123331HC0A","REINF-DRIVE PLA","1/31/2015 5:30","1","18.20","",""
"123334879R","SPACER","1/22/2019 5:30","1","20.38","",""
"1241115901","GSKT-CYL HEAD","4/5/2017 5:30","1","50.56","",""
"1251015900","COVER-CYL HEAD","4/1/2015 5:30","1","66.35","",""
"1254115910","GSKT-CYL HEAD C","4/1/2015 5:30","1","14.74","",""
"1255315910","SCR-CYL HEAD CO","4/1/2015 5:30","1","1.11","",""
"130010322R","CAMSHAFT-INT","1/22/2019 5:30","1","31.14","",""
"130015392R","CAMSHAFT-EXH","1/22/2019 5:30","1","86.75","",""
"130019208R","CAMSHAFT-EXH","1/22/2019 5:30","1","31.14","",""
"130019696R","CAMSHAFT-INT","1/22/2019 5:30","1","31.14","",""
"13004ED000","DOWEL-CAMSHAFT","1/31/2015 5:30","1","0.69","",""
"13004EN200","DOWEL-CAMSHAFT","1/31/2015 5:30","1","1.35","",""
"130121KC0A","BOLT-VTC PULLEY","10/21/2015 5:30","1","1.69","",""
"13012CJ00A","BOLT-CAM SHAFT,","10/3/2015 5:30","1","0.91","",""
"13012ED000","BOLT-CAM SHAFT,","10/3/2015 5:30","1","0.91","",""
"13012ED010","BOLT-SPROCKET,C","10/3/2015 5:30","1","2.07","",""
"130200068R","CAMSHAFT ASSY-I","7/24/2019 5:30","1","25.99","",""
"130200214R","CAMSHAFT ASSY-E","7/24/2019 5:30","1","25.99","",""
"130201HC0C","CAMSHAFT ASSY.","1/31/2015 5:30","1","196.07","",""
"130201HC1A","CAMSHAFT ASSY.","1/31/2015 5:30","1","155.22","",""
"130201KA0C","CAMSHAFT ASSY","5/25/2017 5:30","1","145.88","",""
"130201KT0A","CAMSHAFT ASSY","5/25/2017 5:30","1","119.61","",""
"130201KT0C","CAMSHAFT ASSY","1/31/2015 5:30","1","192.07","",""
"130203HC0A","CAMSHAFT ASSY","1/31/2015 5:30","1","192.07","",""
"130204LA0A","CAMSHAFT ASSY.","9/9/2016 5:30","1","33.20","",""
"130204LA0C","CAMSHAFT ASSY.","9/9/2016 5:30","1","30.32","",""
"130205358R","CAMSHAFT ASY-IN","1/22/2019 5:30","1","56.65","",""
"130208342R","CAMSHAFT ASY-EX","1/22/2019 5:30","1","77.05","",""
"130209U51C","CAMSHAFT ASSY","1/31/2015 5:30","1","247.95","",""
"13020ED001","CAMSHAFT ASSY","1/31/2015 5:30","1","247.95","",""
"130211270R","GEAR-CRANKSHAFT","1/22/2019 5:30","1","4.24","",""
"130212343R","PULLEY-CRANKSHA","1/22/2019 5:30","1","9.27","",""
"130212780R","GEAR-CRANKSHAFT","1/22/2019 5:30","1","4.24","",""
"130213230R","Pulley -cranksh","1/22/2019 5:30","1","11.29","",""
"130214175R","PULLEY-CRANKSHA","1/22/2019 5:30","1","13.32","",""
"130214677R","GEAR-CRANKSHAFT","1/22/2019 5:30","1","4.24","",""
"130214844R","GEAR-CRANKSHAFT","12/6/2018 5:30","1","4.01","",""
"130214967R","GEAR-CRANKSHAFT","7/24/2019 5:30","1","6.69","",""
"130216489R","PULLEY CRANKSHA","1/22/2019 5:30","1","14.36","",""
"130218129R","PULLEY-CRANKSHA","1/22/2019 5:30","1","11.29","",""
"13021EE50A","SPROCKET-CRANKS","1/31/2015 5:30","1","9.66","",""
"1302400Q0EMK","GEAR CAMSHAFT","1/31/2015 5:30","1","9.13","",""
"130240366R","PINION-INLET CA","1/22/2019 5:30","1","3.44","",""
"130243613R","PINION-CAMSHAFT","4/1/2015 5:30","1","79.02","",""
"130244899R","PINION-INLET CA","1/22/2019 5:30","1","3.44","",""
"130245398R","PULLEY-CAMSHAFT","1/22/2019 5:30","1","9.90","",""
"130246760R","CAMSHAFT PINION","4/1/2015 5:30","1","116.54","",""
"130248145R","PINION INLET","12/6/2018 5:30","1","3.24","",""
"130248198R","CAMSHAFT PINION","4/1/2015 5:30","1","116.54","",""
"130248703R","PINION-INLET CA","1/22/2019 5:30","1","3.44","",""
"13024CJ00A","SPROCKET-CAMSHA","1/31/2015 5:30","1","11.09","",""
"13024CJ00B","SPROCKET-CAMSHA","1/31/2015 5:30","1","11.09","",""
"13024ED50A","SPROCKET-CAMSHA","1/31/2015 5:30","1","9.66","",""
"13024JN01A","SPROCKET-CAMSHA","12/20/2016 5:30","1","47.72","",""
"130250493R","PINION EXH CAM","12/6/2018 5:30","1","3.24","",""
"130250641R","PINION-EXH CAMS","1/22/2019 5:30","1","3.44","",""
"130251HC0B","PULLEY ASSY-VAL","1/31/2015 5:30","1","476.36","",""
"130251KA0D","PULLEY ASSY-VAL","2/3/2015 5:30","1","476.36","",""
"130251KA0E","PULLEY ASSY-VAL","11/14/2015 5:30","1","476.36","",""
"130252369R","SHIFTER-CAMSHAF","7/24/2019 5:30","1","64.57","",""
"130252525R","PINION-EXH CAMS","1/22/2019 5:30","1","3.44","",""
"130254780R","PINION-EXH CAMS","1/22/2019 5:30","1","3.44","",""
"130257408R","TWINNING CAMSHA","4/1/2015 5:30","1","85.95","",""
"130258247R","SHIFTER-CAMSHAF","7/24/2019 5:30","1","61.39","",""
"130259U50B","PULLEY ASSY-VAL","1/22/2019 5:30","1","194.53","",""
"13025CK80A","PULLEY ASSY-VAL","4/1/2015 5:30","1","219.01","",""
"13025CK81A","PULLEY ASY-VALV","4/1/2015 5:30","1","242.85","",""
"13025EY01A","SPROCKET-CAMSHA","12/20/2016 5:30","1","511.61","",""
"13025EY01B","SPROCKET-CAMSHA","12/20/2016 5:30","1","511.61","",""
"13025JK21A","SPROCKET-CAMSHA","12/9/2015 5:30","1","353.48","",""
"130281HC0A","CHAIN CAM SHAFT","1/31/2015 5:30","1","15.49","",""
"130281KT0A","CHAIN CAM SHAFT","5/21/2019 5:30","1","70.09","",""
"130282191R","CHAIN-TIMING","2/13/2019 5:30","1","17.86","",""
"130283165R","CHAIN-TIMING","1/22/2019 5:30","1","18.89","",""
"130283RA0A","CHAIN-TIMING","1/31/2015 5:30","1","24.09","",""
"13028EE50A","CHAIN-TIMING","9/1/2017 5:30","1","20.57","",""
"1303800Q0B","PROTECTOR-INJEC","12/20/2016 5:30","1","10.43","",""
"13040JA12A","COVER-VALVE TIM","9/23/2015 5:30","1","655.00","",""
"13040JA12B","COVER-VALVE TIM","3/4/2015 5:30","1","655.00","",""
"130410036R","COVER-VTC","7/24/2019 5:30","1","7.37","",""
"130415722R","COVER-VTC","7/24/2019 5:30","1","7.37","",""
"130423HD0A","SEAL-OIL,CAMSHA","11/27/2019 5:30","1","9.93","",""
"130481HS0A","INLET-WATER","12/20/2016 5:30","1","1.68","",""
"130491HC0A","INLET-WATER","1/31/2015 5:30","1","1.68","",""
"13049ED02A","INLET-WATER","1/31/2015 5:30","1","36.20","",""
"130588128R","SCR-BRG CAP MTG","1/22/2019 5:30","1","1.93","",""
"13058ED000","BOLT-CAMSHAFT B","10/3/2015 5:30","1","1.12","",""
"130641HC0A","PLATE-SIGNAL,CA","1/31/2015 5:30","1","11.41","",""
"130701HC0A","TENS ASSY-CHAIN","1/31/2015 5:30","1","32.86","",""
"130703602R","TENSIONER-TIMIN","1/22/2019 5:30","1","13.97","",""
"130703RA0A","TENS ASSY-CHAIN","1/31/2015 5:30","1","25.94","",""
"130703RA1A","TENS ASSY-CHAIN","4/1/2015 5:30","1","8.66","",""
"130705365R","TENSIONR-TIMING","5/30/2015 5:30","1","21.99","",""
"130709627R","TENSIONER-TIMIN","2/13/2019 5:30","1","7.19","",""
"13070ED010","TENSION CHAIN","1/31/2015 5:30","1","32.86","",""
"13070EE51A","TENS ASSY-CHAIN","1/31/2015 5:30","1","6.44","",""
"13070EN200","TENS ASSY-CHAIN","1/31/2015 5:30","1","44.96","",""
"130751KC1A","BOLT-TENSIONER","10/3/2015 5:30","1","3.19","",""
"130813448R","JET-CHAIN LUB","1/22/2019 5:30","1","3.14","",""
"130816066R","JET CHAIN LUB","6/7/2019 5:30","1","3.14","",""
"13081ED000","JET-OIL,TIMING","1/31/2015 5:30","1","8.15","",""
"13081EN200","JET-OIL,TIMING.","1/31/2015 5:30","1","8.15","",""
"130850344R","GUIDE-TIMING CH","1/22/2019 5:30","1","1.52","",""
"130851431R","GUIDE TIMING CH","2/13/2019 5:30","1","2.03","",""
"130851HC2A","GUIDE CHAIN","1/31/2015 5:30","1","16.30","",""
"130853853R","PAD TIMING CHN","2/13/2019 5:30","1","3.09","",""
"130853RA1A","GUIDE-CHAIN,TEN","1/31/2015 5:30","1","18.51","",""
"130856361R","PAD-TIMING","1/22/2019 5:30","1","1.84","",""
"130857162R","GUIDE-TIMING","1/22/2019 5:30","1","1.42","",""
"130913RA1A","GUIDE-CHAIN,SLA","1/31/2015 5:30","1","17.23","",""
"130915H60A","GUIDE-CHAIN SLA","1/31/2015 5:30","1","32.58","",""
"13094ED000","SFT-TENS ARM","8/11/2017 5:30","1","2.47","",""
"130C12067R","SET-TIMER SFT D","1/22/2019 5:30","1","35.14","",""
"130C12127R","SET-TIMER SFT","4/4/2016 5:30","1","119.76","",""
"130C15830R","SET-TIMER SFT D","1/31/2015 5:30","1","183.33","",""
"130C16661R","SET-TIMER SFT","4/3/2019 5:30","1","27.58","",""
"130C17529R","SET-TIMER SFT","4/4/2016 5:30","1","83.33","",""
"130C18148R","SET-TIMER SFT D","1/22/2019 5:30","1","19.57","",""
"130C19371R","CHAIN-TIMING","8/9/2019 5:30","1","35.65","",""
"130C19506R","SET-TIMER SFT","1/6/2018 5:30","1","114.58","",""
"1313115900","RING-STOP, PIST","4/1/2015 5:30","1","1.39","",""
"132011980R","VALVE-INTAKE","1/22/2019 5:30","1","83.38","",""
"132011KT0A","VALVE-INTAKE","1/31/2015 5:30","1","10.57","",""
"132014LA0A","VALVE-INT","5/21/2019 5:30","1","2.53","",""
"132016529R","VALVE-INTAKE","1/22/2019 5:30","1","2.56","",""
"132018521R","VALVE-INTAKE","1/22/2019 5:30","1","5.38","",""
"132018603R","VALVE-INTAKE","7/24/2019 5:30","1","2.41","",""
"132018925R","VALVE-INTAKE","4/1/2015 5:30","1","95.97","",""
"13201ED00C","VALVE-INT","5/21/2019 5:30","1","5.87","",""
"132024309R","VALVE-EXH","4/1/2015 5:30","1","133.74","",""
"132024905R","VALVE-EXHAUST","1/22/2019 5:30","1","46.05","",""
"132024LA0A","VALVE-EXH","5/21/2019 5:30","1","2.88","",""
"132025069R","VALVE-EXH","1/22/2019 5:30","1","3.18","",""
"132028257R","VALVE-EXH","1/22/2019 5:30","1","5.65","",""
"132029859R","VALVE-EXH","7/24/2019 5:30","1","3.33","",""
"13202ED00C","VALVE-EXH","5/21/2019 5:30","1","10.78","",""
"132030794R","SPR-VALVE","1/22/2019 5:30","1","1.61","",""
"132034269R","SPR-VALVE","1/22/2019 5:30","1","0.61","",""
"132036685R","SPR-VALVE","1/22/2019 5:30","1","0.61","",""
"132038AA0C","SPR-VALVE","7/28/2015 5:30","1","0.39","",""
"13203AL511","SPRING VALVE","12/20/2016 5:30","1","5.74","",""
"13203CD00A","SPRING-VALVE,OU","12/20/2016 5:30","1","5.74","",""
"13203ED000","SPR-VALVE","1/31/2015 5:30","1","5.74","",""
"13203ED00B","SPR-VALVE","9/9/2016 5:30","1","2.20","",""
"1320553Y00","SEAT-VALVE SPR","9/9/2016 5:30","1","0.51","",""
"132056681R","RETAINER-VALVE","4/16/2019 5:30","1","0.05","",""
"132059768R","CUP-VALVE SPR S","1/22/2019 5:30","1","0.30","",""
"132074730R","SEAL-VALVE STEM","1/22/2019 5:30","1","0.53","",""
"132076485R","SEAL-VALVE STEM","11/28/2015 5:30","1","6.15","",""
"13207CJ40A","SEAL-OIL,VALVE","5/21/2019 5:30","1","1.21","",""
"1320953Y00","RET-VALVE SPR","9/9/2016 5:30","1","1.00","",""
"132109661R","BUSH-SPLIT TAPE","4/5/2017 5:30","1","0.09","",""
"13210ED000","COLETT-VALVE","9/9/2016 5:30","1","0.25","",""
"132113719R","SPR SET-VALVE","4/5/2017 5:30","1","2.40","",""
"132117704R","SPR SET-VALVE","4/5/2017 5:30","1","3.61","",""
"132126404R","GUIDE-VALVE","1/22/2019 5:30","1","0.49","",""
"13212ED060","GUIDE-VALVE","5/8/2018 5:30","1","26.30","",""
"13213ED060","GUIDE-VALVE","1/31/2015 5:30","1","26.31","",""
"132248938R","SCR-CYL HEAD CO","4/1/2015 5:30","1","1.98","",""
"132310244R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132310472R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132310629R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132310662R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132310730R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132310967R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132311024R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132311124R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132311352R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132311579R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132311583R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132312622R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132312833R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132312837R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132312982R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132313047R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132313128R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132313235R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132313403R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132313559R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132313767R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132313970R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132314007R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132314058R","TAPPET-VALVE","1/22/2019 5:30","1","11.78","",""
"132314299R","TAPPET-VALVE","1/22/2019 5:30","1","11.78","",""
"132314379R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132314454R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132314739R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132314884R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132315099R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132315122R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132315205R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132315241R","TAPPET-VALVE","1/22/2019 5:30","1","11.78","",""
"132315372R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132315600R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132315773R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132315950R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132316148R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132316153R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132316443R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132316472R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132316486R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132316571R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132316590R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132316816R","TAPPET-VALVE","1/22/2019 5:30","1","11.78","",""
"132316855R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132317036R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132317132R","TAPPET-VALVE","1/22/2019 5:30","1","12.60","",""
"132317981R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132318038R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132318364R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132318442R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"132318623R","TAPPET-VALVE","1/22/2019 5:30","1","11.78","",""
"132319248R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132319339R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132319353R","TAPPET-VALVE","7/24/2019 5:30","1","1.93","",""
"132319830R","TAPPET-VALVE","1/22/2019 5:30","1","2.16","",""
"132319885R","TAPPET-VALVE.","1/22/2019 5:30","1","3.19","",""
"13231JX00A","LIFTER-VALVE","9/1/2017 5:30","1","11.72","",""
"13231JX00B","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX00C","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX00D","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX00E","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX01A","LIFTER-VALVE","9/9/2016 5:30","1","2.07","",""
"13231JX01B","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX01C","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX01D","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX01E","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX02A","LIFTER-VALVE","9/9/2016 5:30","1","2.07","",""
"13231JX02B","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX02C","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX02D","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX02E","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX03A","LIFTER-VALVE","9/9/2016 5:30","1","2.07","",""
"13231JX03B","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX03C","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX03D","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX03E","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX04A","LIFTER-VALVE","9/9/2016 5:30","1","2.07","",""
"13231JX04B","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX04C","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX04D","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX04E","LIFTER-VALVE","1/31/2015 5:30","1","23.44","",""
"13231JX05A","LIFTER-VALVE","9/9/2016 5:30","1","2.07","",""
"132641HC0A","COVER ASSY-VALV","9/19/2015 5:30","1","36.46","",""
"132641HC0B","COVER ASSY-VALV","1/31/2015 5:30","1","142.76","",""
"132641HC0C","COVER ASSY-VALV","1/31/2015 5:30","1","38.93","",""
"132641HC0D","COVER ASSY-VALV","12/20/2016 5:30","1","36.46","",""
"132641HC1A","COVER ASSY-VALV","1/31/2015 5:30","1","29.66","",""
"132641HC1B","COVER ASSY-VALV","6/3/2015 5:30","1","131.09","",""
"132641HC1C","COVER ASSY-VALV","1/31/2015 5:30","1","38.93","",""
"132641HS0B","COVER ASSY-VALV","1/31/2015 5:30","1","135.41","",""
"132641HS0C","COVER ASSY-VALV","3/4/2015 5:30","1","43.03","",""
"132643DA0A","COVER ASSY-VALV","1/31/2015 5:30","1","170.85","",""
"132645MA0A","COVER ASSY-VALV","8/11/2017 5:30","1","152.79","",""
"132648H80B","COVER ASSY-VALV","7/30/2015 5:30","1","182.53","",""
"132654647R","COVER-CYL HEAD","1/22/2019 5:30","1","21.17","",""
"132654861R","COVER ASSY-VALV","1/22/2019 5:30","1","51.68","",""
"132656293R","COVER-CYL HEAD.","1/22/2019 5:30","1","194.44","",""
"132656341R","COVER-CYL HEAD","1/22/2019 5:30","1","161.08","",""
"132659904R","DMPR-CYL HEAD C","7/24/2019 5:30","1","20.83","",""
"132689311R","DMPR-CYL HEAD C","1/22/2019 5:30","1","1.35","",""
"132701HC0A","GSKT-ROCKER COV","1/31/2015 5:30","1","7.29","",""
"132701HS0A","GSKT-ROCKER COV","1/31/2015 5:30","1","8.14","",""
"132703AA0A","GSKT-ROCKER COV","11/11/2016 5:30","1","14.57","",""
"1327400Q0B","NUT","1/31/2015 5:30","1","1.16","",""
"1331115920","CRANKSHAFT","4/5/2017 5:30","1","314.07","",""
"1333115910","SCR-CRANKSHAFT","4/1/2015 5:30","1","5.96","",""
"1334115900","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115901","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115902","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115903","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115904","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115905","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115906","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1334115907","BRG-HALF, GROOV","4/1/2015 5:30","1","9.88","",""
"1337015900","PLATE-TARGET","4/1/2015 5:30","1","107.92","",""
"1343215900","SPCR-REINF","4/1/2015 5:30","1","12.02","",""
"135000849R","COVER-TIMING","1/22/2019 5:30","1","24.15","",""
"135001HC0A","COVER ASSY-FR","9/19/2015 5:30","1","36.46","",""
"135001HC0B","COVER ASSY-FRON","1/31/2015 5:30","1","186.20","",""
"135001HC0C","COVER ASSY-FR.","1/31/2015 5:30","1","38.80","",""
"135001HC1A","COVER ASSY-FR","1/31/2015 5:30","1","32.48","",""
"135001HC1B","COVER ASSY-FRON","6/3/2015 5:30","1","205.17","",""
"135001HC1C","COVER ASSY-FR.","7/30/2015 5:30","1","38.93","",""
"135001HC1D","COVER ASSY-FR","12/20/2016 5:30","1","36.46","",""
"135001HS0C","COVER ASSY-FR","11/28/2015 5:30","1","50.65","",""
"135001HS1B","COVER ASSY-FRON","1/31/2015 5:30","1","211.94","",""
"135003AA0A","COVER ASSY-FR","1/31/2015 5:30","1","175.12","",""
"135007267R","COVER ASSY-TIMI","1/22/2019 5:30","1","39.33","",""
"13500JP00C","COVER ASSY-FRON","12/20/2016 5:30","1","121.25","",""
"135024340R","CASE-TIMING..","1/22/2019 5:30","1","40.36","",""
"135024451R","CASE-TIMING..","1/22/2019 5:30","1","40.36","",""
"135028345R","CASE-TIMING","1/22/2019 5:30","1","30.64","",""
"135029443R","CASE-TIMING..","1/22/2019 5:30","1","41.44","",""
"135029658R","CASE-TIMING.","9/28/2019 5:30","1","40.36","",""
"135029791R","CASE-TIMING","1/22/2019 5:30","1","133.43","",""
"135068246R","COVER","1/22/2019 5:30","1","0.73","",""
"13507JG71A","BRACKET","1/31/2015 5:30","1","473.59","",""
"135101HC0A","SEAL-OIL,CRANKS","4/1/2015 5:30","1","2.55","",""
"135106492R","SEAL-RING, CRAN","7/24/2019 5:30","1","1.51","",""
"135106494R","SEAL-RING, CRAN","1/22/2019 5:30","1","1.69","",""
"135203426R","COVER-STRG COL","1/22/2019 5:30","1","0.82","",""
"1353131U00","COVER-FRONT","12/20/2016 5:30","1","21.45","",""
"135611020R","COVER-TIMING. L","1/22/2019 5:30","1","4.17","",""
"135613805R","COVER-FRONT","5/21/2019 5:30","1","16.01","",""
"135633653R","COVER-BELT,BACK","1/22/2019 5:30","1","15.27","",""
"135635510R","COVER-TIMING. U","1/22/2019 5:30","1","17.86","",""
"135654971R","GSKT-TIMING COV","1/22/2019 5:30","1","1.20","",""
"135659447R","MANIF-INTAKE","7/24/2019 5:30","1","0.44","",""
"140010096R","MANIF ASSY-INTA","4/1/2015 5:30","1","384.88","",""
"140011HC1C","MANIFOLD ASSY.","1/31/2015 5:30","1","51.91","",""
"140011HC3A","MANIFOLD ASSY-I","1/31/2015 5:30","1","44.06","",""
"140011HC3B","MANIFOLD ASSY","1/31/2015 5:30","1","41.77","",""
"140011HC3C","MANIFOLD ASSY","1/31/2015 5:30","1","44.06","",""
"140011HC4A","MANIF ASSY-INT","5/21/2019 5:30","1","49.36","",""
"140011HS1A","MANIFOLD ASSY-I","1/31/2015 5:30","1","44.06","",""
"140011HS3A","MANIFOLD ASSY.","4/4/2016 5:30","1","48.15","",""
"140011HS3B","MANIF ASSY-INT","4/4/2016 5:30","1","48.15","",""
"140013BB0A","MANIF ASSY-INT","12/24/2015 5:30","1","123.30","",""
"140016998R","MANIF ASSY-INTA","3/12/2019 5:30","1","384.88","",""
"140021HG0A","MANIFOLD ASSY","1/31/2015 5:30","1","206.31","",""
"140021HN0A","MANIF ASSY-EXH,","1/31/2015 5:30","1","206.31","",""
"14002EE50A","MANIF ASSY-EXH","11/11/2016 5:30","1","84.12","",""
"1400300Q1H","MANIFOLD-EXHAUS","12/20/2016 5:30","1","189.05","",""
"140031381R","MANIF-INTAKE","8/9/2019 5:30","1","24.36","",""
"140031864R","MANIF-INTAKE","1/22/2019 5:30","1","13.94","",""
"140036278R","MANIF-INTAKE","1/22/2019 5:30","1","127.45","",""
"140044690R","MANIF-EXH","1/22/2019 5:30","1","175.52","",""
"140044725R","MANIF-EXH","4/1/2015 5:30","1","221.65","",""
"140045374R","MANIF-EXH","1/22/2019 5:30","1","228.97","",""
"140046402R","MANIFOLD ASSY-E","10/7/2015 5:30","1","202.20","",""
"140130823R","SHIELD-HEAT.MAN","1/22/2019 5:30","1","47.13","",""
"140133142R","COVER-MANIFOLD","10/7/2015 5:30","1","45.36","",""
"140133477R","SHIELD-HEAT, EX","1/22/2019 5:30","1","113.31","",""
"140134433R","SHIELD-HEAT, EX","4/1/2015 5:30","1","20.55","",""
"140136241R","COVER-MANIFOLD","10/7/2015 5:30","1","52.07","",""
"140141HC0A","SUPPORT-MANIFOL","1/31/2015 5:30","1","1.87","",""
"140141HS0A","SUPPORT-MANIFOL","3/4/2015 5:30","1","2.21","",""
"14014CK80B","STAY-EXH MANIF.","1/22/2019 5:30","1","9.35","",""
"140171HC0A","SUPT-INT MANIF","10/3/2015 5:30","1","3.19","",""
"14017EE50A","SUPT-INT MANIF","10/3/2015 5:30","1","3.09","",""
"140323253R","GSKT-INTAKE MAN","1/22/2019 5:30","1","10.06","",""
"140328698R","GSKT-INTAKE MAN","1/22/2019 5:30","1","5.35","",""
"14032CK90A","GSKT-INT MANIF","4/1/2015 5:30","1","16.04","",""
"140351HC0A","GASKET-MANIFOLD","1/31/2015 5:30","1","2.58","",""
"140356151R","GSKT-INTAKE MAN","1/22/2019 5:30","1","2.01","",""
"140361579R","SEAL-EXH MANIF","1/22/2019 5:30","1","5.33","",""
"140361HC0A","GSKT-EXH MANIF","1/31/2015 5:30","1","1.35","",""
"140361KT0A","GSKT-EXH MANIF","2/3/2015 5:30","1","33.29","",""
"140362111R","SEAL-EXH MANIF","1/22/2019 5:30","1","1.00","",""
