"Part #","Description","Effective From","Multiplication Factor(Part)","USD PRICE","",""
"112103691","BOLT","10/3/2015 5:30","1","0.69","",""
"112103701","BOLT-HEX HD,W/W","5/8/2018 5:30","1","1.95","",""
"112106091","BOLT-HEX HD,W/W","10/3/2015 5:30","1","1.12","",""
"112107161","BOLT-HEX FLANGE","10/3/2015 5:30","1","1.12","",""
"112107261","SCR-HEX HD,PP W","10/3/2015 5:30","1","0.91","",""
"01121N0031","BOLT","10/3/2015 5:30","1","1.12","",""
"01121N6021","BOLT-HEX,W/CON","10/3/2015 5:30","1","1.63","",""
"01121N6031","BOLT.","1/31/2015 5:30","1","1.63","",""
"01121N6041","BOLT-HEX,W/CON","1/31/2015 5:30","1","2.42","",""
"01121N6071","BOLT-HEX,W/CON","1/31/2015 5:30","1","0.69","",""
"01121N6121","BOLT","10/3/2015 5:30","1","1.77","",""
"01121N6141","BOLT-HEX,W/CON","1/31/2015 5:30","1","0.69","",""
"01121N6151","BOLT-HEX,W/CON","6/2/2015 5:30","1","2.06","",""
"01121N6211","BOLT-HEX,W/PW","1/31/2015 5:30","1","1.63","",""
"01121N6241","BOLT-HEX,W/PW.","10/3/2015 5:30","1","2.42","",""
"01121N8021","BOLT","10/3/2015 5:30","1","1.12","",""
"01121N8031","BOLT","1/31/2015 5:30","1","1.63","",""
"01121N8041","BOLT.","1/31/2015 5:30","1","0.69","",""
"01121N8051","BOLT","10/3/2015 5:30","1","0.69","",""
"01121N8111","BOLT","10/3/2015 5:30","1","0.69","",""
"01121N8121","BOLT","1/31/2015 5:30","1","0.69","",""
"01121N8131","BOLT-HEX,W/CON","6/2/2015 5:30","1","1.28","",""
"01121N8141","BOLT","1/31/2015 5:30","1","0.69","",""
"01121S615E","BOLT","10/3/2015 5:30","1","1.05","",""
"112500443","BOLT","10/3/2015 5:30","1","0.99","",""
"112500931","BOLT","7/25/2019 5:30","1","0.81","",""
"0112500Q0F","BOLT.","10/3/2015 5:30","1","2.53","",""
"112502501","BOLT-HEX HD,FLG","10/3/2015 5:30","1","2.07","",""
"112503241","BOLT-HEX HD,FLG","10/3/2015 5:30","1","0.69","",""
"112503421","BOLT-HEX HD,FLG","10/3/2015 5:30","1","0.69","",""
"1.12E+224","BOLT","1/31/2015 5:30","1","5.01","",""
"1.13E+244","BOLT","10/3/2015 5:30","1","2.07","",""
"1.12E+274","BOLT","1/31/2015 5:30","1","5.01","",""
"INF","BOLT.","5/8/2018 5:30","1","0.13","",""
"INF","BOLT","10/3/2015 5:30","1","1.12","",""
"INF","BOLT","10/3/2015 5:30","1","1.12","",""
"INF","BOLT-ROCKER COV","10/3/2015 5:30","1","0.99","",""
"INF","BOLT-ROCKER COV","10/3/2015 5:30","1","3.19","",""
"INF","BOLT.","10/3/2015 5:30","1","1.12","",""
"INF","BOLT","10/3/2015 5:30","1","5.01","",""
"INF","BOLT-HEX","10/3/2015 5:30","1","1.12","",""
"INF","BOLT","1/31/2015 5:30","1","2.42","",""
"INF","BOLT","10/3/2015 5:30","1","5.01","",""
"INF","BOLT OIL PUMP","1/31/2015 5:30","1","2.42","",""
"INF","BOLT-HEX","10/3/2015 5:30","1","1.12","",""
"01125N0041","BOLT","4/1/2015 5:30","1","3.89","",""
