"Heavy Duty - Price List w.e.f 01/APR/2021","","","","","","",""
"Schaefﬂer Part No","Reference","Description","Application","DIA","USD","",""
"4240020100","4240020100","Spring Kit","Spring Kit 15"" 4 Lever (16 springs)","380","10.69","",""
"ASHOK LEYLAND LTD : FLYWHEEL","","","","","","",""
"4160114100","L-03904-0G68-00","Flywheel","LEYLAND HINO - 2214 -136 TEETH","355","127.12","",""
"4160115100","L-03904-0G69-00","Flywheel","LEYLAND 4018 -136 Teeth","380","140.82","",""
"ASHOK LEYLAND LTD :","","","","","","",""
"7220940100","","Detent Pin","Ashok Leyland Model: 2518T, 3118T, 4923, 3718T BS 3 & BS 4","","25.97","",""
"TATA MOTORS LTD : LCV","","","","","","",""
"6173008090","L-01617-0G01-00","Clutch Set","Tata Ace / Magic","170","","",""
"6173019090","","Clutch Set","Tata Ace / Magic (Heavy duty)","170","27.37","",""
"6173019000","","RepSet","Tata Ace / Magic (Heavy duty)","170","32.09","",""
"3170043100","L-03H17-0G01-00","Driven Plate","Tata Ace / Magic","170","10.51","",""
"6203413000","L-01620-0G43-02","Clutch Set","Tata Super Ace/ Venture Set","200","46.27","",""
"1240259100","L-01024-0P00-07","Cover Assembly","Tata 407 Turbo","240","34.40","",""
"3240889100","3240889100","Driven Plate","Tata 407 Turbo (RWC-GDY)","240","22.24","",""
"6244061090","","Clutch Set","Tata 407 Turbo (RWC-GDY)","240","51.53","",""
"1240322100","L-01024-0P12-01","Cover Assembly","Tata 407 Old Model","240","36.31","",""
"3240308100","L-03024-0PL6-13","Driven Plate","Tata 407 (AF-4059)","240","21.48","",""
"3240320100","L-03024-0PL6-15","Driven Plate","Tata 407 (RWC-GDY)","240","23.72","",""
"1280312100","L-01028-0P10-01","Cover Assembly","Tata 709 Turbo","280","44.23","",""
"3280412100","L-03H28-0PM8-02","Driven Plate","Tata 709 Turbo (RWC-GDY)","280","","",""
"3280848100","L-03028-1000-01","Driven Plate","TATA 407 TC/ 609/709 TC","280","40.42","",""
"6283142090","L-01428-0P10-01","Clutch Set","Tata 709 Turbo","280","74.20","",""
"1280430100","L-01028-0G40-06_AM","Cover Assembly","Tata 407 - Dia 280 mm","240","39.41","",""
"3280849100","L-03028-1109-00_AM","Driven Plate","Tata 407 - Dia 280 mm","240","41.74","",""
"6283358090","L-01628-0G40-06_AM","Clutch Set","Tata 407 - Dia 280 mm","240","77.64","",""
"TATA MOTORS LTD : M & HCV","","","","","","",""
"1310293100","L-01031-0P24-01","Cover Assembly","Tata1612/1312/1313(Diaphragm3.4thk)","  310 ","61.95","",""
"3310276100","L-03H31-0G27-01","Driven Plate","Tata 1210 SE/SK/ 1312/ 1510 (AF-4059)","310","30.54","",""
"3310298100","L-03031-0PLK-01","Driven Plate","Tata 1210 SE/SK/ 1312/ 1510 (AF-4059)","310","26.63","",""
"3310299100","L-03031-0PLK-03","Driven Plate","Tata 1210 SE/SK/ 1312/1510(RWC-GDY)","310","30.12","",""
"1310270100","L-01031-0P05-01","Cover Assembly","Tata Cummins-PH2/ 1109Ex Turbo/ 1612TC (Diaphragm type)","310","84.31","",""
"3310282100","L-03031-0PL8-13","Driven Plate","Tata Cummins PH2/ 1109Ex Turbo/ 1612TC (RWC-GDY)","310","54.95","",""
"1330267100","L-01033-0P01-01","Cover Assembly","Tata 1613Turbo/ 1510TC/ Tipper Models BSIII (Type-4 Lever)","330","","",""
"1330276100","L-01033-0P02-01","Cover Assembly","Tata 1613Turbo/ 1510TC/ Tipper Models BSIII (Type-3 Lever)","330","88.54","",""
"3300123100","L-03H33-0G02-00","Driven Plate","Tata 1613 Turbo/1510TC (fan- 6 springs)","330","63.50","",""
"3300270100","L-03H33-0G01-00","Driven Plate","Tata 1613TC/ 1510TC / Tipper Models / BSIII (Organic) -4 Lever","330","37.86","",""
"3330242100","333024210","Driven Plate","Tata 1613 Turbo / 1510TC (fan- 7 springs)","330","61.19","",""
"4000581100","4000581100","Tools","Clutch lever height measuring tool - Tata GB40, GB50, GB60, GB75","  352 ","186.10","",""
"3310388100","3310388100","Driven Plate","TATA 1109 DP","310","28.00","",""
"6313196090","6313196090","Clutch Set","TATA 1109 (CA 1310293100#E
DP : 3310388100#E)","310","83.23","",""
"1420233200","1420233200","Cover Assembly","Tata 2515/2516/ 3515 - GB50/GB60 (w/o bearing)","352","114.78","",""
"1429235200","1429235200","Cover Assembly","Tata 2516- GB60 (with bearing)","352","149.09","",""
"3350346100","L-03035-0G18-80","Driven Plate","Tata 2515/ 2516/ 3515 - GB60 SYN- CHROMESH","352","65.98","",""
"3350379100","","Driven Plate","Tata GB 60 (Push type) Organic (8 spring)","","71.61","",""
"3350369100","L-03035-0G18-81","Driven Plate","Tata GB-50","350","72.62","",""
"3380221100","L-03038-1011-80","Driven Plate","TATA GB75 - DP ( Dia 380mm )","380","64.22","",""
"4341216100","","Friction material (Facing) – 380 Dia High Copper","TATA GB75 &
GB1150 – 380 X 220 x 4.5 mm Facing","","17.63","",""
"1380221100","1380221100","Cover Assembly","Tata 2518 & 3118 - GB 75","380","143.73","",""
"3380218100","3380218100","Driven Plate","Tata 2518/3118/3718 - GB 75 Cera-Metallic clutch plate, 15"" 1,75 Spline","380","79.47","",""
"3380233100","L-03038-1009-80","Driven Plate","Tata 2518/3118/3718 - GB 75 Cera-Metallic clutch plate, 15"" 1,75 Spline","380","82.15","",""
"3430287100","","Driven Plate","Tata Prima (Organic (6 spring))","280","152.27","",""
"TATA MOTORS LTD : FLYWHEEL","","","","","","",""
"4160353100","","Flywheel","TATA 2516 BS-III 146 teeth with sensor","","82.67","",""
"4160109100","L-03904-0G65-00","Flywheel","1613 TURBO 12 HOLE-125 Teeth","330","58.47","",""
"4160113100","L-03904-0G67-00","Flywheel","TATA 2516-138 TEETH","352","74.91","",""
"4160112100","L-03904-0G71-00","Flywheel","TATA 2516 TC-173 Teeth","352","74.55","",""
"TATA MOTORS LTD : LEVER KIT / SPRING KIT","","","","","","",""
"4330336100","","Lever Kit","Tata 1613 Turbo / GB40","Kit","15.98","",""
"4340417100","L-02915-0G03-00","Lever Kit","Lever Kit 1613 / 1512 - 330 Dia-4 lever","Kit","8.69","",""
"4340424100","L-02915-0G04-00","Lever Kit","Lever Kit 2515/3515, GB50/60 with Bearing","Kit","23.91","",""
"4340425100","L-02915-0G04-01","Lever Kit","Lever Kit 2515/3515, GB50/60 without Bearing","Kit","16.95","",""
"4340418100","L-08160-0GJG-00","Spring Kit","Spring Kit 330, 4 lever (16 springs)","Kit","10.63","",""
"4340426100","L-08160-0GJH-00","Spring Kit","Spring Kit 2515/3515,GB50/60 (21springs)","Kit","18.64","",""
"4340419100","L-08160-0GJI-00","Spring Kit","Spring Kit 330, 3 Lever (9 springs)","Kit","9.12","",""
"4340380100","4340380100","Lever Ring","330-3 Lever Collector Ring","Kit","4.27","",""
"5001172100","5001172100","Lever Kit","GB 50 & 60 Lever Kit with Brg/with eye bolt kit (Major Kit)","Kit","29.89","",""
"4340309100","4340309100","Lever Kit","GB 75- Lever Kit Major with eye bolt","Kit","25.37","",""
"4340310100","4340310100","Lever Kit","GB 75- Lever Kit Minor without eye bolt","Kit","20.03","",""
"4340538100","4340538100","Spring kit","GB75- Spring kit","Kit","27.83","",""
"4340539100","4340539100","Lever Kit","GB75- Clutch collector ring","Kit","6.77","",""
"TATA MOTORS LTD : PRESSURE PLATE / BLACK PLATE","","","","","","",""
"4340422100","L-01103-0G05-00","Press Plate","Pressure Plate GB50/GB60 without Bearing","352","33.22","",""
"4340423100","L-01103-0G05-01","Press Plate","Pressure Plate GB50/GB60 with Bearing","352","41.76","",""
"4340421100","L-01103-0G07-00","Press Plate","Back Plate 330 dia 3 lug - Tata 1613 - 1512 (For Ass: L-01033-0P02-01)","330","31.19","",""
"FORCE MOTORS LTD (TEMPO TRAVELLER)","","","","","","",""
"3240645100","324064510","Driven Plate","Force Tempo Traveller-Euro-II & Euro-III","240","22.31","",""
"6243550090","624355009","Clutch Set","Force Tempo Traveller - Euro-II","240","55.32","",""
"6243548090","624354809","Clutch Set","Force Tempo Traveller - Euro-III","240","58.19","",""
"6244069000","","RepSet","Tempo Traveller Euro III","240","56.64","",""
"MAHINDRA & MAHINDRA LTD","","","","","","",""
"1280393100","L-01H28-0G22-00","Cover Assembly","Mahindra Navistar-Cosmo-T32 & T40 Bus","280","45.83","",""
"3280684100","L-03H28-0G79-00","Driven Plate","Mahindra Navistar-Cosmo-T32 & T40 Bus","280","47.88","",""
"1240342100","L-01024-0P14-01","Cover Assembly","M&M_Nissan Cabstar / Cabking / Load- king (9.2mm thk)","240","36.94","",""
"3240376100","L-03024-0PM6-01","Driven Plate","M&M_Nissan Cabstar / Cabking / Load- king (9.2mm thk)","240","23.63","",""
"1240387100","L-01024-0P14-11","Cover Assembly","M&M_Nissan Loadking / Tourister CRDi / BSIII Models","240","38.58","",""
"3240337100","L-03024-0PM6-03","Driven Plate","M&M_Nissan Loadking / Tourister CRDi / BSIII Models","240","26.57","",""
"1280334100","L-01028-0P23-01","Cover Assembly","Mahindra LCV (Sherpa)","280","53.52","",""
"3280509100","L-03028-0PMI-03","Driven Plate","Mahindra LCV (Sherpa)","280","56.60","",""
"1240586100","L-01H24-0P14-12","Cover Assembly","Mahindra Loadking CRX BS-III","240","34.42","",""
"6163009090","616300909","Clutch Set","Mahindra Maxximo","160","23.61","",""
"SWARAJ MAZDA LTD (SML ISUZU LTD)","","","","","","",""
"6263104090","L-01626-1000-00","Clutch Set","Swaraj Mazda Clutch Set","260","73.85","",""
"6263104000","6263104000","RepSet","Swaraj Mazda","260","84.18","",""
"1260019100","L-01026-0P00-03","Cover Assembly","Swaraj Mazda Cover Assembly","260","43.34","",""
"3260051100","L-03026-0PA1-80","Driven Plate","Swaraj Mazda Driven Plate","260","37.86","",""
"1310316100","L-01H31-0G30-01","Cover Assembly","SML ISUZU IS 12TE_Cover Assy","310","81.63","",""
"3310347100","L-03H31-0G83-01","Driven Plate","SML ISUZU IS 12TE_Driven Plate","310","51.68","",""
"DAIMLER INDIA COMMERCIAL VEHICLES PVT LTD (BHARAT BENZ)","","","","","","",""
"1330291100","L-01H33-0G05-00","Cover Assembly","Bharat Benz_Daimler-914R CA","330","74.84","",""
"3330274100","L-03H33-0G20-01","Driven Plate","Bharat Benz_Daimler-914R DP","330","57.63","",""
"1360227100","L-01H36-0G13-00","Cover Assembly","Bharat Benz_Daimler-1217C CA","360","81.61","",""
"3360045100","L-03H36-0G22-08","Driven Plate","Bharat Benz_Daimler-1217C DP","360","89.17","",""
"1400256100","1400256100","Cover Assembly","Bharat Benz 395 Dia","395","166.39","",""
"3400110100","3400110100","Driven Plate","Bharat Benz 395 Dia","395","109.73","",""
"EICHER MOTORS LTD","","","","","","",""
"1280291100","L-01028-0P01-01","Cover Assembly","Eicher Canter 10.6 / 10.9 Models","275","40.84","",""
"3280419100","L-03028-0PL5-07","Driven Plate","Eicher canter 10.6 / 10.9 mm (Organic facing)","275","33.27","",""
