"Group","Category","Sub Category","PART-NO","ENG-NO","DESC","HSN Code","Inv_Sts","USD PRICE","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRMS006","PRMS006                  ","sales prospect cards","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPA013","PRPA013                  ","Insert IkonCards    ","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPS011","PRPS011                  ","narain kartikeyan pr","87089900","ONR","0.01","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","PRPS012","PRPS012                  ","Danglers            ","87089900","ONR","0.09","",""
"Electricals and Air Conditioning","Electrical","Wiring","TSB0040","TSB0040                  ","flylead -multifunc s","85443000","ONR","0.27","",""
"Electricals and Air Conditioning","Electrical","Wiring","TSB0041","TSB0041                  ","headlamp connector  ","85443000","ORB","1.24","",""
"Accessories","Other Accessories","Other Accessories","W1NREGL","                         ","window reg power LH ","87089900","ORB","42.34","",""
"Accessories","Other Accessories","Other Accessories","W1NREGR","W1NREGR                  ","window reg power RH ","87089900","ORB","42.34","",""
"Accessories","Other Accessories","Other Accessories","WK1T003","WK1T003                  ","WIRING-POWER WINDOW ","85443000","ONR","12.75","",""
"Accessories","Styling","Body Kits","ACCS001","AXS6JF10199AA            ","BODYSIDE SKIRTS     ","87082900","ONR","29.22","",""
"Accessories","Styling","Spoilers","ACCS002","XS6JF44210AA             ","REAR WING SPOILER   ","87082900","ONR","60.35","",""
"Suspension and Steering","Steering","Steering Misc","ACCS003","                         ","STEERING WHEEL LEATH","87089900","ONR","64.66","",""
"Accessories","Styling","Exhaust Extensions","ACCS004","XS6J40700AA              ","EXHAUST TRIM        ","87089900","ONR","9.43","",""
"Collision","Trims","Other Body and Trim Parts","ACCS005","                         ","CARPET FLMATS-A (BLU","57050019","ONR","18.79","",""
"Collision","Trims","Other Body and Trim Parts","ACCS006","                         ","CARPET FLMATS-A (RED","57050019","ORB","17.38","",""
"Collision","Trims","Other Body and Trim Parts","ACCS007","                         ","CARPET FLMATS-C (GRE","57050019","ONR","38.41","",""
"Collision","Trims","Other Body and Trim Parts","ACCS008","                         ","CARPET FLMATS-C (BLU","57050019","ONR","42.42","",""
"Accessories","Protection","Floor Mats","ACCS009","YN2JA13010AA/BA          ","RUBBER FLMATS-FRT/RR","40169100","CUR","12.98","",""
"Accessories","Protection","Seat Covers","ACCS010","                         ","SEAT COVER-FABRIC   ","94012000","ONR","67.77","",""
"Accessories","Other Accessories","Other Accessories","ACCS012","                         ","FIRST AID KIT       ","30065000","ORB","7.77","",""
"Accessories","Protection","Mud Flaps","ACCS013","A96FX16L560AA            ","MUDFLAPS FRONT      ","87081090","CUR","5.27","",""
"Accessories","Protection","Floor Mats","ACCS014","ACCS014                  ","BOOT MATS           ","40169990","ONR","10.47","",""
"Accessories","Other Accessories","Other Accessories","ACCS015","                         ","CAR COVER IKON      ","63079090","CUR","35.08","",""
"Accessories","Protection","Car Care Chemicals","ACCS016","ACCS016                  ","CAR CARE KIT        ","39199090","ONR","11.00","",""
"Accessories","Protection","Seat Covers","ACCS019","                         ","SEAT COVER-LEATHER  ","94019000","ONR","294.85","",""
"Collision","Trims","Other Body and Trim Parts","ACCS021","XS6JF16D588AA            ","MUDLFAPS REAR       ","87081090","ORB","5.60","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","CAT0001","ACCESS0RYCATAL0GUE       ","ACCS REPAIR CATALOGU","49019900","ONR","0.00","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","CAT0009","                         ","ACCESSORIESBROCHURE ","49019900","ONR","0.01","",""
"Electricals and Air Conditioning","Electrical","Other Alternator Parts","C1RBR01","C1RBR01                  ","CIRBR01             ","85443000","ORB","6.05","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","DSBD001","DSBD001                  ","DISPLAY BOARD FOR ST","94032010","ONR","77.22","",""
"Miscellaneous","Miscellaneous","Other (touch-up paint, manual)","DSTD006","DSTD006                  ","DISPLAY STAND-4 STAN","94032010","ONR","664.19","",""
"Collision","Trims","Seat Assy.","FRTST01","XS61F600K04CG1CHN        ","FRT SEAT ASY(LOW) RH","94012000","ONR","226.77","",""
"Collision","Trims","Seat Assy.","FRTST02","XS61F600K04DG1CH0        ","FRT SEAT ASY(HIGH)RH","94012000","ONR","230.51","",""
"Collision","Trims","Seat Assy.","FRTST03","XS61F600K05CG1CHN        ","FRT SEAT ASY (LOW) L","94012000","ONR","239.28","",""
"Collision","Trims","Seat Assy.","FRTST04","XS61F600K05DG1CH0        ","FRT SEAT ASY(HIGH)LH","94012000","ONR","212.84","",""
"Electricals and Air Conditioning","Electrical","Wiring","H0RNC0N","H0RNC0N                  ","HORN JUMPER         ","85443000","ONR","9.90","",""
