"Part #","Description","USD EXW","",""
"74850SX8N11","LOCK ASSY TRUNK","7.30","",""
"52748TF0020","RUBBER.SPG LWR MT RR","3.15","",""
"22551RAYA01","PLATE.CLUTCH END 1","11.75","",""
"79611SNBT41ZB","KNOB SET","30.41","",""
"39120SDAA12","SPKR ASSY.17CM ND SI","16.95","",""
"41341PC9010","PINION.DIFF","23.58","",""
"34901SB3671","TAIL LAMP BULB. RH.","2.30","",""
"72674S84A01","ROD.L RR DOOR ACT","1.00","",""
"23953PL3A10","SHIM.65MM.W","4.13","",""
"90615P6H000","RING.SNAP.60MM","2.36","",""
"91596SR3J01","CLAMP B.FUEL PIPE","1.53","",""
"74210SEMK00","COWL TOP ASSY DR.","12.35","",""
"08Z01SX7549S","SPL PCKG 14","0.00","",""
"21000RF0305","CASE SET.CLUTCH","284.87","",""
"83163SDAU01ZB","LNG L.COW*YR239L*","2.16","",""
"19315RNAA01","COVER COMP.WATER OUT","6.74","",""
"90135TY0J01","BOLT.STRG JOINT YOKE","1.38","",""
"46920SMG043","M/C ASSY.CLUTCH","119.65","",""
"08A10060310","SPEAKER REAR","0.00","",""
"08P33SX770S16","L/TRIM ST PL OYSTER","0.00","",""
"36533PM3000","CLAMP SENSOR OXYG","1.58","",""
"07PAF0010700","PIN.INSERT","32.87","",""
"73375SELT01","GARN L.FR CORN","12.72","",""
"08Z01TM0720H","SUB ELEGANCE KIT","20.91","",""
"63536TC0T01","SEPARATOR L.FR PL","4.73","",""
"33550SNB0031","R/C LAMP ASSY LH","105.39","",""
"76200SWAU51ZF","MIRROR ASSY.. R. DOO","160.16","",""
"90430RJFT00","COTTER.40.5MM","5.04","",""
"81455SDJD11ZB","BELT ASSY*YR239L*","31.29","",""
"83240SDAA11ZB","GRAB RAIL*YR239L*","17.87","",""
"90543S2GC21","WASHER.PLAIN","0.71","",""
"38166P1A003","JOINT  2WAY (5.0MM)","1.34","",""
"08E12TB09M006","BASE FR LED STEP ILL","0.00","",""
"14711RYEA00","VALVE.INLET","16.96","",""
"23968PW5000","SHIM.68MM B","4.55","",""
"74120S9A003","LOCK ASSY.HOOD","20.95","",""
"77234SV4003","CLIP","2.58","",""
"90108S9A000","BOLT G/BOX MT","1.53","",""
"53449S04J51","BAND B.BELLOWS","4.07","",""
"13212PAHT01","BRG B.CONNROD","8.57","",""
"76701S6A003","MOUNT RUBBER","1.23","",""
"71190SWAJ00","UP BEAM L FR BPR","19.13","",""
"77102SX8T00ZA","PNL INST UPPER","108.01","",""
"35113SM4901","KEY COMP..IGNITIO","12.36","",""
"71504SNNE00","COVER.RR BPR LWR","2.83","",""
"08P70TG1700","DOOR HANDLE PROTECTOR","24.91","",""
"18120RAAA01","COVER COMP.EXH MN","33.12","",""
"01465TA0A00","SET.FR BRAKE HOSE","31.60","",""
"76253SDKD31","MIR.SUB ASS L","9.46","",""
"79305TG0T01","BLOWER SUB ASSY","72.36","",""
"74202S84E00","LID DR.COWL TOP","7.27","",""
"19502P0A901","HOSE.WATER LWR","0.00","",""
"23210R88000","MAINSHAFT COMP","157.63","",""
"60810SWAU00ZZ","FRAME COMP R FR SIDE","431.25","",""
"83250SLJJ03ZE","CNSL ASSYROOF*YR327L","69.71","",""
"13322RAAA02","BRG B.MAIN UPPER","8.05","",""
"80341SDFQ61","PIPE COMP.RECEIVE","88.79","",""
"72815SNAA01ZE","SEAL.R RR DOOR OPENI","38.08","",""
"9391324480","SCREW.TAPPING.4X1","0.18","",""
"90106S84A40","BOLT.WASH 8X40","1.46","",""
"90017P01003","BOLT WASH 14X29","4.97","",""
"27653P4M000","CAP.CPC VALVE","2.36","",""
"938910601208","SCRW WASHER","0.38","",""
"65750TA0A00ZZ","C/MBR COMP.REAR F","56.39","",""
"90107S2G003","BOLT TAIL GATE LOCK","0.99","",""
"80110SDFP61","CONDENSER COMP","303.16","",""
"07MACSL00200","REMOVER.BALL JOIN","198.23","",""
"17237RZA000","TUBE RESONATOR A","3.56","",""
"61550SX8T01ZZ","C/MBR COMP.DA/BD","160.93","",""
"74815SZ3A01YY","GARN. TRUNK CYLINDER","4.62","",""
"83442TM0T01ZC","LID.H/B COVER","0.68","",""
"72140SX8N00","HANDLE OUT","5.01","",""
"42100SELT00","BEAM ASSY.RR AXLE","387.28","",""
"34104SX8T01","SOCKET&CORD CP","0.85","",""
"08P32TF0F01G1","FABRIC","41.96","",""
"65617SNAU00ZZ","FRAME B R.REAR","24.82","",""
"72315SV4013ZB","SEAL R FR*NH178L*","0.00","",""
"13214RNAA02","BRG D.CONNROD","9.70","",""
"39170SNAT63ZA","PANEL ASSY RH GE 6SP","319.75","",""
"74653SDCA00","PLATE.PRE SLNCR B","19.81","",""
"76270SDAA11","GARN.L.DOOR MIRRO","3.39","",""
"08L33S9A700B","RUNNING BOARD","261.44","",""
"34251S6A003","LENS","23.46","",""
"33501S5A003","RR RHS TAIL LIGHT","113.09","",""
"35100S9AH52","LOCK ASSY..STEERI","239.12","",""
"84640SX8N00ZA","LINNING.R*NH264L*","6.46","",""
"34155SM4Q03","LIGHT ASSY..L.LID","0.00","",""
"53200S84E04","COLUMN ASSY STEERING","255.42","",""
"90557SNA010","WASHER A.SELECT WIRE","1.06","",""
"07HAZSG00500","DEPLOYMENT TOOL","185.76","",""
"90661S2A003","CLIP.DRAIN HOSE","0.61","",""
"31100RJJ004","ALTERNATOR ASSY","982.11","",""
"60100SM4020ZZ","HOOD COMP","0.00","",""
"38200TG2F12","BOX ASSY FUSE","245.53","",""
"43215TA0A51","PISTON ASSY","24.58","",""
"08P32S9A70C07","L/S COV CL CAMEL","0.00","",""
"76331S9A003ZE","COVER     *NH578*","20.51","",""
"90612RJFT00","RING.SNAP.94MM","2.52","",""
"90063PC6000","BOLT.STUD.6X25","1.38","",""
"01466SNNP00","SET.RR BRAKE HOSE R","12.26","",""
"15650RB0000","GAUGE COMP.OIL LEVEL","6.25","",""
"42700TM2M01","WHEEL.DISK 15X5 1/2J","22.33","",""
"72940SEMK00ZA","GARN.R RR*NH167L*","1.09","",""
"51602SDAY14","DAMPER ASSY.L FR","234.36","",""
"82921SWAA01ZD","TRIM COVE*YR358L*","22.52","",""
"33555SWA003","REFLECTOR ASSY.. L. RR.","10.07","",""
"66100SELT10ZZ","PANEL COMP.REAR","88.14","",""
"35118SWAU30","BLNAK-KEY COMP..I","96.12","",""
"81528SWAA22ZC","BCK CVR L FR*YR327L*","96.59","",""
"13810RZA008","PULLEY COMP CRANK SH","77.70","",""
"50690TF0980","BRKT.TORQUER.AT/2WD","23.34","",""
"25420PW4010","STRAINER.ATF","32.78","",""
"9391315520","SCREW TAP(PO) 5X20","0.25","",""
"90860SA5003","PLUG. HOLE 16MM","1.56","",""
"04674SNAU00ZZ","EXTN SET R.FR W/H LW","63.31","",""
"60215SDAA00ZZ","LWR STAY R.FR FEN","4.09","",""
"08U92SDE700AX","KIT SELET KNOB","0.00","",""
"91102RPC003","BRG.NEEDLE 30X52X19","16.21","",""
"08E12TG0700Y1","*KIT SIDE STEP ILLUM","0.93","",""
"13328PWA004","BRG H.MAIN UPR","8.30","",""
"08V67TG0730HX","BACK UP SENSOR ALABASTER SILVER","20.41","",""
"83415S9A003","RING A","2.39","",""
"77620TG1T01ZA","OUTLET AS*NH167L*","3.86","",""
"75323SNBT01ZD","PROTR COMP L.FR DOOR","0.00","",""
"77104TA0000ZC","PAD.AS MI*NH723L*","96.77","",""
"44338SNEA21","CIRCLIP","0.89","",""
"39120SEL950","RR. SPEAKER","0.00","",""
"76256SNBN11ZE","SET L.HOUSING S/T*NH","77.44","",""
"50830TA0A02","MTG RUB ASSY.ENG FR(AT)","142.21","",""
"65741S9A310ZZ","C/MBR.RR FLR UP","43.25","",""
"60614TM0T00ZZ","MBR R.FR W/H UP","25.33","",""
"78565TA0U81ZA","SW ASSY.P*NH167L*","38.74","",""
"28400PZC003","SOLENOID ASSY","52.24","",""
"74181TM0T01","DNAMIC DAMP.FR SIDE","33.62","",""
"44500TA1A00","SHAFT ASSY.HALF (","178.32","",""
"90003R36000","BOLT.SPECIAL 11MM","2.11","",""
"22576RJBE01","PLATE.CLUTCH END","16.24","",""
"81194S9AJ21","PIN HINGE B RR","1.41","",""
"12211RE2E01","SEAL B.VALVE STEM","0.80","",""
"42760SNBP20","CAUTION PLATE.TIRE P","1.70","",""
"25423PC9010","HOLDER SPG MAGNET","1.09","",""
"12230PWA000","COVER.CAM THRUST","2.26","",""
"22500PWP003","CLUTCH ASSY. FORW","187.86","",""
"83503SNDT22ZA","BASE COM.R.FR.DOOR","196.29","",""
"83501SWAA41ZB","BASE COMP*YR327L*","294.04","",""
"77530SDAK02","DAMPER ASSY.G-BOX","7.03","",""
"32415TA0003","PROTR.STARTER CAB","3.33","",""
"37820RD7N01","ECU","419.64","",""
"60610SX8T51ZZ","WHEEL HOUSE COMP","119.27","",""
"90008P8AA01","BOLT-WASH.10X60","2.71","",""
"21300PWR921","PLATE ASSY. INTRMEDI","2087.45","",""
"13011PAAY01","RING SET.PISTON","39.24","",""
"47560SELT53","WIRE B.L PARKING B","19.56","",""
"16623PWA003","RUBBER B","1.33","",""
"60431S86Q00ZZ","FRAME.FR BHD UP","32.91","",""
"76622S30003","BLADE RUBBER","7.81","",""
"83403S86K11ZB","GARN.CONS*YR164L*","8.51","",""
"39695SNVH01ZT","SENSOR ASSY.CTR L(H/13DEG)*NH533*","0.00","",""
"51810SH3004","FR BUSH LH","0.00","",""
"90065PG6000","BOLT.STUD.10X24","1.93","",""
"90309SLJ003","NUT ASSY.SPKR","2.39","",""
"76620S9A307","BLADE WSHLD WIPER","31.67","",""
"24901P8C000","HOLDER.CONTL WIRE","20.44","",""
"72226SWAA00","BRKT ASSY B FR DOOR","11.02","",""
"60120S5A000ZZ","HINGE COMP R.HOOD","11.47","",""
"81597S9AJ21ZC","COVER ARM*YR239L*","10.30","",""
"08P03S84700FX","BMPR CORNER PROTR","0.00","",""
"85512TM0T01ZB","KNOB ASSY.TRUNK OPEN","0.99","",""
"67231SELT00050","PIPE FR DR SKIN","5.08","",""
"72125SH4A22ZG","CASE ASSY*NH264L*","5.59","",""
"27400PZC000","BODY ASSY. MANUAL VA","107.75","",""
"65590SELT0ZZA","FLR SIDE PNL COMP","26.95","",""
"90660SB2000","CLIP.CORD","1.52","",""
"9555035000","BLIND PLUG","1.31","",""
"950015542050","HOSE.FUEL.5.5X420","6.77","",""
"46376SDBA00","PIPE W COMP.BRAKE","4.02","",""
"88217S04003ZX","HOLDER SUNVISOR","1.91","",""
"73150TM0003","MLDG.FR WSHLD","5.16","",""
"81221SNAA02ZA","HANDLE.R.HEIGHT ADJU","7.32","",""
"08F20SEL700X","GOLD EMBLEM 3PCS","33.83","",""
"04652SELT60ZZ","W/H SUB SET L.FR","30.02","",""
"51601SEMT03","DAMPER ASSY.R FR","51.36","",""
"76632SDAA01","BLADE RUBBER","4.53","",""
"67111SEL306ZZ","SKIN SET.R FR DOOR","119.86","",""
"23952P21000","SHIM.72 V","6.61","",""
"90103TR0003","BOLT.DOOR LATCH M6","1.31","",""
"65610TM2K00ZZ","FRAME COMP R.REAR","37.76","",""
"08V31S9A700A","FOG LIGHT GARNISH","0.00","",""
"60910SEMK50ZZ","FRAME COMP L. FR S","110.12","",""
"38924RB7Z01","SET.FIELD COIL","85.99","",""
"54222SELT81ZA","COVER.SELECT LEV","1.49","",""
"9430205080","PIN B.KNOCK","0.71","",""
"11000PPA000","BLOCK ASSY.CYLN","1639.26","",""
"28260R90004","LINEAR S0LEN0ID A","191.32","",""
"39107TM0T02","ASSY.PANEL(A)USB/TUNER","224.26","",""
"44500S6MN00","SHAFT ASSY. HALF","323.67","",""
"19410PNA000","PASSANGE. WATER","102.46","",""
"72335S04003","WTHSTP FR DOOR IN","0.00","",""
"16727RKB003","COVER.FUEL CONNEC","1.81","",""
"04635S9A305ZZ","PNL SET R FR OUT","501.91","",""
"72180S9AJ01ZN","HANDLE ASS*B508M*","61.85","",""
"46943S5A003","SEAL.RING","1.93","",""
"19501RCAA00","HOSE.WATER UPPER","5.79","",""
"90450S9A000","NUT.FLANGE 10MM (","1.17","",""
"84121SNAA01ZE","GARN ASSY R. CTR PLR","26.11","",""
"19010RAFS01","RADIATOR COMP","116.47","",""
"76203TC5D01","SET R.MIR.COMP.E-","6.35","",""
"08W60SX7700X","SPORTS SUSPENSION(DR","0.00","",""
"72231SH4000","SASH R.FR DOOR CT","8.50","",""
"91599S7A931","CLAMP B.FUEL PIPE","3.67","",""
"90851S5A003","RIVET.TL 4.1MM","0.36","",""
"84614S9A000","TIEDOWN HOOK ASSY","6.31","",""
"91025PJ2003","BRG.NDL.14X18X15","4.45","",""
"32751SNAU01","WIRE HARN DOOR (DRIV","31.39","",""
"23521PL3345","SLEEVE SET.SYNCHR","181.84","",""
"72321TM0T00","SEAL.R FR DOOR HOLE","1.81","",""
"13345PWA004","BRG E.MAIN LWR","8.30","",""
"73150SELT01","MLDG.FR WSHLD","1.98","",""
"60619SAA300ZZ","BRKT R.FR FENDER","1.00","",""
"07PAD0010000","STEM SEAL DRIVER","84.15","",""
"08P33SX770C14","L/TRIM CL PL DP BLUE","0.00","",""
"17246RMX000","JOINT A.AIR INTAKE","5.06","",""
"78561TF0J61ZA","SW ASSY PAD SH L NH6","48.55","",""
"30102P3RD01","CAP ASSY.","9.71","",""
"16010ST5E01","SET.FUEL STRN COM","31.50","",""
"01473SZ3A00","SET RR CALIPER(10CL-","20.73","",""
"06770SX0N70ZB","KIT DR MO *NH264L*","0.00","",""
"76806SE0N01","MOTOR WASHER FR","28.50","",""
"17131RE2E00","TUBE.PCV","1.19","",""
"23511RFK900","GEAR.M-I","45.71","",""
"72350SX8T01","WTHSTP L.FR DOOR","33.61","",""
"90442P0A000","WASHER.HEAD COVER","6.35","",""
"19315PWA000","COVER COMP.WATER","6.82","",""
"54030SAA982","RLS.SHIFT LOCK","0.67","",""
"90371SEF000","NUT FLANGE 12MM","0.77","",""
"80872SR3K01","O-RING 1/2MM","0.63","",""
"51306SELT01","BUSH.STABI HOLDER","1.12","",""
"08P34S84700L","BODY COVER","0.00","",""
"13014PD1S10","WASHER SET.THRUST","7.97","",""
"72721SEMK00","COVER.R RR DOOR OUT","3.71","",""
"32108SEL960","WIRE HARN REAR","22.08","",""
"63137SNLZ01","SEPARATOR.FR PLR OUT","1.55","",""
"60261SCAE00ZZ","PANEL L.FR FENDER","193.81","",""
"72145S9A003","CYLINDER R.DOOR","19.82","",""
"74145SENH00SP","STAY HOOD OPEN SET","1.88","",""
"74866SNBG01","SW.GR..TR.CYLIN","17.01","",""
"60714TM0T00ZZ","MBR L.FR W/H UP","25.35","",""
"79029S9A003","COVER FOOT DUCT","6.15","",""
"63915S84A00ZZ","ADPT.FUEL CAP","17.03","",""
"23455RGR000","GEAR.M-3","65.73","",""
"75723SNCA01","EMBLEM.RR HYBRID","16.67","",""
"66500TM0T00ZZ","PARCEL SHELF COMP.RE","148.00","",""
"74151S04000","FENDER.L.FR.INNER","17.59","",""
"23481PCJ000","GEAR.M-I","54.99","",""
"9621104000","BALL.STEEL..4","0.17","",""
"24530PN1000","SLEEVE COMP.SERVO","3.21","",""
"71186S84A00ZZ","WEIGHT.FR BPR D/D","43.91","",""
"21931RAY000","HOLDER COMP.SENSO","6.84","",""
"83592SEMK00ZA","COVER L.F*YR239L*","2.58","",""
"77810SDBU60ZA","MODULE ASSY DR*NH167","548.67","",""
"77100SDET00ZB","PANEL.ASSY*TYPEU*","767.01","",""
"43227S9AE01","SPG.PAD","4.51","",""
"57477TA0305","SEAL. LIP (BLACK)","2.40","",""
"62100TM4H00ZZ","PANEL COMP.ROOF","288.81","",""
"46941S5A003","CONNECTOR.C.M/C","11.38","",""
"35255S84Q01","SW ASSY.LIGHTING","104.05","",""
"78518SMAJ71ZA","BODY COVER*NH167L*","13.59","",""
"32131RB0010","LOWER HOLDER A.EN","6.97","",""
"62SWA40","CRV O5 REPAIR CHARGE","17.31","",""
"67324SELJ01","TAPE SET R FR DOO","9.12","",""
"75302SNBT01ZH","PROTR COMP R.FR DOOR","50.15","",""
"22555RPC004","PLATE.CLUTCH END 5","9.90","",""
"71101SNBE90ZN","FACE.FR BUMPER*RP37P","130.85","",""
"22300PAA003","DISK COMP.PRESSUR","174.47","",""
"76600S9A003","ARM WSHLD WPR (J.DR)","31.50","",""
"80362SJAA00","CLAMP SUC HOSE","4.56","",""
"73455TL0E00","GLASS L RR DOOR Q","158.99","",""
"33800SM4013","LIGHT ASSY SIDE","0.00","",""
"22569P7T003","PLATE.CLUTCH END","14.59","",""
"08P32S86700C02","L/S COV CL PL BLACK","0.00","",""
"24537PA9003","STOPPER. PARKING BRAKE","5.52","",""
"52388S84A00","CAM PLATE","2.44","",""
"43345SEMT01","PLUG.INSPECTION","0.20","",""
"36164RMX000","STAY COMP.PURGE CONT","8.37","",""
"90008RNAA00","WASHER.SEALING 36MM","0.98","",""
"22559PY4003","PLATE.CLUTCH END","15.94","",""
"91591SAA931","CLAMP A.FUEL PIPE","1.73","",""
"21216PVL000","PLATE.OIL CATCH","4.07","",""
"77611SEMK01ZA","CASE COMP CTR OUTLET","7.77","",""
"60413S86K00ZZ","STAY R.FR BHD SID","27.86","",""
"13217PE0004","BRG.G CONNROD","6.60","",""
"1E100RMX013","JUNCTION BOARD ASSY","542.89","",""
"76200SNND01ZA","MIR.ASSY..RH-R R/C D","70.91","",""
"47360TG1T01","EQUALIZER","0.38","",""
"81121TM0Q01ZB","TRIM COVER R.FR BACK","33.34","",""
"22751P6H000","PIPE.8X21.5","1.28","",""
"08P01TC0710001X","PROTECTOR R FR CORNE","24.54","",""
"90142S04J32","BOLT 7X16X23.4","0.40","",""
"83163SNAU11ZA","LINING. L. COWL SIDE","15.32","",""
"83451TA0A01ZA","BOX TRAY *NH167L*","3.98","",""
"91610SED003","GROMMET.GARN INN","1.46","",""
"76516SNAA01","MOUNT RUBBER","0.24","",""
"78512SDAA61ZA","CAP.BODY *NH167L*","5.64","",""
"43018S84A11","REAR CALLIPER SUB","207.73","",""
"77960SNBU63","UNIT ASSY.SRS","371.99","",""
"22653PRP901","PLATE 2.0.CLUTCH","8.05","",""
"74660SDAA00","CAP ASSY.F/MAIMT","8.83","",""
"08Z03S9EA01","AESTHETIC PACKAGE 1","0.00","",""
"39794S5A004","RELAY ASSY.F/PUMP","13.41","",""
"81154SDGH71ZA","COVER R.I*YR239L*","2.23","",""
"22814PA9023","SEAL RING 32MM","3.49","",""
"23977P16000","SHIM.78MM.AK","5.25","",""
"19522R70A00","HOSE B.WATER","7.09","",""
"53200SNB053","COLUMN ASSY.STRG","426.13","",""
"47510TG2T51","WIRE B.HAND BRAKE R","10.63","",""
"74494TM0T02","SPRING.F/LID OPEN","4.56","",""
"83161S9AE01ZC","LNG ASSY *YR239L*","11.87","",""
"13020PPA010","PISTON B SET","43.87","",""
"74111SDCA00","SPLASH SHIELD.FR","46.05","",""
"20021R98000","TRNS ASSY.BARE","0.00","",""
"13623R40A01","SPACER A","6.14","",""
"77215SEMK00ZC","VIS ASS.MET L*NH167L","11.93","",""
"33507SDAA31","BASE GASKET","7.97","",""
"23531PH0000","GEAR.COUNTERSHAFT","41.96","",""
"13811P2A000","PULLEY.CRANKSHAFT","77.35","",""
"82183SDEU11ZA","CUP HOLDE*NH361L*","92.35","",""
"957010601204","BOLT.FLANGE.6X12","0.29","",""
"13212PWA003","BRG B.CONNROD","8.72","",""
"77501SX8T00ZA","BOX.GLOVE*NH264L*","17.13","",""
"76833SJK003","TUBE 70","0.17","",""
"9390144220","SCREW TAPPING 4X10","0.25","",""
"38185TG1000","BRKT.M/RELAY BOX","0.74","",""
"46597SDCQ01","STAY A.PEDAL ASSY","2.47","",""
"51602SWAJ31","DAMPER ASSY.L FR","349.68","",""
"71174SWAJ31ZH","MLDG UPR *NH731P*","16.17","",""
"74209SNAA00","RUBBER L.SEAL","3.24","",""
"08P80S84B00","SHIFT LOCK ""MT""","0.00","",""
"08V67TG1750KX","BACK UP SENSOR(2SENSOR)","6.53","",""
"34401SDET01","LENS(R)","3.10","",""
"57455TA0A01","SENSOR ASSY.FRONT","90.97","",""
"17731SX8M30","PIPE COMP.FUEL","5.31","",""
"53713SDFU01","HOSE COMP.P/S FEE","205.86","",""
"83404TF0J01ZA","CONSOLE.SEPARATE BOX *NH167L*","10.39","",""
"91550S50003ZE","CLIP.TAIL*NH167L*","1.26","",""
"72275TM2K01","RUNCHANNEL.L FR DOOR","12.18","",""
"67410SNA003ZZ","HINGE.R FR DOOR U","18.37","",""
"81144SDAA01ZC","GUIDE COM*YR239L*","3.61","",""
"22300RAAJ01","DISK COMP.PRESSUR","149.35","",""
"31112PAAA00","BRKT COMP.ACG .","63.97","",""
"50370TA0A01","MTG RUB RR.RR SUB","31.00","",""
"32118SNW000","CORD.SIDE TURN","3.49","",""
"82180SNND01ZA","ARM REST ASSY.RR SEA","137.41","",""
"14721P2A000","VALVE.EXHAUST","36.10","",""
"90106SYA010","BOLT-WASH.6X25","1.74","",""
"81107SWAA51ZB","FOOT COVER RR OUT R","5.40","",""
"21200RZF000","CASE COMP  TRANSMISS","220.33","",""
"91501TG2K01","CLIP.INN FENDER","1.10","",""
"22568RDK003","PLATE.CLUTCH END","12.58","",""
"04711SX0J00ZZ","FACE FR BUMPER","0.00","",""
"84131TG0T01ZA","GARNISH ASSY.. R. QUARTER PILLAR *NH220L*","13.02","",""
"23421P7W000","GEAR.C-L","66.10","",""
"26251PAA000","PLATE.DRIVE","74.19","",""
"76200TC0P01ZF","MIR.ASSY..RH*T99*(ORVM LIGHT)","156.10","",""
"82192S9A003ZC","UNDER COV*YR239L*","20.59","",""
"83401TA0J01ZC","SIDE PANE*YR327L*","17.54","",""
"54110SDA003","KNOB COMP.OUTER","37.11","",""
"83236S5A003ZA","SUNVISOR *NH220L*","0.20","",""
"17656S9A003","PIPE ASSY.BRTHR J","18.97","",""
"67450SX8N01ZZ","HINGE B DOOR","21.54","",""
"32121PNA000","HOLDER A.ENG HARN","8.52","",""
"28960RAY000","WIRE HARN.AT","19.01","",""
"08F21TM0740X","FR. GRILLE (CRYSTAL","215.96","",""
"72450SH4003","MLDG ASSY L FR DR","36.05","",""
"32601SEL920","BOLT.BAT TERM","5.18","",""
"52722S9A014","RUBBER.BUMP STOP","12.26","",""
"90405RJB000","WASHER.THRUST 39X","12.23","",""
"50830SFE305","MOUNTING FR ENGINE","105.59","",""
"83543SELT91ZA","PANEL R.FR P/W SW(MA","8.84","",""
"32416TA0003","HOLDER.ST CABLE","2.79","",""
"75701TM0000","EMBLEM.H-MARK 75 (GL","3.12","",""
"66418SD4900","STOPPER.CONSOLE L","0.98","",""
"35114SWAA01","KEY CASE BOTTOM C","9.05","",""
"22521RPC003","PISTON.CLUTCH","26.66","",""
"74148TM0G00","MLDG.HOOD","4.80","",""
"23450RAY307","SET.PARKING GEAR","94.92","",""
"73211S47003","REAR W/SHIELD GLASS","0.00","",""
"31101RNAA01","ROTOR ASSY","101.04","",""
"72410TG1T01","MLDG ASSY.R FR DOOR","7.20","",""
"72835TM0T01","WTHSTP.R RR DOOR INN","5.05","",""
"37823RE1Z00","COVER.ECU","1.10","",""
"76250S9AD23ZE","MIR.ASSY.*NH623M*","177.21","",""
"89216SF4000","WRENCH COMP..PLUG","0.74","",""
"42115SEL015","DYNAMIC DAMPER. RR A","30.03","",""
"39793SE3003","RELAY ASSY.POWER","0.00","",""
"74829SELT00","STOPPER TRUNK LID","0.25","",""
"57475SNA013","SENSOR ASSY.REAR","66.96","",""
"73127S04000","SEAL. FR. WINDSHIELD MOLDING SIDE","2.40","",""
"91561S5PA01","SCREW GROMMET. M5","1.38","",""
"83275S9A003","PAD L.RR ROOF SID","6.08","",""
"62SNC00B","CIVIC HYBRID 2006 (V","290.84","",""
"83480S3N003ZN","ASHTRAY A*YR239L*","20.16","",""
"81126SNBT23","FR SEAT BACK & CUSH","249.11","",""
"43022SFEN00","DISC PAD SET. REAR (NBK D6272 FF)","141.82","",""
"53601SNDE08","END COMP.TIE ROD L","677.34","",""
"08Z01TF0006D9","ACC'Y NAME TAGS SET","1.38","",""
"83246SNAA01ZB","CAP B *YR327L*","0.17","",""
"36531R70A02","SENSOR.LAF.FR","195.30","",""
"32107TG2W20","WIRE HARN.FLOOR","95.98","",""
"84442STK003ZC","CAP A GRIP T/G LWR","2.50","",""
"35765S5A003ZA","SW.ASSY P*NH167L*","7.80","",""
"07GADSD40101","DRIVER ATTACHMENT. 7","37.19","",""
"75722SNLT01","EMBLEM.RR CIVIC","3.93","",""
"17500S86K00","TANK COMP.FUEL","227.92","",""
"18307SL4J02","EXH.SLNCR.COMP.","0.00","",""
"33301SX8T01","BULB (12V 21/5)","2.05","",""
"90115SFE004","BOLT FLANGE 6X12","0.64","",""
"54102S10003","KNOB COMP CHANGE","26.48","",""
"84102SNA305","CUSHION.FR PLR GARN","10.91","",""
"27112RPC000","PLATE.MAIN SEP","15.39","",""
"84433SWA003ZC","GARN ASSY T/G UPR","24.82","",""
"33501SDAQ11HT","TAIL LIGHT ASSY. R","114.59","",""
"35256SDAQ01","SW ASSY.WIPER","17.33","",""
"67010SELT1ZZA","PANEL COMP.R FR DOOR","295.84","",""
"75323SX8T10ZA","PROTR COMP L RR DR","8.50","",""
"84631TA0A00","CARPET.SPARE TIRE","9.56","",""
"72950TA0A01","MLDG ASSY.L RR DO","39.51","",""
"84205SDCU00ZA","CAP.FR SI*NH361L*","1.79","",""
"08Z03SEL700CX","HEATER CONTROL PANEL","6.57","",""
"06350TC0U31","SET KEY CYLINDER","572.97","",""
"51391SDBA01","BUSH.COMPLIANCE F","15.78","",""
"83550TG2X12ZA","LNG ASSY L.FR DOOR*NH167L    1*","41.35","",""
"07HAGSF10100","PISTON SEAL RING GUI","34.14","",""
"9405005080","NUT.FLANGE.5MM","0.17","",""
"64330SND320ZZ","W/HOUSE COMP R.REAR","125.56","",""
"90107S3VA00","BOLT CALIPER MT","2.08","",""
"22576RZK003","PLATE CLUTCH END 6","13.15","",""
"81131SELT51ZA","TRIM COVE*YR239L*","32.06","",""
"53447ST0003","CLIP TRANSFER TUB","2.16","",""
"72850TL0003","WTHSTP.L RR DOOR","53.82","",""
"71109SNB000","FOG COVER L.FR BPR","3.31","",""
"18302SP0003","GASKET.EXH PIPE","4.05","",""
"38300S5T003","RELAY(ASSY).TURN","27.52","",""
"72115S84A11","ACTUATOR ASSY R F","27.90","",""
"77300S9AT01ZC","COVER ASS*YR239L*","69.78","",""
"43375SA0003","CLIP L BRAKE","1.97","",""
"44305SNLT51","SHAFT ASSY.R DRIV","307.44","",""
"19320RNAA00","CASE COMP.THERMO","56.80","",""
"72615S84A01","ACTUATOR ASSY.R R","30.15","",""
"52675SWAA02","BASE DAMPER MT RR","25.54","",""
"83780S9AJ91ZB","ARMREST C*YR248L*","31.76","",""
"46374TC1T00","PIPE U COMP.BRAKE","17.86","",""
"80287SX8T21","SEAL EVAPO OUT","3.14","",""
"950053515510","TUBE 3.5 X 155","4.46","",""
"9621111000","BALL.STEEL 11","0.20","",""
"13347PWA003","BRG G.MAIN LWR","9.51","",""
"44728SEA004","WEIGHT BALANCE 25G","2.27","",""
"31135RJAA01","END COVER.REAR","6.07","",""
"80220SX8D01","VALVE ASSY EXPANS","37.72","",""
"18100RMX000","PIPE COMP.EXH MNFLD","177.53","",""
"46321SX8T00","PIPE H COMP.BRAKE","1.58","",""
"42200S04008","BRG ASSY.RR HUB U","112.69","",""
"75723TG2K00","EMBLEM.RR GRADE V","1.33","",""
"14270RCAA01","PULLEY.T/B DRIVEN R","31.68","",""
"08F02SWE720X","TAIL GATE SPOILER","69.78","",""
