Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
84,2059008,O,87089900,SCREW HOLLOW M12 X 24,ASTRA,1.53
85,2059009,O,87089900,SCREW HOLLOW OTLT PIPE,ASTRA,2.71
86,2060275,O,87089900,PLUG M14 OIL DUCT,ASTRA,0.88
87,2060664,O,87089900,PLUG EXPANSION 30 8 MM OD,ASTRA,1.42
88,2060666,O,87089900,PLUG EXPANSION 36 MM OD,ASTRA,1.03
89,2060946,O,87089900,PLUG EXPANSION 36 MM OD,ASTRA,1.04
90,2064008,O,87089900,NUT HEX M12 SHOCK ABSORBER,CORSA,1.07
91,2064160,O,,HEXAGONAL NUT - M10,Undefined,0.35
92,2064226,O,87089900,HEXAGONAL NUT M9,ASTRA,0.20
93,2064236,O,87089900,HEXAGONAL NUT M8,ASTRA,0.25
94,2064341,O,87089900,NUT HEX M10,ASTRA,0.23
95,2064410,O,87089900,NUT HEX,ASTRA,0.62
96,2064886,O,87089900,NUT ENG MOUNTING BRACKET TO F,ASTRA,0.56
97,2064890,O,87089900,HEXAGONAL NUT M10,ASTRA,1.21
98,2066007,O,87089900,HEXAGONAL NUT M6 X 18,ASTRA,0.40
99,2066027,O,87089900,NUT M8 BRACKET SECONDARY AIR,ASTRA,0.42
100,2066105,O,87089900,HEXAGONAL NUT M 5,ASTRA,0.36
101,2066211,O,87089900,HEXAGONAL NUT M10,ASTRA,0.15
102,2066915,O,87089900,HEXAGONAL NUT M8,ASTRA,0.41
103,2066918,O,87089900,NUT,ASTRA,0.33
104,2072001,O,87089900,NUT,ASTRA,0.30
105,2072015,O,87089900,CLAMP SPRING INSTRUMENT PANEL CO,VECTRA,0.77
106,2072155,O,87089900,NUT,ASTRA,0.57
107,2072302,O,87089900,NUT,CORSA,0.96
108,2074075,O,87089900,LOCK WASHER 5,ASTRA,0.12
109,2076017,O,87089900,RING SNAP 8 X 0 8,ASTRA,0.21
110,2076023,O,87089900,RING SNAP,ASTRA,1.41
111,2080076,O,87089900,WASHER RAIL TO PLUG,ASTRA,0.10
112,2080496,O,87089900,SHIM PEDAL,ASTRA,0.49
113,2080728,O,87089900,LOCKING WASHER 5,ASTRA,0.12
114,2080781,O,87089900,WASHER TENSION 13 18 0 5,ASTRA,0.15
115,2080862,O,87089900,WASHER SAFETY 12MM SHAFT IN DI,ASTRA,0.20
116,2082108,O,87089900,WASHER SPRING 10 5,ASTRA,0.26
