S. No.,Part No.,Description,USD Price,,,
1,0001107078BS1,Starter,192.44,,,
2,0001107540BS1,Starter,125.75,,,
3,0001109460BS1,Starter,245.23,,,
4,0001123012BS1,Starter,154.37,,,
5,0001125042BS1,Starter,227.47,,,
6,0001261028HHD,Starter,361.08,,,
7,0001263008BS1,Starter,364.01,,,
8,0001330050EVF,Starter,715.03,,,
9,0001417058000,Starter,539.18,,,
10,0120689543001,Alternator,523.78,,,
11,01241100074AV,Alternator,68.45,,,
12,01241100084AV,Alternator,63.92,,,
13,01241100094AV,Alternator,82.26,,,
14,01245252364AV,Alternator,216.51,,,
15,0124525525BGN,Alternator,212.56,,,
16,01245255544AV,Alternator,221.37,,,
17,0124555008850,Alternator,239.40,,,
18,0124555009BGN,Alternator,320.39,,,
19,01245550564AV,Alternator,171.86,,,
20,01245555584AV,Alternator,200.46,,,
21,01246550694AV,Alternator,181.63,,,
22,0125811109BGN,Alternator,349.02,,,
23,018999903MKM1,Battery Charger,35.00,,,
24,018999907MKM1,Battery Charger,73.70,,,
25,02048396707HH,MasterCylinder Assy,289.41,,,
26,02048456007HH,MasterCylinder Assy,182.95,,,
27,022150447077S,Ignition Coil,21.10,,,
28,0242140507000,Suppressed Spark Plug,4.65,,,
29,02422296567A0,Suppressed Spark Plug,1.91,,,
30,0242232505000,Suppressed Spark Plug,3.08,,,
31,02422328017BG,Spark-Plug Set,15.42,,,
32,0242236566000,Suppressed Spark Plug,8.82,,,
33,0242245568EHG,Suppressed Spark Plug,1.23,,,
34,0242255511879,Suppressed Spark Plug,25.80,,,
35,0250201022EAF,glow plug,11.29,,,
36,0250201035KM2,glow plug,10.51,,,
37,0250201039EAF,glow plug,5.32,,,
38,0250201054EAF,glow plug,24.74,,,
39,0250202022EAF,glow plug,6.28,,,
40,0250202130EAF,glow plug,9.78,,,
41,0250202136079,glow plug,10.09,,,
42,0250202142EAF,glow plug,23.06,,,
43,0250203012EAF,glow plug,28.32,,,
44,0250212002079,glow plug,12.34,,,
45,0250212003079,glow plug,4.93,,,
46,0250212005079,glow plug,5.87,,,
47,0250212011079,glow plug,6.19,,,
48,0250212014KM2,glow plug,6.61,,,
49,0250212019079,glow plug,9.24,,,
50,0250212904079,glow plug,7.44,,,
51,0250402005EAF,glow plug,8.19,,,
52,0250403005079,glow plug,112.63,,,
53,0250403009EAF,glow plug,7.94,,,
54,0250403014EAF,glow plug,6.30,,,
55,0250603004EAF,glow plug,20.19,,,
56,0250603006EAF,glow plug,19.86,,,
57,0258986507EMF,Oxygen Sensor,38.22,,,
58,0260120025001,Solenoid Valve,27.51,,,
59,02612101133BZ,Rot.-Speed Sensor,19.98,,,
60,02612101473BZ,Rot.-Speed Sensor,56.08,,,
61,02612101783BZ,Rot.-Speed Sensor,25.13,,,
62,02612304434AR,Pressure Sensor,62.37,,,
63,0265005146399,Acceleration Sensor,104.25,,,
64,02722207094AV,EL Field  Regulator,31.19,,,
65,02722207314AV,EL Field  Regulator,15.42,,,
66,02722207334AV,EL Field  Regulator,19.81,,,
67,02722207344AV,EL Field  Regulator,22.50,,,
68,02722207364AV,EL Field  Regulator,19.96,,,
69,02722207424AV,EL Field  Regulator,26.01,,,
70,0280130026770,Temperature Sensor,6.28,,,
71,0280218190002,Hot-Film Air-Mass Meter,69.46,,,
72,0280750151001,Throttling Device,72.73,,,
73,0280752296390,Accelerator-Pedal Module,43.97,,,
74,0281002209001,Temperature Sensor,4.87,,,
75,02810022094AR,Temperature Sensor,4.59,,,
76,02810022143BZ,Rot.-Speed Sensor,18.73,,,
77,02810022144AR,Rot.-Speed Sensor,13.13,,,
78,0281002241390,Pressure regulator,93.46,,,
79,0281002311000,Temperature Sensor,9.78,,,
80,02810023154AR,Rot.-Speed Sensor,9.79,,,
81,0281002412001,Temperature Sensor,4.30,,,
82,0281002437000,Pressure/Temperat Sensor,18.94,,,
83,0281002445390,Pressure regulator,80.73,,,
84,0281002480390,Pressure regulator,89.05,,,
85,0281002481390,Pressure regulator,116.53,,,
86,0281002494390,Pressure regulator,103.58,,,
87,0281002497000,Pressure Sensor,182.81,,,
88,0281002500390,Pressure regulator,106.90,,,
89,0281002507390,Pressure regulator,80.91,,,
90,0281002531001,Hot-Film Air-Mass Meter,76.77,,,
91,0281002584390,Pressure regulator,136.71,,,
92,0281002623000,Temperature Sensor,62.36,,,
93,02810026483UC,Solenoid Valve,87.57,,,
94,0281002667002,Phase Sensor,13.91,,,
95,0281002682390,Pressure regulator,128.68,,,
96,0281002687390,Accelerator-Pedal Module,163.65,,,
97,0281002712390,Pressure regulator,65.16,,,
98,0281002718390,Pressure regulator,145.50,,,
99,0281002738390,Pressure regulator,111.27,,,
100,0281002756000,Hot-Film Air-Mass Meter,56.61,,,
101,02810027814AR,Solenoid Valve,180.28,,,
102,0281002800390,Pressure regulator,89.01,,,
103,0281002829390,Pressure regulator,99.53,,,
104,0281002842000,Pressure Sensor,78.38,,,
105,0281002846000,Pressure Sensor,79.49,,,
106,0281002863000,Pressure Sensor,87.76,,,
107,0281002908000,Pressure Sensor,79.49,,,
108,0281002909001,Pressure Sensor,76.30,,,
109,0281002930000,Pressure Sensor,89.57,,,
110,0281002937000,Pressure Sensor,78.02,,,
111,0281002942001,Pressure Sensor,22.43,,,
112,0281002949390,Pressure regulator,111.27,,,
113,0281002952000,Pressure Sensor,65.16,,,
114,0281002982000,Pressure Sensor,79.52,,,
115,0281002990390,Pressure regulator,85.58,,,
116,0281006015390,Pressure regulator,62.72,,,
117,0281006017390,Pressure regulator,79.49,,,
118,0281006018000,Pressure Sensor,79.49,,,
119,0281006021000,Temperature Sensor,9.39,,,
120,0281006035000,Pressure Sensor,65.16,,,
121,0281006037390,Pressure regulator,105.85,,,
122,0281006047000,Pressure Sensor,32.58,,,
123,0281006053000,Pressure Sensor,144.99,,,
124,0281006064000,Pressure Sensor,88.46,,,
125,02810060674AR,Rot.-Speed Sensor,9.80,,,
126,0281006117000,Pressure Sensor,178.67,,,
127,0281006143000,Phase Sensor,13.44,,,
128,0281006158000,Pressure Sensor,87.76,,,
129,0281006163000,Pressure Sensor,81.55,,,
130,0281006164000,Pressure Sensor,29.71,,,
131,0281006165000,Pressure Sensor,89.01,,,
132,0281006186000,Pressure Sensor,79.49,,,
133,0281006187000,Pressure Sensor,80.42,,,
134,0281006200390,Pressure regulator,74.63,,,
135,0281006246390,Pressure regulator,62.72,,,
136,0281006264390,Pressure control valve,72.90,,,
137,0281006266000,Pressure Sensor,85.58,,,
138,0281006325001,Pressure Sensor,45.24,,,
139,0281006327000,Pressure Sensor,43.99,,,
140,0281006349000,Pressure Sensor,68.47,,,
141,0281006394390,Pressure control valve,127.19,,,
142,0281006403000,Pressure Sensor,100.94,,,
143,0281006405390,Pressure control valve,81.12,,,
144,0281006425879,Pressure Sensor,81.43,,,
145,0281006447000,Pressure Sensor,73.76,,,
146,0281006453000,Pressure Sensor,22.99,,,
147,0281007067000,Pressure Sensor,85.58,,,
148,0290800044850,Suppression Capacitor,11.36,,,
149,03300010424AR,Pulling Electromagnet,21.71,,,
150,03300010454AR,Pushing Electromagnet,65.77,,,
151,03301060254AR,Pushing Electromagnet,108.22,,,
152,0331101006001,Control Relay,49.24,,,
153,0331402015000,Solenoid Switch,41.30,,,
154,0331450002001,Solenoid Switch,62.12,,,
155,0331451002001,Engagement Solenoid,85.91,,,
156,0332002150896,Mini-Relay,19.87,,,
157,0332002256896,High-Current Relay,24.67,,,
158,0332011007896,Mini-Relay,2.86,,,
159,03320150027Z0,Relay,11.55,,,
160,0332019110896,Relay,7.39,,,
161,0332019203896,Relay,2.31,,,
162,0332207402896,Relay,6.61,,,
163,0332209151896,Relay,2.93,,,
164,0332209204896,Relay,2.96,,,
165,0332209207896,Mini-Relay,7.29,,,
166,0332209211896,Relay,2.57,,,
167,03330090113BZ,High-Current Relay,93.20,,,
168,0333301009002,Battery Relay,162.84,,,
169,0341003004001,Battery Master Switch,162.10,,,
170,0399C503344AV,O-Ring,0.11,,,
171,0399C507364AV,Retaining snap ring,0.81,,,
172,0399C507504AV,Driver Disc,0.92,,,
173,0399C521324AV,Cover Disc,2.55,,,
174,0399C740034EC,Needle bearing,0.89,,,
175,0399C740054EC,Needle bearing,2.92,,,
176,0399D521034AV,Planetary Gear Train,14.08,,,
177,0399D560434AV,Armature,50.83,,,
178,0399D760014AV,Armature,25.93,,,
179,04008641014AR,Injection-Pump Assembly,526.71,,,
180,0402736892000,Injection-Pump Assembly,7009.34,,,
181,0402796046000,Injection-Pump Assembly,12249.48,,,
182,0402796212001,Injection-Pump Assembly,3044.97,,,
183,0402796213002,Injection-Pump Assembly,4260.60,,,
184,0402996315000,Injection-Pump Assembly,3995.52,,,
185,0402996316000,Injection-Pump Assembly,3995.52,,,
186,0406000217410,Fuel-Injection Pump,44565.82,,,
187,0406008224410,Fuel-Injection Pump,39923.54,,,
188,04140010034AR,Injection Unit,104.94,,,
189,04141710613UC,Fuel-Injection Pump,37.86,,,
190,04141910124AR,Fuel-Injection Pump,53.49,,,
191,041426699680D,Fuel-Injection Pump,63.93,,,
192,04142870083UC,Fuel-Injection Pump,52.64,,,
193,04142870093UC,Fuel-Injection Pump,49.17,,,
194,04142870113UC,Fuel-Injection Pump,150.96,,,
195,04142870114AR,Fuel-Injection Pump,150.96,,,
196,04142870134AR,Fuel-Injection Pump,41.94,,,
197,04142970013UC,Fuel-Injection Pump,96.66,,,
198,04142970014AR,Fuel-Injection Pump,96.66,,,
199,04143960064AR,Fuel-Injection Pump,93.65,,,
200,04144011053UC,Fuel-Injection Pump,72.31,,,
201,04144011054AR,Fuel-Injection Pump,72.31,,,
202,04144011064AR,Fuel-Injection Pump,123.01,,,
203,04144011073UC,Fuel-Injection Pump,132.42,,,
204,04144011074AR,Fuel-Injection Pump,132.42,,,
205,04144911034AR,Fuel-Injection Pump,152.16,,,
206,04144911063UC,Fuel-Injection Pump,160.44,,,
207,04144911073UC,Fuel-Injection Pump,112.69,,,
208,04144911094AR,Fuel-Injection Pump,147.27,,,
209,04144911114AR,Fuel-Injection Pump,125.21,,,
210,04146930053UC,Fuel-Injection Pump,227.84,,,
211,04146930054AR,Fuel-Injection Pump,227.84,,,
212,04146930063UC,Fuel-Injection Pump,242.37,,,
213,04146930064AR,Fuel-Injection Pump,242.37,,,
214,04146930074AR,Fuel-Injection Pump,236.66,,,
215,0414701066741,Unit Injector System,357.92,,,
216,0414702023741,Unit Injector System,353.30,,,
217,0414750003741,Unit Pump System,320.12,,,
218,0414750004741,Unit Pump System,319.09,,,
219,0414755016741,Unit Pump System,217.47,,,
220,0414943014410,Fuel-Injection Pump,6796.33,,,
221,0431114003741,Nozzle-Holder Assembly,41.62,,,
222,0431114005741,Nozzle-Holder Assembly,53.72,,,
223,0431114007741,Nozzle-Holder Assembly,1.86,,,
224,04312110134AR,Nozzle-Holder Assembly,18.56,,,
225,04312120294AR,Nozzle-Holder Assembly,21.07,,,
226,0432131619741,Nozzle And Holder Assy,174.17,,,
227,04321316204AR,Nozzle And Holder Assy,43.39,,,
228,04321316444AR,Nozzle And Holder Assy,115.60,,,
229,04321318034AR,Nozzle And Holder Assy,184.84,,,
230,04321318044AR,Nozzle And Holder Assy,190.61,,,
231,0432131880741,Nozzle And Holder Assy,206.20,,,
232,04321337594AR,Nozzle And Holder Assy,47.36,,,
233,04321337964AR,Nozzle And Holder Assy,104.58,,,
234,0432133837741,Nozzle And Holder Assy,162.66,,,
235,0432133877741,Nozzle And Holder Assy,88.72,,,
236,04321912054AR,Nozzle And Holder Assy,45.05,,,
237,04321912074AR,Nozzle And Holder Assy,52.66,,,
238,04321912094AR,Nozzle And Holder Assy,159.44,,,
239,04321912114AR,Nozzle And Holder Assy,152.34,,,
240,04321912144AR,Nozzle And Holder Assy,43.38,,,
241,04321912154AR,Nozzle And Holder Assy,54.93,,,
242,04321912174AR,Nozzle And Holder Assy,53.03,,,
243,04321912184AR,Nozzle And Holder Assy,58.01,,,
244,0432191226741,Nozzle And Holder Assy,140.98,,,
245,04321912274AR,Nozzle And Holder Assy,140.96,,,
246,0432191232741,Nozzle And Holder Assy,48.87,,,
247,0432191292741,Nozzle And Holder Assy,64.55,,,
248,0432191300741,Nozzle And Holder Assy,47.11,,,
249,0432191313741,Nozzle And Holder Assy,192.07,,,
250,0432191327741,Nozzle And Holder Assy,63.14,,,
251,0432191341741,Nozzle And Holder Assy,147.15,,,
252,0432191375741,Nozzle And Holder Assy,36.90,,,
253,0432191377741,Nozzle And Holder Assy,210.92,,,
254,0432191379741,Nozzle And Holder Assy,58.54,,,
255,043219140941U,Nozzle And Holder Assy,238.65,,,
256,0432191487741,Nozzle And Holder Assy,148.61,,,
257,0432191634741,Nozzle And Holder Assy,84.69,,,
258,0432191730741,Nozzle And Holder Assy,63.64,,,
259,0432191796741,Nozzle And Holder Assy,52.13,,,
260,04321933644AR,Nozzle And Holder Assy,44.06,,,
261,04321933954AR,Nozzle And Holder Assy,43.90,,,
262,04321933984AR,Nozzle And Holder Assy,47.36,,,
263,04321934044AR,Nozzle And Holder Assy,60.36,,,
264,04321934064AR,Nozzle And Holder Assy,69.31,,,
265,04321934104AR,Nozzle And Holder Assy,33.94,,,
266,04321934114AR,Nozzle And Holder Assy,31.54,,,
267,04321934134AR,Nozzle And Holder Assy,68.76,,,
268,04321934144AR,Nozzle And Holder Assy,42.51,,,
269,04321934224AR,Nozzle And Holder Assy,146.56,,,
270,04321934254AR,Nozzle And Holder Assy,140.59,,,
271,04321934264AR,Nozzle And Holder Assy,84.45,,,
272,04321934344AR,Nozzle And Holder Assy,145.19,,,
273,04321934584AR,Nozzle And Holder Assy,182.25,,,
274,0432193459741,Nozzle And Holder Assy,47.47,,,
275,04321934604AR,Nozzle And Holder Assy,165.47,,,
276,04321934614AR,Nozzle And Holder Assy,153.29,,,
277,04321934624AR,Nozzle And Holder Assy,153.03,,,
278,04321934644AR,Nozzle And Holder Assy,160.51,,,
279,0432193486741,Nozzle And Holder Assy,178.35,,,
280,0432193498741,Nozzle And Holder Assy,47.73,,,
281,04321935364AR,Nozzle And Holder Assy,382.08,,,
282,04321937344AR,Nozzle And Holder Assy,208.88,,,
283,0432193798741,Nozzle And Holder Assy,66.21,,,
284,04322915094AR,Nozzle And Holder Assy,30.98,,,
285,04322970604AR,Nozzle And Holder Assy,41.59,,,
286,04331710328GA,Hole-Type Nozzle,16.02,,,
287,04331710668GA,Hole-Type Nozzle,19.01,,,
288,04331710748GA,Hole-Type Nozzle,22.34,,,
289,04331711008GA,Hole-Type Nozzle,18.88,,,
290,04331711048GA,Hole-Type Nozzle,19.39,,,
291,04331711088GA,Hole-Type Nozzle,18.01,,,
292,0433171111079,Hole-Type Nozzle,14.61,,,
293,04331711168GA,Hole-Type Nozzle,18.26,,,
294,04331711218GA,Hole-Type Nozzle,30.92,,,
295,04331711318GA,Hole-Type Nozzle,22.75,,,
296,043317113475Y,Hole-Type Nozzle,16.45,,,
297,04331711348GA,Hole-Type Nozzle,16.45,,,
298,04331711498GA,Hole-Type Nozzle,20.14,,,
299,04331711658GA,Hole-Type Nozzle,18.32,,,
300,04331711688GA,Hole-Type Nozzle,53.85,,,
301,04331711748GA,Hole-Type Nozzle,21.25,,,
302,04331711778GA,Hole-Type Nozzle,18.20,,,
303,04331712048GA,Hole-Type Nozzle,16.17,,,
304,04331712058GA,Hole-Type Nozzle,31.73,,,
305,04331712068GA,Hole-Type Nozzle,26.42,,,
306,0433171221079,Hole-Type Nozzle,15.05,,,
307,0433171224079,Hole-Type Nozzle,22.05,,,
308,04331712348GA,Hole-Type Nozzle,20.68,,,
309,04331712638GA,Hole-Type Nozzle,26.39,,,
310,04331712818GA,Hole-Type Nozzle,29.32,,,
311,04331712908GA,Hole-Type Nozzle,19.35,,,
312,04331713068GA,Hole-Type Nozzle,17.79,,,
313,0433171329079,Hole-Type Nozzle,30.33,,,
314,04331713298GA,Hole-Type Nozzle,29.44,,,
315,04331713308GA,Hole-Type Nozzle,34.77,,,
316,04331713424N3,Hole-Type Nozzle,56.15,,,
317,0433171363079,Hole-Type Nozzle,19.73,,,
318,04331713718GA,Hole-Type Nozzle,15.44,,,
319,04331713904N6,Hole-Type Nozzle,26.36,,,
320,04331713908GA,Hole-Type Nozzle,26.36,,,
321,0433171398079,Hole-Type Nozzle,17.42,,,
322,0433171403079,Hole-Type Nozzle,16.13,,,
323,04331714318GA,Hole-Type Nozzle,15.03,,,
324,0433171432079,Hole-Type Nozzle,21.32,,,
325,04331714348GA,Hole-Type Nozzle,31.06,,,
326,04331714358GA,Hole-Type Nozzle,18.23,,,
327,04331714448GA,Hole-Type Nozzle,26.50,,,
328,04331714508GA,Hole-Type Nozzle,17.16,,,
329,043317145475Y,Hole-Type Nozzle,17.66,,,
330,04331714558GA,Hole-Type Nozzle,30.02,,,
331,04331714618GA,Hole-Type Nozzle,19.86,,,
332,0433171465079,Hole-Type Nozzle,26.65,,,
333,04331714788GA,Hole-Type Nozzle,20.04,,,
334,04331715308GA,Hole-Type Nozzle,28.26,,,
335,0433171550079,Hole-Type Nozzle,17.22,,,
336,04331715594N6,Hole-Type Nozzle,36.79,,,
337,04331715798GA,Hole-Type Nozzle,50.40,,,
338,04331715858GA,Hole-Type Nozzle,26.92,,,
339,04331715944N6,Hole-Type Nozzle,39.37,,,
340,04331715994N6,Hole-Type Nozzle,12.65,,,
341,04331715998GA,Hole-Type Nozzle,12.65,,,
342,04331716184N6,Hole-Type Nozzle,34.32,,,
343,04331716248GA,Hole-Type Nozzle,19.44,,,
344,04331716348GA,Hole-Type Nozzle,16.23,,,
345,04331716438GA,Hole-Type Nozzle,31.74,,,
346,04331716448GA,Hole-Type Nozzle,18.70,,,
347,043317165475N,Hole-Type Nozzle,35.20,,,
348,0433171658079,Hole-Type Nozzle,20.96,,,
349,04331717124N6,Hole-Type Nozzle,39.37,,,
350,04331717254N6,Hole-Type Nozzle,13.04,,,
351,04331717348GA,Hole-Type Nozzle,22.11,,,
352,04331717358GA,Hole-Type Nozzle,20.42,,,
353,04331717378GA,Hole-Type Nozzle,10.34,,,
354,04331717408GA,Hole-Type Nozzle,23.19,,,
355,04331717438GA,Hole-Type Nozzle,26.78,,,
356,04331717448GA,Hole-Type Nozzle,17.80,,,
357,04331717478GA,Hole-Type Nozzle,18.01,,,
358,043317175575N,Hole-Type Nozzle,35.20,,,
359,04331717668GA,Hole-Type Nozzle,16.42,,,
360,04331717734N6,Hole-Type Nozzle,39.37,,,
361,04331717748GA,Hole-Type Nozzle,35.20,,,
362,04331717768GA,Hole-Type Nozzle,16.73,,,
363,04331717798GA,Hole-Type Nozzle,22.11,,,
364,04331718004N6,Hole-Type Nozzle,35.96,,,
365,04331718128GA,Hole-Type Nozzle,50.58,,,
366,04331718174N6,Hole-Type Nozzle,34.77,,,
367,043317181975N,Hole-Type Nozzle,39.37,,,
368,04331718498GA,Hole-Type Nozzle,19.02,,,
369,0433171889079,Hole-Type Nozzle,42.61,,,
370,04331719134N6,Hole-Type Nozzle,34.35,,,
371,04331719144N6,Hole-Type Nozzle,41.39,,,
372,043317192175N,Hole-Type Nozzle,43.94,,,
373,04331719234N6,Hole-Type Nozzle,47.40,,,
374,04331719268GA,Hole-Type Nozzle,17.01,,,
375,04331719314N6,Hole-Type Nozzle,34.62,,,
376,04331719324N6,Hole-Type Nozzle,40.33,,,
377,04331719334N6,Hole-Type Nozzle,41.96,,,
378,043317193575N,Hole-Type Nozzle,43.16,,,
379,04331719394N3,Hole-Type Nozzle,35.31,,,
380,0433171940079,Hole-Type Nozzle,46.42,,,
381,04331719404N6,Hole-Type Nozzle,45.07,,,
382,04331719498GA,Hole-Type Nozzle,48.23,,,
383,043317196300N,Hole-Type Nozzle,50.03,,,
384,04331719648GA,Hole-Type Nozzle,47.03,,,
385,043317196500N,Hole-Type Nozzle,50.03,,,
386,04331719658GA,Hole-Type Nozzle,51.54,,,
387,043317196600N,Hole-Type Nozzle,45.66,,,
388,04331719684N3,Hole-Type Nozzle,40.33,,,
389,04331719804N3,Hole-Type Nozzle,43.94,,,
390,043317199275N,Hole-Type Nozzle,42.96,,,
391,04331720124N6,Hole-Type Nozzle,42.89,,,
392,04331720204N6,Hole-Type Nozzle,56.08,,,
393,0433172029079,Hole-Type Nozzle,42.62,,,
394,04331720294N6,Hole-Type Nozzle,41.38,,,
395,04331720408GA,Hole-Type Nozzle,42.05,,,
396,043317204775N,Hole-Type Nozzle,33.52,,,
397,043317204775Y,Hole-Type Nozzle,34.53,,,
398,04331720484N6,Hole-Type Nozzle,42.89,,,
399,04331720518GA,Hole-Type Nozzle,45.98,,,
400,04331720614N6,Hole-Type Nozzle,50.47,,,
401,0433172065079,Hole-Type Nozzle,46.42,,,
402,04331720654N6,Hole-Type Nozzle,45.07,,,
403,0433172067079,Hole-Type Nozzle,42.62,,,
404,043317206975N,Hole-Type Nozzle,40.33,,,
405,0433172074079,Hole-Type Nozzle,20.01,,,
406,043317207875Y,Hole-Type Nozzle,16.82,,,
407,0433172089079,Hole-Type Nozzle,30.13,,,
408,04331720938GA,Hole-Type Nozzle,51.44,,,
409,04331720988GA,Hole-Type Nozzle,52.69,,,
410,0433172101079,Hole-Type Nozzle,27.43,,,
411,04331721014N6,Hole-Type Nozzle,26.64,,,
412,043317210900N,Hole-Type Nozzle,46.42,,,
413,0433172117079,Hole-Type Nozzle,25.08,,,
414,043317211900N,Hole-Type Nozzle,46.99,,,
415,04331721198GA,Hole-Type Nozzle,46.99,,,
416,043317214000N,Hole-Type Nozzle,50.03,,,
417,04331721558GA,Hole-Type Nozzle,47.88,,,
418,04331721598GA,Hole-Type Nozzle,18.51,,,
419,04331721618GA,Hole-Type Nozzle,47.07,,,
420,04331721988GA,Hole-Type Nozzle,43.74,,,
421,04331722038GA,Hole-Type Nozzle,40.05,,,
422,04331722044N6,Hole-Type Nozzle,47.75,,,
423,04331722058GA,Hole-Type Nozzle,37.01,,,
424,043317220800N,Hole-Type Nozzle,69.66,,,
425,04331722164N6,Hole-Type Nozzle,41.27,,,
426,0433172253079,Hole-Type Nozzle,28.48,,,
427,0433172261079,Hole-Type Nozzle,24.76,,,
428,0433172265079,Hole-Type Nozzle,29.00,,,
429,0433172269079,Hole-Type Nozzle,25.82,,,
430,04331722754N3,Hole-Type Nozzle,48.32,,,
431,0433172276079,Hole-Type Nozzle,28.35,,,
432,0433172290079,Hole-Type Nozzle,25.07,,,
433,0433172306079,Hole-Type Nozzle,19.96,,,
434,0433172307079,Hole-Type Nozzle,46.23,,,
435,0433172313079,Hole-Type Nozzle,27.65,,,
436,0433172317079,Hole-Type Nozzle,29.33,,,
437,0433172321079,Hole-Type Nozzle,29.33,,,
438,0433172325079,Hole-Type Nozzle,19.36,,,
439,0433172341079,Hole-Type Nozzle,17.03,,,
440,0433172342079,Hole-Type Nozzle,21.25,,,
441,0433172349079,Hole-Type Nozzle,28.48,,,
442,0433172355079,Hole-Type Nozzle,18.02,,,
443,0433172368079,Hole-Type Nozzle,19.18,,,
444,0433172377079,Hole-Type Nozzle,17.62,,,
445,0433172378079,Hole-Type Nozzle,20.69,,,
446,0433172381079,Hole-Type Nozzle,20.66,,,
447,0433172385079,Hole-Type Nozzle,18.48,,,
448,0433172391079,Hole-Type Nozzle,40.66,,,
449,0433172396079,Hole-Type Nozzle,26.35,,,
450,0433172413079,Hole-Type Nozzle,21.30,,,
451,0433172423079,Hole-Type Nozzle,20.69,,,
452,0433172435079,DLLA148P2435 Nozzle,17.83,,,
453,043317245175Y,Hole-Type Nozzle,72.90,,,
454,0433172453079,Hole-Type Nozzle,15.01,,,
455,0433172455079,Hole-Type Nozzle,32.86,,,
456,043317247875Y,Hole-Type Nozzle,50.47,,,
457,0433172485079,Hole-Type Nozzle,18.26,,,
458,043317249075Y,Hole-Type Nozzle,57.41,,,
459,0433172492079,Hole-Type Nozzle,20.05,,,
460,0433172494079,Hole-Type Nozzle,16.86,,,
461,0433172520079,Hole-Type Nozzle,16.17,,,
462,0433172524079,Hole-Type Nozzle,17.95,,,
463,0433172525079,Hole-Type Nozzle,18.62,,,
464,0433172530079,Hole-Type Nozzle,21.42,,,
465,043317253375Y,Hole-Type Nozzle,42.62,,,
466,0433172545079,Hole-Type Nozzle,20.46,,,
467,043317254800N,Hole-Type Nozzle,39.26,,,
468,0433172549079,Hole-Type Nozzle,18.54,,,
469,043317255100N,Hole-Type Nozzle,50.47,,,
470,0433172570079,Hole-Type Nozzle,18.85,,,
471,0433172577079,Hole-Type Nozzle,23.80,,,
472,043317259275Y,Hole-Type Nozzle,56.08,,,
473,04331751008GA,Hole-Type Nozzle,52.20,,,
474,0433175113079,Hole-Type Nozzle,30.53,,,
475,0433175132079,Hole-Type Nozzle,31.07,,,
476,04331751408GA,Hole-Type Nozzle,23.80,,,
477,0433175147079,Hole-Type Nozzle,35.25,,,
478,0433175150079,Hole-Type Nozzle,65.63,,,
479,04331751638GA,Hole-Type Nozzle,34.35,,,
480,0433175179079,Hole-Type Nozzle,63.26,,,
481,0433175187079,Hole-Type Nozzle,13.12,,,
482,04331752018GA,Hole-Type Nozzle,39.26,,,
483,04331752298GA,Hole-Type Nozzle,17.61,,,
484,04331752304N6,Hole-Type Nozzle,34.77,,,
485,0433175267079,Hole-Type Nozzle,33.93,,,
486,0433175269079,Hole-Type Nozzle,36.06,,,
487,04331753098GA,Hole-Type Nozzle,40.04,,,
488,04331753104N6,Hole-Type Nozzle,35.09,,,
489,04331753148GA,Hole-Type Nozzle,34.35,,,
490,04331753194N6,Hole-Type Nozzle,31.40,,,
491,04331753268GA,Hole-Type Nozzle,35.20,,,
492,04331753478GA,Hole-Type Nozzle,26.56,,,
493,04331753488GA,Hole-Type Nozzle,27.46,,,
494,0433175364079,Hole-Type Nozzle,28.88,,,
495,04331753878GA,Hole-Type Nozzle,30.04,,,
496,04331753958GA,Hole-Type Nozzle,40.33,,,
497,04331754058GA,Hole-Type Nozzle,21.85,,,
498,04331754308GA,Hole-Type Nozzle,46.23,,,
499,0433175443079,Hole-Type Nozzle,25.10,,,
500,04331754498GA,Hole-Type Nozzle,42.05,,,
501,0433175451079,Hole-Type Nozzle,23.71,,,
502,0433175452079,Hole-Type Nozzle,22.15,,,
503,04331754568GA,Hole-Type Nozzle,44.56,,,
504,0433175457079,Hole-Type Nozzle,21.74,,,
505,0433175463079,Hole-Type Nozzle,24.82,,,
506,0433175465079,Hole-Type Nozzle,16.24,,,
507,04331754708GA,Hole-Type Nozzle,44.89,,,
508,04331754778GA,Hole-Type Nozzle,20.19,,,
509,04331754818GA,Hole-Type Nozzle,46.42,,,
510,04331754838GA,Hole-Type Nozzle,75.93,,,
511,04331754848GA,Hole-Type Nozzle,21.28,,,
512,0433175487079,Hole-Type Nozzle,26.69,,,
513,04331755028GA,Hole-Type Nozzle,56.08,,,
514,04331755108GA,Hole-Type Nozzle,42.05,,,
515,04331755198GA,Hole-Type Nozzle,42.06,,,
516,0433175525079,Hole-Type Nozzle,29.87,,,
517,0433175542079,Hole-Type Nozzle,18.62,,,
518,0433175557079,Hole-Type Nozzle,24.44,,,
519,0433175569079,Hole-Type Nozzle,23.04,,,
520,0433175570079,Hole-Type Nozzle,17.08,,,
521,0433175571079,Hole-Type Nozzle,13.76,,,
522,0433175573079,Hole-Type Nozzle,16.76,,,
523,0433175574079,Hole-Type Nozzle,15.39,,,
524,0433175578079,Hole-Type Nozzle,17.49,,,
525,0433175579079,Hole-Type Nozzle,23.51,,,
526,0433175580079,Hole-Type Nozzle,16.48,,,
527,0433175581079,Hole-Type Nozzle,22.61,,,
528,0433175585079,Hole-Type Nozzle,17.64,,,
529,0433175586079,Hole-Type Nozzle,18.00,,,
530,0433175588079,Hole-Type Nozzle,17.97,,,
