S. No.,Part No.,Description,USD Price,
96,1051227,XTeer HD Ultra 10W40_CK-4_5L,40.88,
97,1061004,XTeer HD Ultra 10W40_CK-4_6L,46.78,
98,1120002,XTeer HD Ultra 10W40_CK-4_20L,48.55,
99,1200002,XTeer HD Ultra 10W40_CK-4_200L,460.22,
100,1011012,XTeer HD 7000 15W40_CI-4_1L,31.22,
101,1041007,XTeer HD 7000 15W40_CI-4_4L,36.67,
102,1051238,XTeer HD 7000 15W40_CI-4_5L,34.80,
103,1061005,XTeer HD 7000 15W40_CI-4_6L,39.17,
104,1181238,XTeer HD 7000 15W40_18L,39.69,
105,1121003,XTeer HD 7000 15W40_CI-4_20L,42.88,
106,1200003,XTeer HD 7000 15W40_CI-4_200L,391.08,
107,1100238,XTeer HD 7000 15W40 CI-4_IBC_1000L,1743.70,
108,1011237,XTeer HD 7000 10W40_1L,31.00,
109,1051237,XTeer HD 7000 10W40_5L,34.58,
110,1120015,XTeer HD 7000 10W40_20L,45.27,
111,1200018,XTeer HD 7000 10W40_CI-4_200L,393.53,
112,1181239,XTeer HD 7000 20W50 CI-4_18L,39.78,
113,1121239,XTeer HD 7000 20W50 CI-4_20L,41.02,
114,1200239,XTeer HD 7000 20W50 CI-4_200L,400.60,
115,1200021,XTeer HD 10W_200L,335.10,
116,1011016,XTeer HD 6000 20W50_CH-4_1L,30.51,
117,1041010,XTeer HD 6000 20W50_CH-4_4L,36.93,
118,1051249,XTeer HD 6000 20W50_CH-4_5L,35.20,
119,1061007,XTeer HD 6000 20W50_CH-4_6L,39.82,
120,1180012,XTeer HD 6000 20W50_CH-4_18L,40.19,
121,1120012,XTeer HD 6000 20W50_CH-4_20L,43.58,
122,1200012,XTeer HD 6000 20W50_CH-4_200L,401.85,
123,1011266,XTeer HD 3000 10W30_CF-4_1L,24.57,
124,1061266,XTeer HD 3000 10W30_CF-4_6L,30.07,
125,1200030,XTeer HD 3000 10W30_CF-4_200L,311.13,
126,1051267,XTeer HD 3000 10W40_CF-4_5L,30.20,
127,1011026,XTeer HD 3000 15W40_CF-4_1L,25.77,
128,1041026,XTeer HD 3000 15W40_CF-4_4L,28.92,
129,1051026,XTeer HD_3000 15W40_CF-4_5L,27.69,
130,1061026,XTeer HD 3000 15W40_CF-4_6L,31.77,
131,1181026,XTeer HD 3000 15W40_CF-4_18L,31.95,
132,1121026,XTeer HD 3000 15W40_CF-4_20L,33.61,
133,1200026,XTeer HD 3000 15W40_CF-4_200L,335.28,
134,1011042,XTeer HD 3000 20W50_CF-4_1L,27.65,
135,1041042,XTeer HD 3000 20W50_CF-4_4L,31.62,
136,1051042,XTeer HD 3000 20W50_CF-4_5L,30.45,
137,1061042,XTeer HD 3000 20W50_CF-4_6L,34.19,
138,1181042,XTeer HD 3000 20W50_CF-4_18L,34.26,
139,1121042,XTeer HD 3000 20W50_CF-4_20L,36.98,
140,1200042,XTeer HD 3000 20W50_CF-4_200L,367.45,
141,1121271,XTeer HD 3000 25W50_CF-4_20L,40.96,
142,1121272,XTeer HD 3000 25W60_CF-4_20L,42.13,
143,1200019,XTeer HD_3000 SAE 30_200L,343.11,
144,1061262,XTeer HD_3000 SAE 40_6L,34.74,
145,1200031,XTeer HD_3000 SAE 40_200L,356.42,
146,1041263,XTeer HD 3000 SAE 50_4L,31.08,
147,1051263,XTeer HD_3000 SAE 50_5L,28.31,
148,1061263,XTeer HD_3000 SAE 50_6L,34.04,
149,1121263,XTeer HD_3000 SAE 50_20L,38.17,
150,1200263,XTeer HD_3000 SAE 50_200L,368.12,
151,1051264,XTeer HD_3000 SAE 60_5L,32.05,
152,1061264,XTeer HD_3000 SAE 60_6L,38.38,
153,1121264,XTeer HD_3000 SAE 60_20L,41.66,
154,1210264,XTeer HD_3000 SAE 60_200L,379.27,
155,1120004,XTeer CNG 15W40_20L,57.05,
156,1200004,XTeer CNG 15W40_200L,528.52,
157,1120005,XTeer CNG 10W40_20L,56.19,
158,1200005,XTeer CNG 10W40_200L,519.64,
159,1011435,XTeer Gear Oil 75W90 GL-4_1L,36.55,
160,1041435,XTeer Gear Oil 75W90 GL-4_4L,42.39,
161,1120435,XTeer Gear Oil 75W90 GL-4_20L,50.84,
162,1200435,XTeer Gear Oil 75W90 GL-4_200L,497.22,
163,1011018,XTeer Gear Oil-4 80W90_1L,34.26,
164,1041421,XTeer Gear Oil-4 80W90_4L,42.94,
165,1120007,XTeer Gear Oil-4 80W90_20L,52.56,
166,1200007,XTeer Gear Oil-4 80W90_200L,491.72,
167,1011439,XTeer Gear Oil 75W90 GL-5_1L,38.14,
168,1041439,XTeer Gear Oil 75W90 GL-5_4L,44.50,
169,1120439,XTeer Gear Oil 75W90 GL-5_20L,53.52,
170,1200439,XTeer Gear Oil 75W90 GL-5_200L,521.67,
171,1011017,XTeer Gear Oil-5 80W90_1L,36.19,
172,1041422,XTeer Gear Oil-5 80W90_4L,45.14,
173,1120008,XTeer Gear Oil-5 80W90_20L,55.96,
174,1200008,XTeer Gear Oil-5 80W90_200L,519.53,
175,1011034,XTeer Gear Oil-5 80W90 LSD_1L,36.74,
176,1041423,XTeer Gear Oil-5 80W90 LSD_4L,45.43,
177,1121034,XTeer Gear Oil-5 80W90 LSD_20L,55.89,
178,1201034,XTeer Gear Oil-5 80W90 LSD_200L,526.27,
179,1200446,XTeer Gear Oil-5 85W90_200L,503.63,
180,1041432,XTeer GL-5 85W140_4L,49.93,
181,1120035,XTeer GL-5 85W140_20L,62.51,
182,1200035,XTeer GL-5 85W140_200L,585.51,
183,1200023,XTeer GL-5 SAE 140_200L,563.78,
184,1011011,XTeer ATF 3_1L,29.42,
185,1041009,XTeer ATF 3_4L,35.48,
186,1120006,Xteer ATF 3_20L,43.49,
187,1200006,Xteer ATF 3_200L,396.31,
188,1011006,XTeer ATF SP4_1L,38.82,
189,1041017,XTeer ATF SP4_4L,48.17,
190,1121014,XTeer ATF SP4_20L,58.66,
191,1200017,XTeer ATF SP4_200L,558.56,
192,1011411,XTeer ATF Multi-V_1L,39.63,
193,1041411,XTeer ATF Multi-V_4L,49.19,
194,1120411,XTeer ATF Multi-V(4~8)_20L,61.21,
195,1200411,XTeer ATF Multi-V_200L,570.69,
196,1011412,XTeer ATF 6_1L,38.82,
197,1041412,XTeer ATF 6_4L,48.17,
198,1011413,XTeer CVT_1L,42.53,
199,1041413,XTeer CVT_4L,51.18,
200,1200413,XTeer CVT_200L,604.88,
201,1011195,XTeer 4T 10W40_0.70L,21.33,
202,1011192,XTeer 4T 10W40_0.8L,23.80,
203,1011005,XTeer 4T 10W40_1L,26.65,
204,1041016,XTeer 4T 10W40_4L,33.88,
205,1051188,XTeer 4T 10W40_5L,30.64,
206,1120013,XTeer 4T 10W40_20L,40.62,
207,1011194,XTeer 4T 10W40(MB)_0.8L,23.65,
208,1011196,XTeer 4T 20W40_0.70L,21.08,
209,1011191,XTeer 4T 20W40_0.8L,23.56,
210,1011187,XTeer 4T 20W40_1L,27.07,
211,1011197,XTeer 4T 20W50_0.70L,21.19,
212,1011193,XTeer 4T 20W50_0.80L,24.01,
213,1011189,XTeer 4T 20W50_1L,28.02,
214,1011198,XTeer 4T 20W50_1.2L,31.24,
215,2010002,XTeer PSF_1.0L,36.50,
216,2200803,XTeer PSF_200L,407.70,
217,2010003,XTeer Brake Fluid DOT-3_0.8L,45.17,
218,2010853,XTeer Brake Fluid DOT-4_1.0L,73.35,
219,2051001,XTeer Alpha Gasoline_0.5L,236.25,
220,2051002,XTeer Alpha Diesel_0.5L,236.25,
221,2050005,XTeer Alpha Diesel_1.5L,176.66,
222,2030001,Hyundai Oilbank Antifreeze_3L,37.21,
223,2180001,Hyundai Oilbank Antifreeze_18L,47.05,
224,2031002,Hyundai Oilbank Antifreeze (50%)_200L,510.33,
225,2030002,Hyundai Oilbank Antifreeze_200L,591.48,
