S. No.,Part No.,Description,USD Price
127,PRMA007,XX                  ,0.17
128,PRMA008,SET OF 2            ,1.72
129,PRMA008A,ESCORT 16V LICENSE P,1.86
130,PRMA008B,ESCORT 1.8 LICENSE P,1.86
131,PRMA009,T-SHIRT             ,0.25
132,PRMA010,PAPER FLOORMATS     ,0.05
133,PRMA011,#NAME?,0.30
134,PRMA015,1.6 ZETEC BANNER    ,4.87
135,PRMS002,INFORMATIONRECORD F ,0.01
136,PRMS003,#NAME?,0.00
137,PRMS005,FORD WORLD MAGAZINE ,0.00
138,PRPS001,POSTERS ENGINEERING ,4.87
139,PRPS001A,POSTER (SETOF 2)    ,4.87
140,PRPS0010,DMA INTERIOR POSTER ,0.57
141,PRPS002,POSTERS PRODUCT     ,4.87
142,PRPS002A,POSTER              ,3.26
143,PRPS003,POSTERS INTERIORS   ,4.87
144,PRPS003A,TACHOMETER          ,3.26
145,PRPS004,STANDARDS           ,18.57
146,PRPS009,"DMA ""PRODUCT"" POSTER",0.57
147,RRST001,REAR SEAT KIT ASY(LO,193.10
148,RRST002,REAR SEAT KIT ASY(HI,168.13
149,SP00001,SPRING-DOWNPIPE     ,3.07
150,STP0001,STD FOUNTAIN PEN    ,2.43
151,SVP0001,DECAL ANIVERSARY    ,1.63
152,TSB0027,CONNECTOR-KIT       ,12.82
153,TSRND01,T-SHIRT RD SMALL    ,2.20
154,TSRND03,T-SHIRT RD LARGE    ,2.20
155,TSRND04,T-SHIRT RDNK XL     ,2.20
156,UMBER01,Umberella -Blue/Whi ,2.96
157,WK1T001,wire loom audio-rr s,15.60
158,208196,SCREW PAN HEAP      ,0.22
159,240909,SCREW HX 8.8 M8 X16 ,0.14
160,241209,CLAMP HOSE          ,1.42
161,241540,BALL STL 11         ,0.42
162,241589,SCREW-HEX 8.8       ,0.05
163,241729,SCREW               ,0.17
164,241789,SCREW               ,0.08
165,445857,EDGE PROTECTOR      ,0.73
166,536337,PLUG BUTTON         ,0.47
167,1000010,CAM                 ,2.15
168,1000152,TUBE-OILPUMP IN     ,56.69
169,1000153,GASKET WATER PUMP   ,7.69
170,1000194,BRACKETB RELAY      ,5.19
171,1000248,TANK ROD/O FLOW     ,30.91
172,1000268,CABLE CONTROL       ,12.88
173,1000340,PULLEY-CRANKSHAFT   ,22.75
174,1000358,COVER ASY -TIMING B ,35.41
175,1000378,BUSHING BRKT        ,3.24
176,1000379,SCREW M6X18PAN FLNG ,0.76
177,1000389,GASKET CYLINDER HEAD,30.28
178,1000390,GASKET-OIL PUMP TO C,2.28
179,1000398,PUMP ASY-WATER      ,54.87
180,1000413,STUD M8X11.45 (EXHAU,0.46
181,1000438,GASKET VALVE ROCKER ,1.68
182,1000439,GASKET VALVE ROCKER ,22.82
183,1000478,PLUG-EXPANSION      ,1.12
184,1000521,SEAT ASSY REAR HIGH ,144.80
185,1000521A,RR SEAT 1.6         ,175.03
186,1000530,RIVET PLASTIC       ,0.96
187,1000552,HINGE ASSY DOOR UPPE,12.64
188,1000553,HINGE ASSY DOOR UPPE,7.69
189,1000556,HINGE ASSY DOOR LOWE,6.84
190,1000559,HINGE ASSY DOOR LOWE,7.33
191,1000561,HOUSING RR DR ASHTRA,15.30
192,1000567,SHAFT-ACC CONTROL PI,0.33
193,1000569,CLIP 5.5X6.5X0.7 PIP,0.36
194,1000572,SCREW               ,0.08
195,1000755,BRKT & RELAY COOLING,8.84
196,1000859,HUB & DRUM          ,43.51
197,1000890,BAR ASY FRONT BUMPER,282.55
198,1000941,CONNECTOR VACUUM HOS,1.73
199,1001029,STUD M25XM10        ,0.35
200,1001033,DOOR ASY GLOVE COMPT,16.65
201,1001036,DOOR ASSY -GLOV COMP,28.19
202,1001046,WIRE ASY-ENGINE STAR,8.15
203,1001052,COVER TIMING BELT - ,6.64
204,1001056,COVER TIMING BELT - ,22.55
205,1001058,COVER TIMING BELT - ,48.00
206,1001060,GROMMET-CVRTMG BELT ,1.16
207,1001062,GROMMET             ,9.39
208,1001109,STIFFENER-ENGINE FRO,4.74
209,1001130,SHIELD -ALTERNATOR H,3.44
210,1001248,CIGARATTE LIGHTER AS,7.00
211,1001381,SWITCH HEATED BACKLI,8.24
212,1001430,SCREW-FLAT HEAD     ,0.52
213,1001460,COVER-TOWING HOOK   ,5.79
214,1001464,TOE HOOK COVER      ,11.73
215,1001480,GASKET              ,11.81
216,1001513,PANEL ASSY - INSTRUM,20.69
217,1001723,RADIATOR GRILL      ,53.72
218,1001868,ALTERNATOR ASSY-70A ,168.53
219,1001900,REINFORCEMENT       ,33.12
220,1002175,COVER - INSTRUMENT P,5.26
221,1002209,CABLE ASSY - PARKING,3.81
222,1002287,HINGE ASSY LUGGAGE C,32.21
223,1002288,HINGE ASSY LUGGAGE C,26.08
224,1002291,PANEL ASY-RR DR TRIM,106.49
225,1002293,PANEL ASY-RR DR TRIM,118.56
226,1002294,PANEL ASY-RR DR TRIM,64.87
227,1002296,COVER - INSTRUMENT P,2.16
228,1002304,COVER - INSTRUMENT P,4.83
229,1002312,BEZEL HEATER Q      ,15.09
230,1002358,KNOB ASY HEATER REG ,1.13
231,1002447,CASSETTE STORAGE BOX,9.36
232,1002513,BEARING - STRUT     ,10.77
233,1002622,SWITCH ALARM        ,17.77
234,1002630,WIRING MAIN         ,115.89
235,1002636,SWITCH ALARM        ,8.88
236,1002730,RIVET 5.5X2.3-8 PSH ,0.17
237,1002771,SHAFT TRANSOUTPUT   ,27.19
238,1002772,SHAFT-TRANSOUTPUT   ,35.90
239,1002776,GEAR TRANSAXLE DIFF.,18.74
240,1002777,GEAR TRANSAXLE DIFF.,30.64
241,1002779,GEAR-TRANS 1ST SPEED,15.96
242,1002781,GEAR-TRANS 2ND SPEED,11.33
243,1002783,GEAR-TRANS 3RD SPEED,10.31
244,1002785,GEAR-TRANS 3RD SPEED,28.19
245,1002786,GEAR-TRANS 4TH SPEED,8.63
246,1002791,RESERVOIR WINDSHIELD,17.66
247,1002805,MANIFOLD-EXHAUST    ,35.84
