S. No.,Part No.,Description,USD Price,,
156,4340424100,Lever Kit ,23.72,,
157,4340425100,Lever Kit ,16.79,,
158,4340418100,Spring Kit ,10.57,,
159,4340426100,Spring Kit ,19.15,,
160,4340419100,Spring Kit ,9.03,,
161,4340380100,Lever Ring ,4.38,,
162,5001172100,Lever Kit ,29.64,,
163,4340309100,Lever Kit ,26.05,,
164,4340310100,Lever Kit ,19.86,,
165,4340538100,Spring kit ,27.60,,
166,4340539100,Lever Kit ,6.67,,
167,4340422100,Press Plate ,32.96,,
168,4340423100,Press Plate ,41.43,,
169,4340420100,Press Plate ,26.85,,
170,4340421100,Press Plate ,32.04,,
171,4340536100,Press Plate ,68.03,,
172,3400090100,Driven Plate ,104.98,,
173,1400228100,Cover Assem ,168.44,,
174,1430377100,Cover Assem ,168.44,,
175,3430263100,Driven Plate ,192.85,,
176,1439310100,Cover Ass Cl ,459.96,,
177,3430205100,Driven Plate ,378.95,,
178,6203431090,Clutch Set ,27.90,,
179,5110353100,CMC ,19.74,,
180,6183029090,Clutch Set ,30.41,,
181,6203071090,Clutch Set ,43.44,,
182,6213007090,Clutch Set ,79.77,,
183,6213134090,Clutch Set ,54.53,,
184,6213134330,Rep Set Pro ,74.68,,
185,6223466090,Clutch Set ,40.07,,
186,6223466330,Rep Set Pro ,62.35,,
187,5000497600,CRB ,14.47,,
188,5001306100,CRB ,8.20,,
189,6233223090,Clutch set ,53.08,,
190,6223445090,Clutch Set ,49.75,,
191,6223448090,Clutch Set ,72.73,,
192,6223460090,Clutch Set ,58.08,,
193,5000668100,CRB ,22.35,,
194,6223229000,Rep Set ,90.09,,
195,6183069090,Clutch Set ,22.66,,
196,6244016090,Clutch Set ,80.60,,
197,6263051090,Clutch Set ,91.97,,
198,5001223100,CRB ,11.43,,
199,6243991330,Rep Set Pro ,72.30,,
200,6243991090,Clutch Set ,45.05,,
201,5110767100,CMC ,14.22,,
202,5110768100,CMC ,14.58,,
203,5120452100,SSC ,10.86,,
204,6193196090,Clutch Set ,38.78,,
205,5001319100,CRB ,9.91,,
206,5100265100,CSC Kit (CSC+Adpt) ,49.36,,
207,3240832100,Driven Plt ,19.78,,
208,6243959090,Clutch Set ,106.89,,
209,3240834100,Driven Plt ,75.44,,
210,6243770090,Clutch Set ,62.02,,
211,3240484100,Driven Plt ,33.28,,
212,1240521100,Cover Assembly ,29.95,,
213,3240351100,Driven Plt ,39.00,,
214,6243418090,Clutch Set ,65.35,,
215,1240363100,Cover Assembly ,35.77,,
216,3240367100,Driven Plt ,42.18,,
217,6243421090,Clutch Set ,75.97,,
218,1240514100,Cover Assembly ,27.65,,
219,3240353100,Driven Plt ,28.07,,
220,6243399090,Clutch Set ,51.73,,
221,3240837100,Driven Plt ,31.59,,
222,6243963090,Clutch Set ,58.47,,
223,3240507100,Driven Plt ,25.49,,
224,3240360100,Driven Plt ,25.67,,
225,6243769090,Clutch Set ,49.10,,
226,3240499100,Driven Plt ,28.83,,
227,1240384100,Cover Assembly ,35.31,,
228,3240404100,Driven Plt ,50.56,,
229,6243767090,Clutch Set ,81.32,,
230,6243964330,Rep Set Pro ,128.21,,
231,1240386100,Cover Assembly ,32.15,,
232,1240244100,Cover Assembly ,30.15,,
233,3230648100,Driven Plt ,14.58,,
234,3240383100,Driven Plt ,14.74,,
235,3240745100,Driven Plt ,20.02,,
236,6240350090,Clutch Set ,64.17,,
237,6243348090,Clutch Set ,60.47,,
238,624339100,Rep Set ,66.83,,
239,6243393000,Rep Set ,71.07,,
240,6243965330,Rep Set Pro ,92.52,,
241,1240657100,Cover Assembly ,29.97,,
242,3240712100,Driven Plt ,30.88,,
243,6243768090,Clutch Set ,58.18,,
244,5100278100,CSC ,29.15,,
245,5001221100,CRB ,5.54,,
246,5110711100,CMC ,12.45,,
247,5100301100,CSC Kit (CSC+Adpt) ,35.81,,
248,6183066090,Clutch Set ,23.78,,
249,6163008090,Clutch Set ,16.30,,
250,6183090090,Clutch Set ,23.19,,
251,6223417090,Clutch Set ,36.08,,
252,6193087090,Clutch Set ,25.11,,
253,6223313090,Clutch Set ,98.96,,
254,5100090100,CSC ,39.32,,
255,5110618100,CMC ,49.16,,
256,5001222100,CRB ,7.85,,
257,5000742100,CRB ,6.96,,
258,5001307100,CRB ,11.30,,
259,6263139090,Clutch Set ,202.81,,
260,6263100090,Clutch Set ,155.96,,
261,6203434090,Clutch Set ,41.21,,
262,6223451090,Clutch Set ,37.24,,
263,6193062000,Rep Set ,38.22,,
264,6203457000,Rep Set ,42.91,,
265,6223088190,Clutch Set ,38.07,,
266,1230384100,Cover Assembly ,24.74,,
267,3230628100,Driven Plt ,23.43,,
268,6233315090,Clutch Set ,46.34,,
269,6243935090,Clutch Set ,80.23,,
270,3240800100,Driven Plt ,61.41,,
271,1230356100,Cover Assembly ,38.99,,
272,3230519100,Driven Plt ,45.04,,
273,1230438100,Cover Assembly ,41.47,,
274,3230658100,Driven Plt ,68.47,,
275,1240364100,Cover Assembly ,30.44,,
276,3240400100,Driven Plt ,51.66,,
277,6243424090,Clutch Set ,80.51,,
278,3240629100,Driven Plt ,20.94,,
279,3240658100,Driven Plt ,20.94,,
280,6263127090,Clutch Set ,105.62,,
281,3260092100,Driven Plt ,70.25,,
282,1260079100,Cover Assembly ,37.20,,
283,1230391100,Cover Assembly ,29.04,,
284,3230659100,Driven plt ,45.13,,
285,6233265090,Clutch Set ,74.17,,
286,6243181090,Clutch Set ,75.09,,
287,5100133100,CSC ,58.37,,
288,6223461090,Clutch Set ,68.74,,
289,1210056100,Cover Assembly ,31.13,,
290,3210094100,Driven plt ,38.81,,
291,6233749090,Clutch Set ,8.45,,
292,3280673100,Driven Plate ,37.71,,
293,1280819100,MCover Assembly ,36.51,,
294,3280843100,MDriven Plate ,43.85,,
295,6283351090,MClutch Set ,78.23,,
296,1280818100,MCover Assembly ,39.11,,
297,6283350090,MClutch Set ,64.00,,
298,6313187090,MClutch Set ,98.38,,
299,3280674100,Driven Plate ,62.14,,
300,2280236100,DCA Assembly ,192.38,,
301,3280813100,Driven Plate ,34.92,,
302,1280420100,Cover Assembly ,59.64,,
303,3280558100,Driven Plate ,45.81,,
304,3280487100,Driven Plate ,23.89,,
305,3280498100,Driven Plate ,28.87,,
306,4340458100,Kits ,46.35,,
307,1280383100,Cover Assembly ,55.14,,
308,3280556100,Driven Plate ,51.95,,
309,2310111100,DCA Assembly ,260.53,,
310,3280563100,Driven Plate ,62.06,,
311,2280192100,DCA Assembly ,157.34,,
312,3280560100,Driven Plate ,83.08,,
313,3310328100,Driven Plate ,35.69,,
314,2280243100,DCA Assembly ,174.49,,
315,3280825100,Driven Plate ,30.14,,
316,2280244100,DCA Assembly ,209.22,,
317,3280572100,Driven Plate ,32.22,,
318,3280826100,Driven Plate ,105.87,,
319,2280245100,DCA Assembly ,223.17,,
320,3310330100,Driven Plate ,107.08,,
321,6313158090,DCA Set ,284.77,,
322,1280355100,Cover Assembly ,41.61,,
323,3280606100,Driven Plate ,35.73,,
324,3280504100,Driven Plate ,20.87,,
325,3250218100,Driven Plate ,14.82,,
326,3250222100,Driven Plate ,14.07,,
327,3280497100,Driven Plate ,20.35,,
328,3310311100,Driven Plate ,25.39,,
329,4341088100,Kits ,31.66,,
330,4341089100,Kits ,20.82,,
331,3280533100,Driven Plate ,65.41,,
332,3280598100,Driven Plate ,18.28,,
333,3280488100,Driven Plate ,16.97,,
334,3280489100,Driven Plate ,17.01,,
335,3280491100,Driven Plate ,18.29,,
336,3280486100,Driven Plate ,18.28,,
337,3310307100,Driven Plate ,32.64,,
338,3280502100,Driven Plate ,17.63,,
339,6283282090,DCA Set ,217.81,,
340,4340427100,Kits ,13.13,,
341,4340441100,Kits ,16.26,,
342,3280574100,Driven Plate ,51.89,,
343,6283043090,DCA Set ,267.50,,
344,2280197100,DCA Assembly ,227.49,,
345,6283042090,DCA Set ,284.41,,
346,2280196100,DCA Assembly ,243.30,,
347,3280532100,Driven Plate ,40.95,,
348,3280525100,Driven Plate ,60.12,,
349,1280347100,Cover Assembly ,52.33,,
350,3280585100,Driven Plate ,77.74,,
351,6283570090,DCA Set ,330.70,,
352,2280223100,DCA Assembly ,252.43,,
353,3280564100,Driven Plate ,47.36,,
354,1280388100,Cover Assembly ,50.03,,
355,6283577090,Clutch Set ,79.44,,
356,3280681100,Driven Plate ,56.73,,
357,3280582100,Driven Plate ,44.87,,
358,4340446100,Kits ,56.44,,
359,4340445100,Kits ,28.68,,
360,4340442100,Kits ,27.92,,
361,4340444100,Kits ,29.92,,
362,4340443100,Kits ,27.67,,
363,4341058100,Kits ,50.14,,
364,5001517100,CRB ,7.44,,
365,5001535100,CRB ,11.46,,
366,3310324100,Driven Plate ,78.73,,
367,6283184090,Clutch Set ,72.58,,
368,1280359100,Cover Assembly ,40.77,,
369,3280613100,Driven Plate ,34.58,,
370,3280552100,Driven Plate ,58.73,,
371,3250239100,Driven Plate ,19.07,,
372,3280524100,Driven Plate ,35.00,,
373,3280562100,Driven Plate ,63.79,,
374,3280597100,Driven Plate ,66.50,,
375,3250223100,Driven Plate ,13.46,,
376,3280505100,Driven Plate ,22.61,,
377,3280559100,Driven Plate ,86.58,,
378,2280220100,DCA Assembly ,204.36,,
379,2280222100,DCA Assembly ,165.81,,
380,3280644100,Driven Plate ,87.82,,
381,1280422100,Cover Assembly ,43.26,,
382,3280819100,Driven Plate ,57.83,,
383,6283582090,DCA set ,206.36,,
384,2280238100,DCA Assembly ,162.86,,
385,2280213100,DCA Assembly ,201.92,,
386,3280641100,Driven Plate ,49.42,,
387,2280215100,DCA Assembly ,209.45,,
388,3280643100,Driven Plate ,55.01,,
389,2310131100,DCA Assembly ,243.53,,
390,3310377100,Driven Plate ,63.57,,
391,4341061100,Kits ,11.01,,
392,4340460100,Kits ,24.37,,
393,4340449100,Kits ,17.51,,
394,4340450100,Kits ,19.44,,
395,4330338100,Repair Kit ,17.10,,
396,4330342100,Repair Kit ,21.98,,
397,4330339100,Repair Kit Main ,17.10,,
398,4330340100,Repair Kit PTO ,19.54,,
399,4330341100,Main Repair Kit ,12.21,,
400,4341142100,Pressure Plate ,30.59,,
401,4341143100,Pressure Plate ,20.19,,
402,3280359100,Driven Plate ,62.31,,
403,6243089090,Clutch Set ,72.02,,
404,1240481100,Cover Assembly ,53.38,,
405,3240491100,Driven Plate ,40.96,,
406,3280595100,Driven Plate ,62.26,,
407,6283048090,DCA Set ,207.78,,
408,3280531100,Driven Plate ,31.63,,
409,2280144100,DCA Assembly ,188.19,,
410,6283049090,DCA Set ,165.16,,
411,2280200100,DCA Assembly ,156.42,,
412,3280360100,Driven Plate ,30.41,,
413,3280557100,Driven Plate ,83.05,,
414,1350274100,Cover Assembly ,108.80,,
415,3280499100,Driven Plate ,22.35,,
416,1280370100,Cover Assembly ,56.18,,
417,3280539100,Driven Plate ,51.44,,
418,6283580090,Clutch Set ,86.30,,
419,6283571090,DCA Set ,191.32,,
420,2280224100,DCA Assembly ,184.90,,
421,6283572090,DCA Set ,219.00,,
422,2280225100,DCA Assembly ,209.04,,
423,3280671100,Driven Plate ,45.78,,
424,3280669100,Driven Plate ,68.66,,
425,1280389100,Cover Assembly ,53.59,,
426,4340452100,Kits ,17.18,,
