S. No.,Part No.,Description,USD Price,
96,64.00010-6187,BARE ENGINE 300 HP (4VCR),9375.63,
97,64.00900-6001,SET OF SEALS (ASBESTOSSFREE),148.73,
98,64.00900-6003,ENGINE O/H KIT MAJOR 2VCR,895.43,
99,64.01102-6531,CYLINDER BLOCK ASSLY D0836,1467.23,
100,64.01108-0112,CRANKCASE COVER BOTTOM M/C,127.00,
101,64.01113-0001,MAIN BEARING UPPER NORMAL,1.71,
102,64.01113-0002,MAIN BEARING LOWER NORMAL,1.65,
103,64.01113-7005,MAIN BEARING & THRUST WASHER KIT - 6 CYL,24.07,
104,64.01114-0001,THRUST WASHER LOWER,1.07,
105,64.01114-0002,THRUST WASHER UPPER,1.07,
106,64.01201-0001,CYLINDER LINER,19.04,
107,64.01401-5001,FLYWHEEL HOUSING (SAE1) M/C,208.49,
108,64.01401-5003,ASSY FLYWHEEL HOUSING (SAE1),219.73,
109,64.01510-0003,OIL SEAL REAR (FLYWHEEL END),12.38,
110,64.01510-0004,OIL SEAL - FRONT,6.50,
111,64.01601-7001,PISTON COOLING NOZZLE KIT - 6 CYL,35.46,
112,64.01804-0001,OIL SEPARATOR WITH PR. RELIEF VALVE,6.15,
113,64.01811-0002,FUEL TANK CAP WITH 2 KEYS,5.05,
114,64.01903-0002,GASKET- TIMING CASE,13.34,
115,64.01903-0003,GASKET FOR TIMING COVER,7.39,
116,64.01904-0001,GASKET FOR FLYWHEEL HOUSING,3.56,
117,64.02101-6001,CRANK SHAFT ASSY WITH PLUG (6CYL),799.44,
118,64.02301-5364,FLYWHEEL SAE 1 ASSEMBLY,166.95,
119,64.02301-5366,FLYWHEEL SAE 1 ASSLY,184.82,
120,64.02301-5369,FLYWHEEL SAE 2 ASSLY,131.41,
121,64.02301-5370,FLYWHEEL SAE2 ASSLY,131.41,
122,64.02400-6203,CONNECTING ROD ASSEMBLY  CRACK,38.96,
123,64.02405-1001,CONN ROD BUSH,2.45,
124,64.02410-7001,CONN ROD BEARING SET NORMAL - 6 CYL,134.22,
125,64.02502-0147,PISTON PIN,6.30,
126,64.02503-0002,KEYSTONE RING,11.17,
127,64.02503-0003,TAPER FACED COMPRESSION RING,2.02,
128,64.02503-0004,TAPER FACED CONFIRMABLE OILRING,4.58,
129,64.02503-7001,PISTON RING SET - 6 CYL,95.86,
130,64.02511-0001,PISTON,34.08,
131,64.02511-0007,"PISTON FOR 2V,VE6 - 220 HP ENGINE",32.44,
132,64.02511-0008,PISTON (2VCR) BSIII 280HP,28.38,
133,64.02511-0009,"PISTON FOR 2V,VE6 - 220 HP ENGINE - PH 2",29.41,
134,64.02511-0831,PISTON  4V CR,53.45,
135,64.02511-7001,PISTON W PIN & CIRCLIP  - D08LFL08,211.80,
136,64.02511-7002,PISTON W PIN & CIRCLIP  - D08LFL13,181.08,
137,64.03101-6001,CYLINDER HEAD ASSY,114.94,
138,64.03201-1001,VALVE GUIDE EXHAUST,0.65,
139,64.03201-1002,VALVE GUIDE INLET,0.71,
140,64.04101-0001,INLET  VALVE,4.03,
141,64.04101-0002,EXHAUST VALVE,5.48,
142,64.04101-7001,INTAKE VALVE KIT - 6 CYL,21.73,
143,64.04101-7002,EXHAUST  VALVE KIT - 6 CYL,29.57,
144,64.04102-0001,VALVE SPRING,0.98,
145,64.04103-0001,VALVE SPRING RETAINER,0.89,
146,64.04104-0001,VALVE COLLET,0.11,
147,64.04104-0039,VALVE COLLET,0.13,
148,64.04200-4001,ASSY- ROCKER SHAFT COMPLETE (EVB),70.61,
149,64.04201-6001,ASSY ROCKER LEVER,11.89,
150,64.04201-6173,ROCKER LEVER ASSY - INTAKE,5.95,
