S. No.,Part No.,Description,USD Price,
1410,64.27421-0014,PULSE SENSOR (NON KITAS) 6S850,176.96,
1411,64.32420-6031,SYNCHRO ASSY. 5/6 A-6137,155.84,
1412,64.32420-6032,SYNCHRONIZER ASSEMBLY 3/4 (A-8618),286.71,
1413,64.41230-7003,KIT C REINFORCEMENT (25.280 6X4),74.47,
1414,64.43402-0016,LEAF SPRING ASSY FRONT,344.57,
1415,64.43494-0118,LEAF -BOGIE SPRING 100X18X1120,89.56,
1416,64.45503-0008,WHEEL NUT M22X2.5X27,1.22,
1417,64.46610-6012,DRAG LINK ASSY (DROP ARM TO INT DROP ARM,84.24,
1418,64.50202-6001,BRAKE ANCHOR PLATE (29193248),96.26,
1419,64.52161-6017,LEVELLING VALVE ASSY (BUS) (HALDEX),141.08,
1420,64.52315-6014,HAND BRAKE VALVE (WABCO),56.86,
1421,64.52452-6001,SOL. MODULATOR VALVE(WABCO 472 195 0160),169.55,
1422,64.62642-0001,ESCUTCHEON FOR DOOR HANDLE,1.78,
1423,64.62650-0004,WIND DOWN WINDOW RIGHT,8.28,
1424,64.66906-0040,GB 9S1110 ROTETING STAND,1362.02,
1425,64.90020-0197,HEX BOLT M10X25-8.8 DIN 933 MAN183-B1,0.15,
1426,64.90020-0242,HEX HEAD BOLT M8X70 DIN931-8.8 PHR,0.15,
1427,64.90020-0247,"BOLT M8X80 DIN931-8.8, MAN183-B1",0.20,
1428,64.90030-0011,SCREW B M8X45-8.8-MAN183 PHR DIN 34801,0.25,
1429,64.90490-0029,SCREW PLUG M18X1.5 DIN 906-ST A3C,1.34,
1430,64.90710-0044,WASHER A5.3X15X1.2 140HV DIN9021 M183B1,0.02,
1431,64.96501-0026,SHAFT SEAL,12.94,
1432,64.96502-0002,HOSE LINE 1500MM,7.90,
1433,64.98150-0010,BANJO BOLT ON PUMP & RESERVOIR,1.07,
1434,64.98701-0005,SEALING RING 1.50MM THK,0.05,
1435,81.06111-0023,PRESSURE RELIEF CAP,35.18,
1436,81.25101-6647,HEAD LAMP H7 WITH DRL FOR RHD LH,136.20,
1437,81.25101-6648,HEAD LAMP H7 WITH DRL FOR RHD RH,136.20,
1438,81.25503-0261,TOGGLE SWITCH,36.38,
1439,81.25509-0050,SPEED CONTROL SWITCH,152.78,
1440,81.30301-0629,CLUTCH PLATE ASSLY. DIA 430,444.82,
1441,81.52116-6079,RELAY VALVE HAND BRAKE,85.95,
1442,85.96210-0018,CELLESTO RUBBER,44.95,
1443,64.08103-0002,OUTLET FLANGE MACHINING,9.66,
1444,64.08120-0001,HEAT SHIELD,30.86,
1445,64.08201-0003,CLEAN AIR DUCT,38.76,
1446,64.08201-0005,HOSE ELBOW,9.26,
1447,64.08201-0006,AIR INTAKE MANIFOLD M/C,60.31,
1448,64.08201-0026,BRACKET VACUUM INDICATOR,0.31,
1449,64.08201-0057,AIR INTAKE MANIFOLD - MACHINING,213.70,
1450,64.08201-0059,INTERMEDIATE PIPE (8X2),58.90,
1451,64.08201-0065,RAIN HOOD PLASTIC (8330205),53.39,
1452,64.08201-0073,INTERMEDIATE DUCT (DIRTY SIDE),26.11,
1453,64.08201-0075,VACCUM INDICATOR MTG BKT,3.69,
1454,64.08201-0409,AIR INTAKE MANIFOLD 6 CYL -M/C,155.26,
1455,64.08201-0505,AIR DISTRIBUTOR PIPE,101.69,
1456,64.08201-5001,INTAKE DUCT ASSEMBLY,127.70,
1457,64.08201-5002,INTAKE PIPE ASSY,37.24,
1458,64.08201-5003,AIR INTAKE PIPE ASSY UPPER,20.46,
1459,64.08201-5004,INTAKE PIPE FOR PRECLEANER MTG,21.15,
1460,64.08201-5007,LOWER PLATE ASSLY,12.98,
1461,64.08201-5008,UPPER PLATE ASSY,15.99,
1462,64.08201-5009,SIDE POST,1.92,
1463,64.08201-5012,INTAKE PIPE ASSY (DAY CAB),11.37,
1464,64.08201-5013,INTAKE DUCT WITH UPPER PLATE ASSY,98.06,
1465,64.08201-5014,INTAKE DUCT WITH LOWER PLATE ASSY,65.92,
1466,64.08201-5015,AIR DUCT FOR SHORT CABIN,89.72,
1467,64.08201-5016,SUPPORT CHANNEL FOR PRE CLEANER,3.18,
1468,64.08201-5017,INTAKE DUCT WITH LOWER PLATE ASSY,77.74,
1469,64.08201-5019,SIDE POST ASSLY,2.72,
1470,64.08201-5020,TUBEASSY -AIR CLEANER SUPPORT (VERTICAL),54.48,
1471,64.08201-5022,UPPER PLATE ASSY,55.46,
1472,64.08201-5023,PIPE  POWDER COATED (8230466),5.77,
1473,64.08201-5024,PIPE ASSLY. 1 (8900671),41.74,
1474,64.08201-5025,PIPE POWDER COATED (8900672),4.39,
1475,64.08201-5026,INTAKE DUCT W UPPER PLATE ASSY (DAY CAB),84.58,
1476,64.08201-5028,INTAKE PIPE ASSY FOR BUS,2.05,
1477,64.08201-5056,STACK PIPE,19.52,
1478,64.08201-5057,SNORKEL (8330179),29.18,
1479,64.08201-5062,PIPE ASSEMBLY (8902259),27.45,
1480,64.08201-5067,PIPE ASSY (8902136),23.24,
1481,64.08201-5068,PIPE & BRACKET ASSY (8800066),42.03,
1482,64.08201-5076,PIPE ASSLY (5001569),46.44,
1483,64.08201-5077,PIPE & BKT ASSLY,57.75,
1484,64.08201-5078,INTERMEDIATE DUCT ASSLY,30.72,
1485,64.08201-5079,PIPE ASSLY (E4) (5000867),105.68,
1486,64.08201-5083,CLEAN SIDE PIPE 1 (5007331),34.71,
1487,64.08201-5095,PIPE ASSEMBLY (5002804),46.44,
1488,64.08201-6002,RAIN HOOD METAL (8330055),25.49,
1489,64.08201-6003,SNORKEL FOR BUS,19.46,
1490,64.08203-0001,COVER FOR INTAKE PIPE,1.36,
1491,64.08301-0062,COVER TOP ASSEMBLY (5003515),26.52,
1492,64.08301-6002,AIRCLEANER ASSEMBLY,80.68,
1493,64.08301-6003,AIR CLEANER ASSY 21 CUBIC METER 6 CYL.,100.02,
1494,64.08301-6005,AIR CLEANER ASSY WITH SAFETY CATRITGE,120.28,
1495,64.08301-6008,KIT FOR AIR CLANER W DOUBLE PRECLEANER,243.66,
1496,64.08301-6009,AIR CLEANER KIT (SINGLE TO DOUBLE PRECLE,563.83,
1497,64.08301-6011,DUST COVER WITH EVACUATOR VALVE,14.22,
1498,64.08301-7001,PRE FILTER ASSY,46.46,
1499,64.08301-7003,AIR INTAKE PARTS KIT (FLEETGUARD),413.25,
1500,64.08301-7004,PRECLEANER METAL (8400110),33.73,
1501,64.08301-7005,AIR CLEANER KIT,908.41,
1502,64.08301-7006,AIR INTAKE SYSTEM RETRO FIT (FLEETGUARD),716.47,
1503,64.08301-7007,AIR INTAKE PARTS KIT (FLEETGUARD) MOD,417.44,
1504,64.08301-7008,KIT FOR AIR INTAKE SYSTEM (8261210),413.25,
1505,64.08301-7010,KIT CAB MTD AIS (DAY CAB),416.95,
1506,64.08301-7022,AIR INTAKE SYSTEM KIT (31.220-8x2) DAY,429.46,
1507,64.08301-7025,AIR CLEANER KIT (31.220-8X2) - DS12,720.52,
1508,64.08301-7026,AIS SERVICE KIT FOR SL CAB,512.45,
1509,64.08301-7027,AIS SERVICE KIT FOR HR CAB,503.30,
1510,64.08301-7028,AIS SERVICE KIT FOR DAY CAB,592.15,
1511,64.08301-7029,RAIN HOOD & DUCT ASSLY PLASTIC (8330226),120.80,
1512,64.08301-7033,KIT CAB MTD AIR INTAKE SYS SL CAB E4,405.48,
1513,64.08301-7034,AIS SERVICE KIT FOR SL CAB (6S+SAE2),475.52,
1514,64.08301-7035,AIS SERVICE KIT FOR DY CAB (6S+SAE2),501.90,
1515,64.08301-7036,AIS SERVICE KIT FOR DY CAB (RMC),529.69,
1516,64.08301-7045,KIT CAB MTD AIS (FLAT DUCT SL CAB),454.82,
1517,64.08301-7047,CAB MTG. AIS RETROKIT FOR SL CAB,168.77,
1518,64.08301-7048,CAB MTG. AIS RETROKIT FOR DAY CAB,180.63,
1519,64.08301-7052,CAB MTD AIS (8X2 SL CAB BSIII),497.43,
1520,64.08301-7054,CAB MTG. AIS SERVICE KIT  SL CAB - TB131,393.97,
1521,64.08301-7055,CAB MTG. AIS RETROKIT FOR SL CAB - TB131,367.68,
1522,64.08301-7123,MINING AIS KIT BS4 (FLEETGUARD),518.51,
1523,64.08309-6001,AIR WARN INDICATOR,4.67,
1524,64.08309-6002,RESTRICTION INDICATOR (8390101),5.39,
1525,64.08309-6003,RESTRICTION INDICATOR (8391072),16.67,
1526,64.08312-0001,VACCUATOR VALVE,1.78,
1527,64.08312-0002,VACCUATOR VALVE,0.51,
1528,64.08312-0003,DUST EVACUATOR VALVE (1010705),0.93,
1529,64.08340-0001,AIR CLEANER HOLDING BKT LOWER,2.96,
1530,64.08340-0012,SUPPORT BRACKET,1.23,
1531,64.08340-0015,C- PLATE FOR AIR CLEANER,64.51,
1532,64.08340-0019,SUPPORT PLATE,1.94,
1533,64.08340-0031,C-Plate for Air cleaner (Mining),24.13,
1534,64.08340-0036,CLEAN SIDE PIPE SUPPORT BKT (5007514),2.76,
1535,64.08340-5001,AIR CLEANER HOLDING BKT ASSLY -TOP,4.68,
1536,64.08340-5002,BRACKET,1.53,
1537,64.08340-5005,BRACKET FOR PRECLEANER SUPPORT,4.90,
1538,64.08340-5007,BRACKET MOUNTING (8358197),3.21,
1539,64.08340-5008,BRACKET MOUNTING ASSY (8359263),2.25,
1540,64.08340-5009,BRACKET MOUNTING (8358198),2.31,
1541,64.08340-5010,BRACKET MOUNTING ASSY (8359264),2.38,
1542,64.08902-0232,GASKET FOR CHARGE AIR PIPE,0.67,
1543,64.08903-0001,RUBBER SEAL,2.51,
1544,64.09100-7001,EXHAUST TURBO CHARGER,486.41,
1545,64.09112-6001,FIRST AID KIT BOX,0.00,
1546,64.09140-0001,BEND BAR,5.85,
1547,64.09143-6001,PULLER FOR V BELT SQUARE WASHER/FLANGE,36.04,
1548,64.09144-6001,PISTON RING PILLERS,22.19,
1549,64.09195-0001,VALVE ADJUSTING SPANNER,19.83,
1550,64.09402-0001,TC INTAKE ELBOW M/C,18.77,
1551,64.09402-0114,AIR INTAKE ELBOW,21.04,
1552,64.09411-0001,CHARGE AIR PIPE TC TO INTERCOOLER,18.21,
1553,64.09411-0002,CHARGE AIR PIPE (TC TO INTERCOOLER),13.36,
1554,64.09411-0003,CHARGE AIR MANIFOLD (ELBOW ON TC) M/C,10.13,
1555,64.09411-0007,CHARGE AIR PIPE TC TO INTERCOOLER,20.90,
1556,64.09412-0321,CHARGE AIR PIPE  TC TO INTER COOLER,19.68,
1557,64.09412-0322,CHARGE AIR PIPE  IC TO INTAKE MANIFOLD,16.85,
1558,64.09440-0288,SUPPORT BKT FOR TC TO INTERCOOLER PIPE (,1.27,
1559,64.09440-5001,HOLDER FOR AIR PR. PIPE,0.73,
1560,64.09901-0002,GASKET FOR TURBOCHARGER MTG,5.76,
1561,64.10100-0001,INJECTOR RUBBER CAP,0.78,
1562,64.10100-7001,INJECTOR,93.37,
1563,64.10100-7002,INJECTOR,95.08,
1564,64.10303-6001,HIGH PRESSURE PIPES CYL. 1-6,30.57,
1565,64.10303-6002,HIGH PRESSURE PIPE CYL. 1-4,19.08,
1566,64.10303-6003,HIGH PRESSURE PIPES CYL. 1-6 (EURO-II),24.29,
1567,64.10303-6004,HIGH PRESSURE PIPES (Part is deleted),65.79,
1568,64.10303-7003,ASSLY OVERFLOW PIPE (4-CYL ENGINE),4.43,
1569,64.10303-7004,HIGH PRESSURE PIPE -1 (6CYL),4.01,
1570,64.10303-7005,HIGH PRESSURE PIPE -2 (6CYL),4.50,
1571,64.10303-7006,HIGH PRESSURE PIPE -3 (6CYL),4.50,
1572,64.10303-7007,HIGH PRESSURE PIPE -4 (6CYL),4.50,
1573,64.10303-7008,HIGH PRESSURE PIPE -5 (6CYL),4.88,
1574,64.10303-7009,HIGH PRESSURE PIPE -6 (6CYL),4.34,
1575,64.10303-7010,HIGH PRESSURE PIPE -1 (4CYL),4.19,
1576,64.10303-7011,HIGH PRESSURE PIPE -2 (4CYL),4.19,
1577,64.10303-7012,HIGH PRESSURE PIPE -3 (4CYL),4.19,
1578,64.10303-7013,HIGH PRESSURE PIPE -4 (4CYL),4.19,
1579,64.10303-7015,HIGH PRESSURE PIPE -1 (6CYL) E II,4.01,
1580,64.10303-7016,HIGH PRESSURE PIPE -2 (6CYL) E II,4.01,
1581,64.10303-7017,HIGH PRESSURE PIPE -3 (6CYL) E II,4.88,
1582,64.10303-7018,HIGH PRESSURE PIPE -4 (6CYL) E II,4.50,
1583,64.10303-7019,HIGH PRESSURE PIPE -5 (6CYL) E II,4.88,
1584,64.10303-7020,HIGH PRESSURE PIPE -6 (6CYL) EII,4.01,
1585,64.10303-7021,HIGH PRESSURE PIPES CYL. 1-6 (2VCR),49.93,
1586,64.10303-7022,HIGH PRESSURE PIPE FROM HPP TO RAIL,3.90,
1587,64.10303-7023,HPP FOR DO836LFL13  (PRESS PUMP TO RAIL),4.07,
1588,64.10303-7024,HIGH PRESS. PIPE SET 1-6 (D0836LFL13),83.33,
1589,64.10304-0583,INJECTION LINE  HDP-RAIL,5.90,
1590,64.10311-6002,COMMON RAIL - 6 CYL - 4V,282.93,
1591,64.10311-6004,RAIL OVERFLOW ASSEMBLY,9.55,
1592,64.11103-7002,FIP,2228.91,
1593,64.11103-7004,PRESSURE PUMP CP 3.3 (AWP),1148.02,
1594,64.11103-7011,FIP (VE6 BSIII) - PH 2,1519.22,
1595,64.11107-7001,OVERFLOW VALVE (F 002 A10 695),2.12,
1596,64.11110-0001,PRESSURE REGULATOR CASING,54.32,
1597,64.11152-0001,LOCK PLATE,0.40,
1598,64.11301-0001,HUB FOR DRIVE SHAFT,14.60,
1599,64.11301-0002,DRIVE GEAR FOR FIP,54.28,
1600,64.11301-0003,HUB FOR DRIVE SHAFT,11.44,
1601,64.11301-0004,DRIVE GEAR FOR PRESSURE PUMP,23.58,
1602,64.11301-0276,FIP DRIVE GEAR,21.75,
1603,64.11302-0001,HUB INTERMEDIATE GEAR-2,6.21,
1604,64.11302-0060,INTERMEDIATE GEAR SHAFT 2,6.17,
1605,64.11310-0001,COUPLING NUT (COUPLER),3.16,
1606,64.11310-0002,COUPLING NUT (COUPLER),3.01,
1607,64.11401-0004,FIP MOUNTING FLANGE M/C,21.01,
1608,64.11402-0001,FIP REAR SUPPORT BRACKET,2.80,
1609,64.11402-0003,FIP REAR SUPPORT BKT,0.18,
1610,64.11402-0004,SUPPORT PLATE ON VE PUMP,0.47,
1611,64.11605-5001,ACCELERATOR LEVER ASSY ON FIP,2.07,
1612,64.11605-5002,ACCELERATOR LEVER ASSY,0.80,
1613,64.11616-1001,ECU,1037.09,
1614,64.11616-7001,ELECTRONIC CONTROL UNIT -EDC (R4),1312.73,
1615,64.11616-7002,ELECTRONIC CONTROL UNIT -EDC (R6),725.88,
1616,64.11640-0001,ABUTMENT BRACKET,0.42,
1617,64.11640-0002,ABUTMENT BRACKET,0.94,
1618,64.11640-0287,TRAY for ECU MTG,16.38,
1619,64.11640-0343,ECU MOUNTING TRAY M/C,22.19,
1620,64.11801-5001,LDA PIPE ASSY,1.34,
1621,64.12140-0002,HAND PUMP MTG. BKT.,1.11,
1622,64.12140-5001,HOLDER FOR HAND PUMP,1.45,
1623,64.12201-5001,FUEL TANK 288LTRS,259.15,
1624,64.12201-5002,FUEL TANK ASSLY (495LTR),341.26,
1625,64.12201-5003,FUEL TANK 335L (ROUND),331.40,
1626,64.12201-5006,FUEL TANK ROUND (200L),249.07,
1627,64.12201-5007,FUEL TANK ASSY FOR BUS,326.56,
1628,64.12201-5008,FUEL TANK ASSY FOR BUS,332.35,
1629,64.12201-5013,FUEL TANK ASSEMBLY ROUND ALUMINISED GRAD,300.83,
1630,64.12201-5014,FUEL TANK ASSY 388 LTR (ROUND),432.02,
1631,64.12201-6003,FUEL TANK SUB ASSY (335L),429.06,
1632,64.12207-5001,FUEL FILLING PIPE,8.46,
1633,64.12207-5002,INTERMEDIATE PIPE FOR REDUCER ELBOW,11.47,
1634,64.12240-0001,RUBBER STRAP -TOP,5.48,
1635,64.12240-0002,RUBBER STRAP -BOTTOM,7.72,
1636,64.12240-0004,RUBBER STRAP -TOP (FUEL TANK),3.18,
1637,64.12240-0005,SUPPORT BKT- 1 (FUEL FILLING PIPE),2.72,
1638,64.12240-0006,SUPPORT BKT FUEL FILLING PIPE -2,3.43,
1639,64.12300-6095,FUEL SUPPLY PIPES D0836LFL13,87.00,
1640,64.12300-6167,FUEL LINE,119.39,
1641,64.12301-0005,FUEL LINE SUCTION TO HAND PUMP,13.05,
1642,64.12301-0006,FUEL LINE HAND PUMP TO FEED PUMP,12.13,
1643,64.12301-0007,FUEL LINE FEED PUMP TO FILTER,13.09,
1644,64.12301-0008,FUEL LINE FILTER TO FIP,10.55,
1645,64.12304-5001,FUEL PIPE (PREFILTER PUMP TO FILTER),14.36,
1646,64.12304-5002,FUEL LINE (PREFILTER INLET),29.94,
1647,64.12304-5939,FUEL LINE - PRE FILTER TO FEED PUMP,17.43,
1648,64.12305-0002,FUEL LINE FIP TO RETURN,22.20,
1649,64.12305-5001,ASSY OVERFLOW PIPE,7.23,
1650,64.12305-5002,FUEL RETURN PIPE (FILTER TO TANK),16.63,
1651,64.12305-5304,FUEL LINE- HP PUMP TO FUEL FILTER MODULE,24.22,
1652,64.12305-5485,FUEL PIPE HIGH PRESSURE PUMP RETURN,18.65,
1653,64.12305-5486,"FUEL PIPE,INJECTOR RETURN TO FILTER",22.49,
1654,64.12305-5487,"FUEL PIPE, FUEL FILTER TO TANK",16.81,
1655,64.12305-6001,ASSLY INJECTOR OVERFLOW PIPE,16.72,
1656,64.12305-6006,ASSY INJECTOR OVERFLOW PIPE,17.56,
1657,64.12307-5001,FUEL PIPE (FILTER TO HPP),16.94,
1658,64.12307-5304,FUEL RETURN PIPE PUMP TO FUEL FLT MODULE,14.34,
1659,64.12308-5034,"FUEL PIPE, PRE-FILTER INLET",27.40,
1660,64.12308-5035,FUEL PIPE PRE-FILTER TO FEED PUMP,19.92,
1661,64.12308-5036,"FUEL PIPE,FEED PUMP TO FILTER",12.71,
1662,64.12308-5037,FUEL PIPE (FILTER TO HPP),14.69,
1663,64.12340-0002,SUPPORT BKT FOR FUEL PIPES,2.16,
1664,64.12340-0003,SUPPORT FOR FUEL LINES,0.94,
1665,64.12340-0004,BRACKET ON FUEL FILTER,3.05,
1666,64.12340-0008,BKT FOR FUEL LINE SUPPORT,1.11,
1667,64.12340-0180,BRACKET FUEL PIPE SUPPORT,3.98,
1668,64.12340-0190,BRACKET FOR FUEL PIPE SUPPORT,1.58,
1669,64.12340-0196,BRACKET FOR FUEL PIPE SUPPORT,1.40,
1670,64.12340-5061,BRACKET FOR FUEL PIPE,2.96,
1671,64.12340-6002,HOLDER FOR FUEL PIPES,0.45,
1672,64.12501-6001,WATER SAPERATOR,27.65,
1673,64.12501-6006,WATER SEPARATOR(MINING APPLICATION)-2VCR,291.54,
1674,64.12512-7001,"CLEAR BOWL  WITH CAP,GASKET & RING KIT",50.20,
1675,64.12540-0001,HOLDER FOR FUEL FILTER,1.58,
1676,64.12540-0003,HOLDER FOR FUEL FILTER,1.38,
1677,64.12711-0001,PIN (FUEL TANK),0.54,
1678,64.15101-0002,EXHAUST SILENCER for 4 Cyl engine,113.40,
1679,64.15101-0004,EXHAUST SILENCER (VERTICAL),184.29,
1680,64.15201-0001,EXHAUST OUTLET FLANGE,12.60,
1681,64.15201-0002,EXHAUST OUTLET FLANGE M/CED,17.23,
1682,64.15201-0256,EXHAUST ELBOW M/C,24.38,
1683,64.15201-6001,EXHAUST PIPE ASSEMBLY - 4CYL,20.62,
1684,64.15204-0001,TAIL PIPE  (FOR 6 CYL ENGINE),36.82,
1685,64.15204-0002,TAIL PIPE ASSLY - 4 CYL,33.68,
1686,64.15204-0003,TAIL PIPE (FOR 6-CYL ENGINE) FOR 49T,34.79,
1687,64.15204-0007,TAIL PIPE  (FOR 6 CYL ENGINE) - CS02,5.07,
1688,64.15204-0010,TAIL PIPE SILENCER TO FLEXIBLE PIPE,30.10,
1689,64.15204-0011,TAIL PIPE FLEX. TO VER.TAIL PIPE(MED CAB,28.00,
1690,64.15204-0013,FLEXIBLE TAIL PIPE,25.40,
1691,64.15204-0015,EXHAUST PIPE FOR VERTICAL SILENCER,22.39,
1692,64.15204-0016,FLEXIBLE TAIL PIPE FOR VERTICAL EXHAUST,15.25,
1693,64.15204-0017,TAIL PIPE -1(BUS),60.71,
1694,64.15204-0018,EXHAUST PIPE (31.220 8X2),34.10,
1695,64.15204-0019,TAIL PIPE FOR THROUGH SILENCER,20.12,
1696,64.15204-0020,EXHAUST PIPE FOR THROUGH SILENCER,14.29,
1697,64.15204-0022,TAIL PIPE FOR THROUGH SILENCER,24.02,
1698,64.15204-0024,EXHAUST PIPE FOR ARMY VEHICLE,9.73,
1699,64.15204-0026,TAIL PIPE (SHORT WHEEL BASE 3175 + 1400),8.19,
1700,64.15204-0030,EXHAUST PIPE (31.280 8X4),32.64,
1701,64.15204-0032,TAIL PIPE FOR THROUGH SILENCER(SHORT W.B,21.97,
1702,64.15204-0033,TAIL PIPE-2 (BUS),69.92,
1703,64.15204-0040,EXHAUST PIPE FOR THROUGH SILENCER CS05,10.48,
1704,64.15204-0043,Tail pipe_Right Outlet for 6X4 Vehicle,49.31,
1705,64.15204-0044,Tail pipe_Flex pipe to Tail pipe support,56.63,
1706,64.15204-0058,FLEXIBLE PIPE (TAIL PIPE END),100.05,
1707,64.15204-5001,TAIL PIPE - TOP (VERTICAL),70.50,
1708,64.15204-5002,TAIL PIPE - VERTICAL FOR DAY CAB,47.48,
1709,64.15204-5024,Tail pipe vertical pipe for day cab _ fo,87.63,
1710,64.15204-6001,EXHAUST PIPE ASSEMBLY-6CYL,35.77,
1711,64.15204-6002,EXHAUST PIPE ASSEMBLY-6CYL,37.07,
1712,64.15204-6010,EXHAUST PIPE ASSLY,36.56,
1713,64.15204-6011,EXHAUST PIPE ASSLY FRONT (DS50),18.70,
1714,64.15204-6012,EXHAUST PIPE ASSLY REAR (DS50),48.86,
1715,64.15204-6013,EXHAUST PIPE ASSLY VERTICAL SILENCER,33.79,
1716,64.15204-6014,EXHAUST PIPE ASSLY,16.68,
1717,64.15204-6018,EXHAUST PIPE ASSLY FOR DS44,15.89,
1718,64.15215-0006,HEAT SHIELD FOR VERTICAL TAIL PIPE,5.92,
1719,64.15215-0007,HEAT SHIELD (FOR GEAR BOX PROTECTION),4.79,
1720,64.15215-0008,HEAT SHIELD (FOR PNEUMATIC TUBE PROTECT),4.10,
1721,64.15215-0010,HEAT SHIELD FOR REAR BELLOW PROTECTION,19.15,
1722,64.15215-0067,HEAT SHIELD FOR EXHAUST ELBOW,2.58,
1723,64.15215-5001,HEAT SHIELD ASSY FOR GEAR BOX PROTECTION,9.64,
1724,64.15402-5001,UREA TANK 35L (A049K538),327.92,
1725,64.15402-5004,AUS 32 TANK AIR VENT (A048P470),26.36,
1726,64.15406-5001,UREA PIPE,5.94,
1727,64.15408-6001,ADBLUE LEVEL SENSOR (A049Y112),268.17,
1728,64.15408-7001,AUS32 SENSOR O-RING SERVICE KIT A041P105,14.56,
1729,64.15411-0001,FILLING NECK FILTER (A035D361),22.04,
1730,64.15411-0002,AUS 32 SENSOR VENTED FILTER (A041G028),46.11,
1731,64.15501-0006,TAIL PIPE SUPPORT CLAMP,0.98,
1732,64.15501-0007,TAIL PIPE SUPPORT BRACKET,0.54,
1733,64.15501-0008,TAIL PIPE SUPPORT BKT,0.47,
1734,64.15501-0009,TAIL PIPE SUPPORT CLAMP,0.60,
1735,64.15501-0017,SILENCER HANGER BKT FRONT SIDE,3.00,
1736,64.15501-0018,SILENCER HANGER BKT REAR SIDE,1.33,
1737,64.15501-0019,SILENCER HANGER BKT UPPER,1.60,
1738,64.15501-0027,SILENCER HANGER BKT FRONT -1(CS02),1.40,
1739,64.15501-0028,SILENCER HANGER BKT FRONT -2(CS02),1.78,
1740,64.15501-0037,SUPPORT TUBE VERTICAL TAIL PIPE (MED.CAB,17.27,
1741,64.15501-0038,SUPPORT TUBE VERTICAL TAIL PIPE(DAY CAB),15.81,
1742,64.15501-0040,SUPPORT BKT FOR TAIL PIPE,2.40,
1743,64.15501-0041,SUPPORT BKT FOR TAIL PIPE,3.43,
1744,64.15501-0045,SUPPORT PLATE FOR VERTICAL SILENCER,17.68,
1745,64.15501-0046,SILENCER HOLDING BRACKET,3.30,
1746,64.15501-0049,L BKT FOR VERTICAL SILENCER,1.69,
1747,64.15501-0050,L BKT FOR EXHAUST PIPE,2.98,
1748,64.15501-0052,TOP HAT FOR VERTICAL EXHAUST,8.97,
1749,64.15501-0053,C-CHANNEL FOR HEAT SHIELD,4.59,
1750,64.15501-0054,L BKT FOR TAIL PIPE (31.220 8X2),0.58,
1751,64.15501-0057,L BRACKET FOR EXHAUST PIPE,0.47,
1752,64.15501-0058,BRACKET,1.58,
1753,64.15501-0059,L-BKT FOR TAIL PIPE,1.38,
1754,64.15501-0063,TAIL PIPE MTG BKT LOWER (BUS),3.47,
1755,64.15501-0064,L BKT FOR SILENCER MTG (BUS),1.18,
1756,64.15501-0066,DIESEL  SHIELD  MTG. BKT.,2.83,
1757,64.15501-0070,TAIL PIPE MTG BKT. (UPPER) (BUS),1.60,
1758,64.15501-0071,TAIL PIPE MTG BKT (FOR TAIL PIPE 2),2.78,
1759,64.15501-0072,SUPPORT BKT. FOR TAIL PIPE (BUS),3.47,
1760,64.15501-5001,SUPPORT TUBE ASSY FOR VERTICAL SILENCER,32.90,
1761,64.15501-5002,HEAT SHIELD ASSY (FOR VERTICAL SILENCER),25.87,
1762,64.15501-5006,HEAT SHIELD FOR RETARDER (6 CYL),3.87,
1763,64.15501-5007,HEAT SHIELD FOR SHOCK ABSORBER,18.35,
1764,64.15501-5012,SILENCER HANGER BKT FRONT SIDE,1.71,
1765,64.15501-5014,DIESEL SHIELD ASSY FOR TAIL PIPE,25.14,
1766,64.15502-0007,SILENCER HOLDING BKT,0.71,
1767,64.15502-0008,SILENCER HOLDING BKT,0.60,
1768,64.15502-0012,BRACKET FOR EXHAUST PIPE,2.96,
1769,64.15502-0014,L - BKT FOR EXHAUST PIPE,1.23,
1770,64.15502-0015,SUPPORT BKT ON FLYWHEEL HSG FOR EXHAUST,0.29,
1771,64.15502-0067,SUPPORTING BKT FOR EXHAUST FLANGE,1.05,
1772,64.15502-0068,SLENCER MTG.BKT.(LOWER),1.53,
1773,64.15502-0069,SUPPORT BKT ON FLYWHEEL HSG,0.25,
1774,64.15502-0070,L-BKT ON CLAMP,1.13,
1775,64.15502-0071,BKT SUPPORT FOR CLAMP,1.94,
1776,64.15502-0072,EXHAUST PIPE HOLDING BKT,1.65,
1777,64.15502-0073,SUPPORT BKT ON FLYWHEEL HSG,1.98,
1778,64.15502-5001,SILENCER HOLDING BKT. (CRANKEED CHASSIS),4.41,
1779,64.15502-5002,SILENCER HOLDING BKT ASSY,2.85,
1780,64.15502-5004,SILENCER HOLDING BKT ASSY,5.70,
1781,64.15502-5010,L BRACKET FOR TAIL PIPE MTG,4.65,
1782,64.15502-5011,SILENCER MTG.BKT.(UPPER),0.71,
1783,64.15502-5012,L BKT FOR EXHAUST PIPE,1.72,
1784,64.15502-7002,KIT FOR UPSWEPT EXHAUST SYSTEM (DY CAB),163.67,
1785,64.15502-7004,KIT FOR UPSWEPT EXH. SYSTEM (SL CAB)-31T,917.31,
1786,64.15600-6001,EXHAUST VALVE BRAKE ASSLY (6CYL ENGINE),242.66,
1787,64.19101-0001,SUPPORTING RING FOR ALTERNATOR,8.30,
1788,64.19101-0003,ALTERNATOR MTG BKT (CR),18.21,
