S. No.,Part No.,Description,USD Price,
101,406644,"Drive Shaft Assly Ford Figo, Fiesta/Clas ",10.07,
102,406646,Drive Shaft Assy VW Polo Petrol ,14.78,
103,406648,"Needle Bearing VW Polo, Chevrolet Enjoy ",2.78,
104,406649,"Through Bolt Maruti SX4, Ertiga Petrol ",0.75,
105,406650,"Front bracket Bush Maruti SX4, Ertiga Pe ",1.48,
106,406651,Plunger Assy VW Polo Dsl & Petrol ,2.96,
107,406652,Front Bracket Piaggio Porter 1000 ,11.26,
108,406653,O.R.C Assy Piaggio Porter 1000 ,12.51,
109,406654,Yoke Assy Piaggio Porter 1000 ,7.29,
110,406655,Solenoid Switch Piaggio Porter 1000 ,19.44,
111,406656,Lever Piaggio Porter 1000 ,0.99,
112,406657,FRONT BRACKET ASSEMBLY Tata Ace ,14.87,
113,406658,Drive Shaft Asly Tata Ace/Indica/indigo ,12.02,
114,406659,Sol.switch Asly Tata Ace/indica/Indigo ,16.33,
115,406660,Fr.bracket Assly Tata Indica/Indigo ,14.91,
116,406661,Front Bracket Assy M&M bolero ,16.77,
117,406662,Drive shaft Assy M ,26.06,
118,406663,ORC Assy M&M Boler ,9.15,
119,406664,Inductor Assembly ,16.68,
120,406665,Armature Assy M&M ,20.12,
121,406666,Snap Ring M&M Bolero ,3.76,
122,406667,Front bracket assy Renault Kwid ,14.98,
123,406668,Lever Renault Kwid ,1.18,
124,406669,Rear bracket Assly Renault Kwid ,8.66,
125,406670,"Armature assy - TSC, R4.62 Renault Kwid ",23.17,
126,406671,Yoke assly Renault Kwid ,8.04,
127,406672,Drive shaft assy R4.62 Renault Kwid ,10.00,
128,406673,Solenoid assly Renault Kwid ,13.96,
129,406691,ORC Assy i10/i20 Kappa 10 teeth ,13.89,
130,406749,Tool Kit for Starter & Alternator ,58.39,
131,406751,Alternator Fiat Linea / Punto1.3L S ,119.33,
132,406752,Alternator Fiat Linea / Punto Petro ,89.76,
133,406761,Alternator Tata Fiat Manza/Vista 1. ,106.34,
134,406766,Alternator Hyundai Kappa (2 pin) ,81.55,
135,406767,Alternator Assembly Maruti Celerio ,111.40,
136,406768,Alternator Assembly Hyundai Grand i10 Ka ,127.64,
137,406769,Alternator Assembly Datsun GO ,109.32,
138,406770,Alternator PV Duster/Verito/Logan 1.5 DC ,111.51,
139,406771,Alternator Assembly Maruti Swift Dzire ,101.85,
140,406772,Alternator assly Tata Nexon Dsl ,107.07,
141,406773,Alternator assly Tata Nexon Petrol ,129.51,
142,406774,Alternator Assy Nissan Micra Sunny Dsl ,121.60,
143,406775,Alternator Assy Nissan Go Go+ ,104.07,
144,406791,Istar Generator Maruti Ertiga Ciaz ,569.19,
145,406800,Stator AssyHyundai i10/i20 Kappa ,31.75,
146,406801,Rotor Assy Hyundai i10/i20 Kappa ,44.79,
147,406802,Front Bracket m/cHyundai i10/i20 K ,5.84,
148,406803,Rectifier Assy Hyundai i10/i20 Kapp ,23.30,
149,406804,Regulator Assy Hyundai i10/i20 Kap ,18.17,
150,406805,PulleyHyundai i10/i20 Kappa ,4.11,
151,406806,Front BearingHyundai i10/i20 Kappa ,3.44,
152,406807,"Stator AssyFiat Linea / Punto,Tata ",30.56,
153,406808,"Rotor Assy Fiat Linea/Punto,Linea/P ",41.76,
154,406809,Front Bracket MachineFiat Linea / P ,9.13,
155,406810,"Rectifier Assy, Fiat Linea/ Punto ",16.92,
156,406811,"Regulator Assy Fiat Linea / Punto,T ",16.62,
157,406812,PulleyFiat Linea / Punto 1.3L SDE ,20.88,
158,406813,Stator AssyFiat Linea / Punto Petro ,89.79,
159,406814,Front Bracket MachineFiat Linea / P ,12.89,
160,406815,Rectifier Assy Fiat Linea / Punto P ,21.70,
161,406816,Regulator Assy Fiat Linea / Punto P ,17.07,
162,406817,PulleyFiat Linea / Punto Petrol 1.4 ,4.77,
163,406818,Stator AssyFord Figo Classic Diesel ,44.86,
164,406819,Rotor Assy Ford Figo Classic Diesel ,43.52,
165,406820,Front Bracket MachineFord Figo Clas ,8.61,
166,406821,Rectifier Assy Ford Figo Classic Di ,22.53,
