S. No.,Part No.,Description,USD Price,
100,835605700,TOP CAP FOR 12 Inch Housing Horizontal,5.51,
101,835602300,End plate Spares,11.28,
102,826059000,AIS-1616H( BS II),120.00,
103,AH1945400,Air Cleaner Assembly-Tata 7097129099129121109 EX BSIII,51.97,
104,AF2605900,Air Filter - Primary-LP/PT - 709 / 712,13.17,
105,AF2605800,Air Filter - Safety - LP/LPT - 709 / 712,4.90,
106,AH1943200,Air Cleaner Assembly-LPO1316 TC-Low Mount,83.21,
107,LF1609200,Lube Filter - Spin On - Tafe Tractor - Simpson S4 Engine,2.37,
108,AH1946400,Air Cleaner Assembly-LPS 4923,164.70,
109,AF2606300,Air Filter - Primary - Tata LPS 4923,40.64,
110,AF2605600,Air Filter - Safety - Tata Novus - Cummins C-Series Engine (FG Housing) / LPS 4923,13.77,
111,826063700,Air Intake System-Tata Ace Goods Carrier,41.84,
112,814017500,Constant Torque Clamp,1.46,
113,824025400,Hose Hump - Tata Ace,2.85,
114,AH1946100,Air Cleaner Assy-Tata Ace Good Carrier,22.92,
115,AF2606200,Air Filter-Tata ACE Goods Carrier,9.28,
116,HF0618200,L&T EXCAV CK300 (CARTRIDGE),70.79,
117,824034800,Hose Reducer Elbow,6.71,
118,824028100,Hose,8.55,
119,814019200,HOSE CLAMP T BOLT,1.04,
120,AF2590300,Air Filter-Tata ACE (Old Model)Tata Indica-Panel Type,3.21,
121,AH1945200,Air Cleaner Assy-AL passenger model 8250254,65.26,
122,840007500,Precleaner - 3516 BSII Tractor,25.18,
123,AH1945500,Air Cleaner Assembly-SE 1613 TC,87.37,
124,LF0356800,BOMAG SOIL COMPACTOR BW130A,13.06,
125,AF0094700,Air Filter - Primary - 1510 TC 1613 TC 2515 - Cummins B-Series Engine,18.73,
126,105010000,AIR FILTER (SAFETY) CARGO,4.46,
127,820006900,Air Filter Set - AF947 + AF963,24.35,
128,826009300,Fuel Filter Kit - 0.5 liter (FF5512 + FF5513),2.49,
129,826009400,Fuel Filter Kit - 1.1 liter (FF5514 + FF5515),2.91,
130,826053300,Mahindra DI Kit - (LF16064 + FF5512 + FF5513),4.58,
131,871005000,Spin On with Head FS1275 with Head,11.33,
132,871007100,Fuel water separator assy. with filter head,20.38,
133,AF0096300,Air Filter - Safety - 1510 TC 1613 TC 2515 - Cummins B-Series Engine,5.72,
134,AF0184200,Air Filter - Safety - Tata 407 / 709,3.58,
135,AF0405800,Air Filter - Primary - Tata 407 / 709,9.48,
136,826026900,Fuel Filter Kit-0.5 Liter (Wire Mesh+Paper),2.69,
137,826027000,Fuel Filter Kit-1.1 Liter (Wire Mesh+Paper),3.25,
138,826027100,AL Kit - Single Life - 8000 Kms (LF16074 + FF5523 + FF5524),4.85,
139,826027200,Tata Kit - Single Life - 9000 kms (LF16073 + FF5525 + FF5526),6.32,
140,826027300,AL Kit - Double Life - 16000 Kms (LF16052 + FF5523 + FF5524),5.12,
141,826027400,Tata Kit - Double Life - 18000 kms (LF16051 + FF5525 + FF5526),7.65,
142,826027600,VPI - AL Kit - (DL),2.58,
143,826027700,VPI T Kit (SL),3.12,
144,AF0467000,Air Filter - Safety - 2515EX 2516 3015 3516 4018 - Cummins B-Series Engine,6.45,
145,826053400,Filter Kit - Tata 407 (LF16059 + FF5523 + FF5524),4.45,
146,AF2582600,Air Filter - Maruti 800 / Zen,2.53,
147,FF0552300,Fuel Filter - 0.5 liter Primary - Wire Mesh,1.58,
148,FF0552400,Fuel Filter - 0.5 liter Secondary - Paper,1.70,
149,FF0552500,Fuel Filter - 1.1 liter Primary - Wire Mesh,1.75,
150,AF2590100,Air Filter - Primary - AL 6.65 Engine - Comet / HINO W06E Engine,7.82,
151,FF0552600,Fuel Filter - 1.1 liter Secondary - Paper,1.94,
152,AF2590200,Air Filter - Tata 1210 / 1612 Tipper,8.48,
153,FF0552800,Fuel Filter - Eicher Canter,1.99,
154,AF2590800,Air Filter - Safety - AL 6.65 Engine - Comet / HINO W06E Engine,3.51,
155,LF1605100,Lube Filter - Cartridge - Double Life (18000 kms),4.54,
156,LF1605200,Lube Filter - Cartridge - Double Life (16000 kms) - AL 6.65 Engine,2.51,
157,LF1605700,Lube Filter - Cartridge - HINO - Non Turbo,2.43,
158,AF2592100,Air Filter - Primary - AL - 2214 / 1613 - HINO WO6DTI / 6ETI Engine,18.73,
159,LF1605900,Lube Filter - Cartridge - Tata 407,1.96,
160,AF2592200,Air Filter - Primary - Eicher Jumbo - 6 Cylinder TCI Engine,18.73,
161,LF1606500,Lube Filter - Spin On - Mahindra Peugeot,2.50,
162,AF2592300,Air Filter - Primary - KOEL - 11 Inch,18.73,
163,LF1606900,Lube Filter - Cartridge - Eicher LCV - 10.90 / 11.10,2.09,
164,AF2593000,Air Filter - Safety - AL - 2214 / 1613 - HINO WO6DTI / 6ETI Engine,5.72,
165,LF1607000,Lube Filter - Spin On - Tata 4DL Turbo (Sumo Victa Safari),3.70,
166,AF2593100,Air Filter - Safety - Eicher Jumbo - 6 Cylinder TCI Engine,5.72,
167,LF1607200,Lube Filter - Cartridge - Swaraj Vehicle,1.64,
168,LF1607300,Lube Filter - Cartridge - Single Life (9000 kms),3.36,
169,AF2593200,Air Filter - Safety - KOEL - 11 Inch,5.72,
170,LF1607400,Lube Filter - Cartridge - Single Life (8000 kms) - AL 6.65 Engine,2.23,
171,AF2593900,Air Filter - Primary - AL - 2516 / 3516 / 4018 - AL 412 TCAC Engine,18.90,
172,LF1607600,Lube Filter - Cartridge - Tata 207 DI - BS-I,1.70,
173,AF2594100,Air Filter - Primary - KOEL - 12 Inch,18.90,
174,LF1607900,Lube Filter - Cartridge - HINO - BS-II / BS-III,3.40,
175,AF2594800,Air Filter - Safety - AL - 2516 / 3516 / 4018 - AL 412 TCAC Engine,6.45,
176,LF1608000,Lube Filter - Spin On - Tata Indica,2.29,
177,LF1608200,Lube Filter - Cartridge - Eicher HCV - Jumbo & Galaxy,4.49,
178,AF2595000,Air Filter - Safety - KOEL - 12 Inch,6.45,
179,LF1609000,By Pass Lube Filter - Spin On - Eicher Jumbo (20.16),3.70,
180,AF2600200,Air Filter - Primary - AL 2214 / 1613 HINO,12.80,
181,AF2600400,Air Filter - Primary - Galaxy - 30.25 / 32.26 - 6 Cylinder Engine,12.93,
182,AF2600600,Air Filter - Safety - AL 2214 / 1613 HINO,4.75,
183,AF2600800,Air Filter - Safety - Galaxy - 30.25 / 32.26 - 6 Cylinder Engine,4.94,
184,AF2601200,Air Filter - Safety - Hippo - Tipper / Beaver with 680 Euro I Engine,11.67,
185,AF2602700,Air Filter - Primary - AL 4026 with HINO 260 HP J-Series Engine,37.84,
186,AF2602800,Air Filter - Safety - AL 4026 with HINO 260 HP J-Series Engine,13.72,
187,AF2603300,Air Filter - Primary - Stag 812 LHD Stag / Lynx CNG  HINO 4D NG / 4CTI Genset,14.19,
188,AF2603400,Air Filter - Safety - Stag 812 LHD Stag / Lynx CNG  HINO 4D NG / 4CTI Genset,4.73,
189,AF2603700 M,Air Filter - Tata 207 DI / Spacio,7.22,
190,AF2605200,Air Filter - Safety - Tata Novus - Cummins C-Series Engine (Daewoo Housing),15.45,
191,AF2605300,Air Filter - Primary - Tata Novus - Cummins C-Series Engine (Daewoo Housing),41.70,
192,AF2606000,Air Filter - Safety - AMW - 235 HP - Tipper & Tractor,13.72,
193,AF2606100,Air Filter - Primary - AMW - 235 HP - Tipper & Tractor,37.84,
194,FF0551200,Fuel Filter - Cartridge - 0.5 liter - Primary,1.31,
195,FF0551300,Fuel Filter - Cartridge - 0.5 liter - Secondary,1.64,
196,FF0551400,Fuel Filter - Cartridge - 1.1 liter - Primary,1.53,
197,FF0551500,Fuel Filter - Cartridge - 1.1 liter - Secondary,1.92,
198,FS1960200,ON HIGHWAY,18.71,
199,FS1963600,Fuel / Water Separator - BS-II / BS - III,15.89,
200,LF1605300,LUBE FILTER,4.16,
201,LF1606200,Lube Filter - Spin On - Safari Dicor - BS-III,4.09,
202,LF1606400,Lube Filter - Spin On - Mahindra DI Tractor,2.47,
